Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Voltage7_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],OxygenPS_[%_saturation],OxygenPS2_[%_saturation],Altimeter_[m],JulianDays_[days],Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ201810S,RES2.5,B,2018-04-18T18:21:00,-149.3585,60.0193,290,1,289.86,1,5.9905,5.9892,3.2988,3.2991,0.0299,5,1.2747,1.3979,3.6064,0.127,0.213,0.0422,0.3822,1.06,76.72,0.0,129.337,134.637,42.528,44.272,4.26,108.7575,33.3112,33.3165,26.2194,26.2238
SKQ201810S,RES2.5,B,2018-04-18T18:23:11,-149.3585,60.0193,290,1,252.72,2,6.0006,5.9988,3.2954,3.2957,0.0291,5,1.3345,1.4531,4.2642,0.127,2.0466,0.042,0.3631,0.3897,90.7183,0.0,138.232,142.174,45.454,46.75,40.93,108.759,33.2818,33.2868,26.1949,26.1991
SKQ201810S,RES2.5,B,2018-04-18T18:25:57,-149.3585,60.0193,290,1,201.96,3,6.0613,6.0598,3.2916,3.2919,0.0283,5,1.3299,1.46,4.2559,0.127,4.5493,0.0408,0.3434,0.3974,90.5422,0.0,135.011,142.159,44.433,46.785,90.98,108.7609,33.2044,33.2096,26.1262,26.1306
SKQ201810S,RES2.5,B,2018-04-18T18:29:26,-149.3585,60.0193,290,1,151.5,4,5.8373,5.8327,3.227,3.2271,0.029,5,1.6818,1.8818,4.4128,0.127,1.662,0.0422,0.3589,0.2525,93.882,0.0,195.828,203.976,63.883,66.537,33.24,108.7634,32.7226,32.7281,25.7731,25.7781
SKQ201810S,RES2.5,B,2018-04-18T18:30:53,-149.3585,60.0193,290,1,126.47,5,5.5875,5.5989,3.1713,3.1745,0.0307,5,1.9173,2.1235,4.4136,0.127,2.9111,0.042,0.4008,0.2518,93.8979,0.0,236.872,241.284,76.608,78.07,58.22,108.7644,32.348,32.373,25.5067,25.5251
SKQ201810S,RES2.5,B,2018-04-18T18:32:36,-149.3585,60.0193,290,1,100.77,6,5.4931,5.4934,3.144,3.1443,0.0311,5,1.9816,2.2094,4.4004,0.127,4.6934,0.041,0.411,0.2638,93.6179,0.0,248.083,253.749,79.933,81.761,93.87,108.7656,32.1423,32.1456,25.355,25.3575
SKQ201810S,RES2.5,B,2018-04-18T18:34:17,-149.3585,60.0193,290,1,75.89,7,5.4184,5.4156,3.125,3.1248,0.034,5,2.0203,2.2464,4.434,0.127,4.9839,0.0405,0.4785,0.2334,94.3327,0.0,254.393,259.16,81.742,83.269,99.68,108.7667,32.0107,32.0119,25.2594,25.2606
SKQ201810S,RES2.5,B,2018-04-18T18:36:32,-149.3585,60.0193,290,1,50.43,8,4.8756,4.8737,3.0581,3.0583,0.0252,5,2.1465,2.3531,4.4355,0.1306,4.983,0.041,0.2698,0.2321,94.3645,0.0,279.235,278.322,88.421,88.13,99.66,108.7683,31.7778,31.7819,25.1349,25.1384
SKQ201810S,RES2.5,B,2018-04-18T18:38:27,-149.3585,60.0193,290,1,40.37,9,4.8323,4.8322,3.0487,3.0491,0.0346,5,2.0998,2.3556,4.4242,0.14,4.9829,0.0414,0.4935,0.2422,94.1248,0.0,271.062,278.716,85.704,88.128,99.66,108.7696,31.7163,31.7218,25.0908,25.0951
SKQ201810S,RES2.5,B,2018-04-18T18:40:00,-149.3585,60.0193,290,1,30.13,10,4.6914,4.6898,3.0306,3.0309,0.0425,5,2.1322,2.3931,4.4051,0.1697,4.9829,0.0418,0.683,0.2597,93.7171,0.0184,277.534,284.955,87.41,89.748,99.66,108.7707,31.6471,31.6526,25.0507,25.0552
