Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Voltage7_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],OxygenPS_[%_saturation],OxygenPS2_[%_saturation],Altimeter_[m],SUNA,LISST,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ201915S,RES2.5,B,2019-06-29T18:11:55,-149.3577,60.0247,293,1,291.46,1,6.3137,6.3121,3.3157,3.3151,0.0118,3.1856,1.4224,1.6711,3.8649,0.127,0.2774,1.0761,-0.0538,0.783,82.2211,0.0,156.758,156.648,51.884,51.844,5.55,25.2576,1.0761,33.1835,33.1789,26.078,26.0746
SKQ201915S,RES2.5,B,2019-06-29T18:17:13,-149.3577,60.0247,293,1,252.68,2,6.3334,6.3347,3.3126,3.312,0.0116,3.1675,1.4576,1.7155,4.2787,0.127,2.1985,1.1343,-0.0574,0.3761,91.0269,0.0,162.047,161.827,53.646,53.571,43.97,25.11,1.1343,33.149,33.141,26.0483,26.0418
SKQ201915S,RES2.5,B,2019-06-29T18:22:44,-149.3577,60.0247,293,1,201.99,3,6.3717,6.3728,3.3085,3.3079,0.0116,3.2003,1.4527,1.7093,4.2456,0.127,4.7138,1.1305,-0.0574,0.4071,90.3243,0.0,159.851,160.316,52.943,53.095,94.28,25.3764,1.1305,33.0912,33.0832,25.9978,25.9913
SKQ201915S,RES2.5,B,2019-06-29T18:26:51,-149.3577,60.0247,293,1,151.48,4,6.4971,6.4988,3.283,3.2826,0.0116,2.7314,1.7431,2.0668,4.4157,0.127,2.2594,1.0747,-0.0568,0.2499,93.943,0.0,208.045,205.044,68.912,67.918,45.19,21.5735,1.0747,32.7117,32.706,25.6824,25.6777
SKQ201915S,RES2.5,B,2019-06-29T18:29:19,-149.3577,60.0247,293,1,126.19,5,6.4586,6.4597,3.2566,3.2565,0.0116,2.5064,1.9065,2.2841,4.4438,0.127,3.069,1.0759,-0.0579,0.2246,94.5411,0.0,237.656,234.594,78.509,77.498,61.38,19.7492,1.0759,32.4689,32.4669,25.4958,25.4941
SKQ201915S,RES2.5,B,2019-06-29T18:31:45,-149.3577,60.0247,293,1,100.9,6,6.422,6.4244,3.2363,3.2358,0.0115,2.3219,2.0038,2.4063,4.4463,0.1279,4.5006,1.0755,-0.0597,0.2223,94.5941,0.0,252.223,250.238,83.142,82.488,90.01,18.2528,1.0755,32.2919,32.284,25.361,25.3544
SKQ201915S,RES2.5,B,2019-06-29T18:34:06,-149.3577,60.0247,293,1,75.49,7,6.5098,6.5085,3.2241,3.2222,0.0115,2.254,2.0527,2.4724,4.4757,0.1367,5.0,1.1187,-0.0597,0.196,95.2188,0.0,259.25,257.395,85.502,84.876,100.0,17.7021,1.1187,32.0859,32.0663,25.1874,25.1721
SKQ201915S,RES2.5,B,2019-06-29T18:36:17,-149.3577,60.0247,293,1,50.2,8,6.7732,6.7803,3.1992,3.1984,0.0151,1.9897,2.1063,2.541,4.4758,0.2271,5.0,1.0744,0.0258,0.1959,95.2209,0.0716,266.765,264.754,88.188,87.528,100.0,15.5587,1.0744,31.5798,31.5645,24.755,24.7421
SKQ201915S,RES2.5,B,2019-06-29T18:37:50,-149.3577,60.0247,293,1,40.36,9,7.0888,7.1096,3.2128,3.213,0.0216,1.6722,2.1587,2.6112,4.5106,0.3614,5.0,1.0759,0.1807,0.1649,95.9617,0.228,273.056,271.864,90.833,90.469,100.0,12.9835,1.0759,31.4428,31.4265,24.6061,24.5905
SKQ201915S,RES2.5,B,2019-06-29T18:39:25,-149.3577,60.0247,293,1,30.06,10,7.1219,7.0928,3.2005,3.2006,0.0232,1.31,2.2024,2.6532,4.511,0.6845,5.0,1.073,0.2196,0.1645,95.9712,0.875,279.611,276.272,92.977,91.823,100.0,10.0458,1.073,31.2846,31.3118,24.4773,24.5025
SKQ201915S,RES2.5,B,2019-06-29T18:40:57,-149.3577,60.0247,293,1,20.13,11,8.4474,8.382,3.2864,3.2816,0.4748,0.7521,2.4853,2.9982,3.6909,1.4711,5.0,1.076,11.0597,0.9674,78.5186,7.19,317.341,313.525,108.527,107.071,100.0,5.522,1.076,31.0194,31.0268,24.0851,24.1004
SKQ201915S,RES2.5,B,2019-06-29T18:42:26,-149.3577,60.0247,293,1,10.01,12,9.1523,9.1626,3.3318,3.3331,0.1202,0.5613,2.6565,3.2632,4.0025,2.7236,5.0,1.1339,2.5484,0.643,85.1493,135.0,338.166,338.726,117.355,117.58,100.0,3.9736,1.1339,30.8786,30.8829,23.8695,23.8713
SKQ201915S,RES2.5,B,2019-06-29T18:45:55,-149.3577,60.0247,293,1,3.24,13,15.7588,15.7593,3.0386,3.0397,0.0394,0.4988,2.6085,3.1738,3.8826,3.9533,5.0,1.3108,0.6101,0.7647,82.5986,2290.0,298.378,300.2,112.861,113.558,100.0,3.4676,1.3108,23.4,23.4088,16.8969,16.9035
SKQ201915S,GAK1,B,2019-06-29T21:00:54,-149.4658,59.8452,270,2,268.26,1,6.1665,6.1655,3.3197,3.3195,0.013,3.5077,1.2956,1.512,3.6626,0.1282,0.2408,1.2745,-0.0233,0.9981,77.9168,0.0,134.236,135.67,44.344,44.816,4.82,27.87,1.2746,33.3837,33.3822,26.2547,26.2536
SKQ201915S,GAK1,B,2019-06-29T21:01:21,-149.4658,59.8452,270,2,268.39,2,6.1568,6.1583,3.3212,3.3205,0.0127,3.5163,1.2987,1.51,3.5192,0.1282,0.5683,1.2753,-0.031,1.158,74.8639,0.0,134.839,135.106,44.542,44.629,11.37,27.9387,1.2753,33.4093,33.4004,26.2761,26.2689
SKQ201915S,GAK1,B,2019-06-29T21:03:08,-149.4658,59.8452,270,2,252.15,3,6.1661,6.1673,3.3179,3.3172,0.0122,3.5039,1.3144,1.5286,3.8435,0.1271,1.034,1.1422,-0.0442,0.8053,81.7661,0.0,137.381,137.665,45.378,45.471,20.68,27.8388,1.1423,33.3712,33.3628,26.2448,26.2381
SKQ201915S,GAK1,B,2019-06-29T21:06:23,-149.4658,59.8452,270,2,201.75,4,6.2611,6.2571,3.3126,3.312,0.0116,3.4062,1.4307,1.674,4.2881,0.127,3.5369,1.1395,-0.0574,0.3673,91.2274,0.0,156.395,155.511,51.724,51.426,70.74,27.046,1.1395,33.2443,33.2417,26.1327,26.1312
SKQ201915S,GAK1,B,2019-06-29T21:08:51,-149.4658,59.8452,270,2,150.9,5,6.4729,6.4762,3.288,3.2854,0.0124,2.8335,1.7575,2.104,4.4213,0.127,4.7623,1.076,-0.0382,0.245,94.0617,0.0,210.729,210.734,69.802,69.793,95.25,22.4021,1.076,32.7904,32.7592,25.7476,25.7225
SKQ201915S,GAK1,B,2019-06-29T21:11:17,-149.4658,59.8452,270,2,126.22,6,6.5748,6.5753,3.2728,3.2724,0.0135,2.4181,1.9878,2.3892,4.4549,0.1271,2.6246,1.0729,-0.0125,0.2146,94.7766,0.0,248.714,247.042,82.425,81.868,52.49,19.0324,1.0729,32.5378,32.5323,25.5353,25.5309
SKQ201915S,GAK1,B,2019-06-29T21:13:43,-149.4658,59.8452,270,2,100.88,7,6.4446,6.4332,3.2368,3.2349,0.0114,2.3849,2.0091,2.4236,4.3646,0.1292,5.0,1.1438,-0.0627,0.2965,92.8564,0.0,253.12,252.435,83.472,83.217,100.0,18.7639,1.1439,32.2761,32.2654,25.3456,25.3386
SKQ201915S,GAK1,B,2019-06-29T21:15:19,-149.4658,59.8452,270,2,75.3,8,6.6581,6.654,3.2313,3.2298,0.0126,2.2552,2.0623,2.4938,4.4811,0.1465,5.0,1.0743,-0.0328,0.1911,95.3344,0.0,259.85,259.867,85.957,85.946,100.0,17.7114,1.0743,32.0262,32.014,25.1215,25.1124
SKQ201915S,GAK1,B,2019-06-29T21:17:09,-149.4658,59.8452,270,2,50.16,9,7.9896,8.1483,3.3268,3.3395,0.0194,1.8312,2.1745,2.6284,4.5193,0.3162,5.0,1.1453,0.1293,0.1571,96.1484,0.17,269.28,267.613,91.695,91.447,100.0,14.2735,1.1453,31.8406,31.8311,24.795,24.7647
SKQ201915S,GAK1,B,2019-06-29T21:17:19,-149.4658,59.8452,270,2,50.2,10,8.1364,8.1231,3.343,3.3404,0.0197,1.8727,2.1813,2.6298,4.5147,0.3169,5.0,1.0749,0.1377,0.1612,96.0508,0.17,269.402,267.869,92.066,91.505,100.0,14.6093,1.0749,31.8787,31.8639,24.8038,24.7941
SKQ201915S,GAK1,B,2019-06-29T21:18:55,-149.4658,59.8452,270,2,39.99,11,8.1261,8.1413,3.3258,3.3263,0.021,1.5402,2.1765,2.6296,4.5185,0.5461,5.0,1.0737,0.1664,0.1579,96.1304,0.538,268.276,267.65,91.548,91.36,100.0,11.9131,1.0737,31.7106,31.7021,24.6734,24.6646
SKQ201915S,GAK1,B,2019-06-29T21:19:03,-149.4658,59.8452,270,2,39.86,12,8.1153,8.1008,3.3272,3.3258,0.0202,1.6206,2.1797,2.6348,4.5132,0.5446,5.0,1.0741,0.149,0.1625,96.018,0.535,269.057,267.928,91.809,91.392,100.0,12.565,1.0741,31.7358,31.7336,24.6947,24.6951
SKQ201915S,GAK1,B,2019-06-29T21:20:32,-149.4658,59.8452,270,2,30.07,13,7.8908,7.8707,3.2765,3.2783,0.0414,1.2874,2.1924,2.6542,4.486,0.966,4.8947,1.094,0.6573,0.1867,95.4399,2.0,272.602,272.247,92.326,92.189,97.89,9.8625,1.094,31.4048,31.4422,24.467,24.4992
SKQ201915S,GAK1,B,2019-06-29T21:20:40,-149.4658,59.8452,270,2,30.12,14,8.0133,7.9981,3.2876,3.287,0.0458,1.2418,2.1971,2.6579,4.502,0.9667,5.0,1.1416,0.7632,0.1725,95.7798,2.0,272.849,272.202,92.671,92.424,100.0,9.4927,1.1416,31.4128,31.42,24.4559,24.4637
SKQ201915S,GAK1,B,2019-06-29T21:22:28,-149.4658,59.8452,270,2,19.92,15,9.5923,9.593,3.4053,3.405,0.5874,0.8255,2.4312,2.9491,3.9317,2.0006,4.9997,1.1431,13.7617,0.7144,83.6438,25.2,299.941,297.913,105.379,104.665,100.0,6.1172,1.1431,31.2446,31.24,24.0867,24.083
SKQ201915S,GAK1,B,2019-06-29T21:22:36,-149.4658,59.8452,270,2,19.96,16,9.5924,9.5899,3.4054,3.4048,0.4754,0.8664,2.424,2.9441,3.9754,1.9884,4.9998,1.1424,11.0734,0.6702,84.5745,24.5,296.994,296.82,104.345,104.274,100.0,6.4482,1.1424,31.2452,31.2409,24.0872,24.0842
SKQ201915S,GAK1,B,2019-06-29T21:24:15,-149.4658,59.8452,270,2,9.86,17,11.043,11.1227,3.4832,3.4861,0.0341,0.6176,2.7155,3.3118,4.3174,3.1443,4.9998,1.1464,0.4827,0.34,91.851,355.0,331.844,331.684,119.908,120.021,100.0,4.431,1.1464,30.7888,30.7497,23.4908,23.4467
SKQ201915S,GAK1,B,2019-06-29T21:24:23,-149.4658,59.8452,270,2,9.79,18,10.8361,11.0737,3.4735,3.4822,0.034,0.619,2.7181,3.3151,4.3133,3.1538,4.9999,1.0759,0.4797,0.3437,91.7651,363.0,333.732,331.135,120.125,119.699,100.0,4.4425,1.0759,30.8665,30.7526,23.5869,23.4574
