Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],C0S/m,C1S/m,Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],OxygenPS_[%_saturation],OxygenPS2_[%_saturation],Altimeter_[m],SUNA,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ202012S,RES2.5,B,2020-09-01T15:59:32,-149.3588,60.0252,294.0,1,289.15,1,5.9991,6.0001,3.3028,3.3032,0.0122,3.2413,1.0374,1.2071,3.8472,0.011,0.2462,-0.0424,0.7902,82.0741,0.0,96.654,99.99,31.797,32.896,4.92,26.865,33.348,33.3516,26.2475,26.2502
SKQ202012S,RES2.5,B,2020-09-01T16:02:53,-149.3588,60.0252,294.0,1,252.38,2,5.987,5.9875,3.2974,3.2977,0.0119,3.2279,1.1088,1.3107,4.199,0.011,2.0692,-0.0508,0.4401,89.5822,0.0,109.533,114.191,36.015,37.548,41.39,26.7561,33.3177,33.3203,26.225,26.227
SKQ202012S,RES2.5,B,2020-09-01T16:05:55,-149.3588,60.0252,294.0,1,201.86,3,5.8694,5.8684,3.2613,3.2612,0.0117,3.0719,1.3166,1.5975,4.3373,0.011,4.5807,-0.0562,0.3104,92.5339,0.0,147.531,153.637,48.281,50.279,91.61,25.491,33.0525,33.0525,26.0299,26.03
SKQ202012S,RES2.5,B,2020-09-01T16:09:03,-149.3588,60.0252,294.0,1,151.13,4,5.6579,5.6582,3.2023,3.2026,0.0115,2.6153,1.6118,2.0026,4.4093,0.011,1.6727,-0.0609,0.2445,94.0695,0.0,202.78,210.605,65.823,68.364,33.45,21.7882,32.619,32.6212,25.7126,25.7143
SKQ202012S,RES2.5,B,2020-09-01T16:11:50,-149.3588,60.0252,294.0,1,125.98,5,5.4865,5.4957,3.1604,3.1625,0.0117,2.3916,1.7427,2.1765,4.4167,0.011,2.9242,-0.0562,0.2379,94.2269,0.0,228.663,236.262,73.763,76.239,58.48,19.9738,32.3226,32.3374,25.4983,25.5089
SKQ202012S,RES2.5,B,2020-09-01T16:14:13,-149.3588,60.0252,294.0,1,101.12,6,5.4976,5.4985,3.1336,3.1343,0.0117,2.1995,1.8207,2.2913,4.4054,0.011,4.2481,-0.0556,0.2481,93.986,0.0,242.455,251.447,78.057,80.958,84.96,18.4157,32.0208,32.0273,25.2583,25.2634
SKQ202012S,RES2.5,B,2020-09-01T16:16:55,-149.3588,60.0252,294.0,1,76.02,7,6.9439,6.9449,3.2338,3.2342,0.0127,1.8137,1.8849,2.3774,4.314,0.011,5.0,-0.0316,0.332,92.0351,0.0,244.189,253.526,81.167,84.274,100.0,15.287,31.7874,31.7908,24.8964,24.8989
SKQ202012S,RES2.5,B,2020-09-01T16:19:53,-149.3588,60.0252,294.0,1,50.58,8,9.235,9.2339,3.3879,3.388,0.0135,1.2655,2.0597,2.6164,4.281,0.0761,4.8206,-0.0125,0.3628,91.3321,0.0192,260.371,270.554,90.841,94.393,96.41,10.841,31.3652,31.3674,24.237,24.2389
SKQ202012S,RES2.5,B,2020-09-01T16:21:55,-149.3588,60.0252,294.0,1,40.44,9,11.058,11.0415,3.5008,3.5008,0.0143,0.8755,2.1132,2.689,4.2895,0.4231,5.0,0.006,0.3548,91.5108,0.193,258.032,268.652,93.364,97.183,100.0,7.6784,30.9358,30.9502,23.6026,23.6166
SKQ202012S,RES2.5,B,2020-09-01T16:24:10,-149.3588,60.0252,294.0,1,30.12,10,12.6581,12.5963,3.554,3.5536,0.0275,0.642,2.0916,2.6529,4.4488,0.799,5.0,0.3242,0.2088,94.9123,0.626,246.756,256.479,91.822,95.348,100.0,5.7842,30.1397,30.1853,22.6957,22.7426
SKQ202012S,RES2.5,B,2020-09-01T16:26:18,-149.3588,60.0252,294.0,1,20.14,11,13.4735,13.5739,3.5462,3.5424,0.0366,0.4792,2.1164,2.6922,4.4658,1.2731,5.0,0.5419,0.1936,95.2749,2.11,246.679,257.371,92.887,97.037,100.0,4.4642,29.4311,29.3194,21.9919,21.8861
SKQ202012S,RES2.5,B,2020-09-01T16:28:33,-149.3588,60.0252,294.0,1,10.55,12,13.7581,13.7566,3.4641,3.4673,0.0442,0.4661,2.1636,2.746,4.4267,1.8752,5.0,0.7243,0.2288,94.4401,8.8,253.908,263.496,95.524,99.149,100.0,4.3583,28.4677,28.4973,21.193,21.2161
SKQ202012S,RES2.5,B,2020-09-01T16:30:48,-149.3588,60.0252,294.0,1,2.98,13,13.8848,13.8903,3.2325,3.2151,0.0701,0.407,2.1542,2.7285,3.6969,2.8258,5.0,1.3463,0.9496,78.8672,79.6,255.416,264.911,94.888,98.316,100.0,3.8789,26.2839,26.1239,19.4853,19.361
SKQ202012S,RES2.5,B,2020-09-01T16:30:56,-149.3588,60.0252,294.0,1,3.02,14,13.8853,13.8854,3.2251,3.2107,0.0692,0.4075,2.1538,2.7273,3.6956,2.8188,5.0,1.3241,0.951,78.8401,78.3,255.55,265.119,94.894,98.359,100.0,3.8825,26.217,26.088,19.4337,19.3343
