Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],OxygenPS_[%_saturation],OxygenPS2_[%_saturation],Altimeter_[m],SUNA,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ202106S,RES2.5,B,2021-04-23T04:53:17,-149.3583,60.0255,292,1,292.03,1,5.9128,5.9142,3.2836,3.2843,0.2262,4.1468,1.6233,1.3387,3.9405,0.0098,0.1813,0.2703,0.706,83.8192,0.0,158.56,153.053,52.007,50.204,3.63,45.0093,33.2164,33.2225,26.1541,26.1588
SKQ202106S,RES2.5,B,2021-04-23T04:56:56,-149.3583,60.0255,292,1,202.06,2,5.8672,5.8686,3.2704,3.271,0.2256,4.1468,1.6997,1.3952,4.2797,0.0098,4.6343,0.261,0.3757,91.0353,0.0,167.75,162.119,54.938,53.098,92.69,45.0087,33.1568,33.1625,26.1126,26.117
SKQ202106S,RES2.5,B,2021-04-23T04:59:04,-149.3583,60.0255,292,1,176.41,3,5.8977,5.8987,3.2666,3.2671,0.2261,4.1467,1.7102,1.4034,4.2874,0.0134,4.7811,0.2691,0.3685,91.2002,0.0008,168.479,162.987,55.192,53.396,95.62,45.0079,33.0968,33.1021,26.0615,26.0655
SKQ202106S,RES2.5,B,2021-04-23T05:01:16,-149.3583,60.0255,292,1,151.4,4,5.7562,5.7542,3.2324,3.2327,0.2275,4.1467,1.9391,1.5702,4.3868,0.0095,1.7279,0.2909,0.2767,93.3157,0.0,200.984,194.416,65.509,63.367,34.56,45.0079,32.8627,32.8678,25.8936,25.8979
SKQ202106S,RES2.5,B,2021-04-23T05:03:21,-149.3583,60.0255,292,1,126.3,5,5.4547,5.462,3.1578,3.1597,0.2269,4.1465,2.3079,1.8533,4.4636,0.0092,2.9785,0.2812,0.2074,94.9487,0.0,252.647,248.326,81.439,80.069,59.57,45.0054,32.3231,32.3378,25.5024,25.5131
SKQ202106S,RES2.5,B,2021-04-23T05:05:29,-149.3583,60.0255,292,1,100.77,6,5.0474,5.0669,3.0943,3.0976,0.2293,4.1455,2.4988,1.9785,4.4598,0.009,4.2715,0.3203,0.2107,94.8681,0.0,283.518,274.766,90.298,87.563,85.43,44.995,32.0038,32.0227,25.2954,25.3081
SKQ202106S,RES2.5,B,2021-04-23T05:07:48,-149.3583,60.0255,292,1,75.94,7,4.6594,4.6821,3.0464,3.0495,0.2308,4.1453,2.5506,2.0131,4.4487,0.0174,5.0,0.3453,0.2206,94.6333,0.0018,293.376,283.548,92.461,89.421,100.0,44.9916,31.8384,31.8518,25.2058,25.214
SKQ202106S,RES2.5,B,2021-04-23T05:10:09,-149.3583,60.0255,292,1,50.63,8,4.257,4.2581,2.9991,2.9997,0.238,4.1443,2.6124,2.0588,4.469,0.0135,4.8843,0.461,0.2025,95.0633,0.001,304.449,295.182,94.919,92.036,97.69,44.9812,31.6889,31.6945,25.128,25.1323
SKQ202106S,RES2.5,B,2021-04-23T05:12:02,-149.3583,60.0255,292,1,40.63,9,4.203,4.2042,2.9908,2.9914,0.24,4.1442,2.6339,2.0732,4.4547,0.0253,4.8291,0.4933,0.2153,94.7605,0.0038,307.787,297.857,95.806,92.722,96.58,44.9801,31.6489,31.6545,25.1016,25.1059
SKQ202106S,RES2.5,B,2021-04-23T05:13:47,-149.3583,60.0255,292,1,29.97,10,4.2269,4.2272,2.9906,2.9911,0.2457,4.144,2.6634,2.0959,4.4724,0.0227,5.0,0.586,0.1994,95.1369,0.003,311.534,301.846,97.013,94.001,100.0,44.977,31.6283,31.6341,25.0829,25.0875
