Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Voltage7_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],OxygenPS_[%_saturation],OxygenPS2_[%_saturation],Altimeter_[m],SUNA,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ202110S,RES2.5,B,2021-06-28T01:31:04,-149.3572,60.0253,294,1,291.98,1,5.8639,5.8618,3.2589,3.2794,0.0111,0.0,1.5648,1.4622,3.7909,0.0098,0.2158,0.0,-0.0664,0.8421,81.0167,0.0,135.484,135.715,44.312,44.462,4.32,0.0,32.9869,33.2189,25.9788,26.1623
SKQ202110S,RES2.5,B,2021-06-28T01:31:11,-149.3572,60.0253,294,1,291.88,2,5.8629,5.8617,3.2585,3.2793,0.0113,0.0,1.564,1.4621,3.798,0.0098,0.2227,0.0,-0.0624,0.8346,81.168,0.0,135.46,135.758,44.302,44.475,4.45,0.0,32.9831,33.2188,25.9759,26.1623
SKQ202110S,RES2.5,B,2021-06-28T01:34:06,-149.3572,60.0253,294,1,252.91,3,5.8566,5.855,3.2452,3.2759,0.0093,0.0,1.6679,1.5597,4.4111,0.0096,2.1413,0.0,-0.1076,0.2358,94.2742,0.0,147.911,148.706,48.322,48.705,42.83,0.0,32.8593,33.2058,25.8788,26.1528
SKQ202110S,RES2.5,B,2021-06-28T01:37:05,-149.3572,60.0253,294,1,201.43,4,5.7775,5.7758,3.22,3.2549,0.0103,0.0,1.8119,1.6821,4.3607,0.0097,4.7167,0.0,-0.0864,0.2817,93.1987,0.0,165.416,165.157,53.868,53.94,94.34,0.0,32.6773,33.0717,25.7445,26.0565
SKQ202110S,RES2.5,B,2021-06-28T01:40:02,-149.3572,60.0253,294,1,151.43,5,5.498,5.5217,3.1675,3.196,0.0098,0.0,2.2033,2.0571,4.4859,0.0088,1.7709,0.0,-0.0973,0.1686,95.8729,0.0,214.482,217.868,69.236,70.526,35.42,0.0,32.3794,32.679,25.5419,25.7761
SKQ202110S,RES2.5,B,2021-06-28T01:42:37,-149.3572,60.0253,294,1,126.28,6,5.2129,5.2125,3.1056,3.1272,0.0098,0.0,2.5572,2.3514,4.5352,0.0087,3.0336,0.0,-0.0973,0.1248,96.9288,0.0,260.404,260.758,83.237,83.502,60.67,0.0,31.9626,32.2081,25.2445,25.4388
SKQ202110S,RES2.5,B,2021-06-28T01:44:55,-149.3572,60.0253,294,1,100.98,7,4.7187,4.7201,3.0274,3.0503,0.0105,0.0,2.663,2.4463,4.5473,0.0087,4.5026,0.0,-0.0819,0.1142,97.186,0.0,277.225,277.283,87.306,87.499,90.05,0.0,31.5496,31.8123,24.9705,25.1787
SKQ202110S,RES2.5,B,2021-06-28T01:47:21,-149.3572,60.0253,294,1,75.79,8,5.3477,5.3587,3.0579,3.0825,0.0112,0.0,2.9863,2.7323,4.5282,0.0148,5.0,0.0,-0.0647,0.1311,96.7774,0.0011,312.828,312.195,99.833,99.857,100.0,0.0,31.3173,31.586,24.7188,24.9302
SKQ202110S,RES2.5,B,2021-06-28T01:49:37,-149.3572,60.0253,294,1,50.71,9,7.1962,7.1966,3.1836,3.2132,0.0139,0.0,3.1914,2.9238,4.5195,0.1513,5.0,0.0,-0.0034,0.1387,96.5926,0.0459,322.553,322.164,107.235,107.358,100.0,0.0,31.0258,31.3452,24.264,24.5151
SKQ202110S,RES2.5,B,2021-06-28T01:51:24,-149.3572,60.0253,294,1,40.32,10,7.7561,7.7534,3.2035,3.236,0.0281,0.0,3.112,2.8566,4.4822,0.4259,5.0,0.0,0.3228,0.1719,95.7941,0.1946,309.252,309.164,103.919,104.148,100.0,0.0,30.7456,31.0936,23.9684,24.2419
SKQ202110S,RES2.5,B,2021-06-28T01:53:05,-149.3572,60.0253,294,1,30.11,11,8.0983,8.0974,3.2206,3.251,0.0415,0.0,3.1003,2.8444,4.4274,0.9572,5.0,0.0,0.6322,0.221,94.6242,0.9557,305.148,305.033,103.25,103.45,100.0,0.0,30.6298,30.9511,23.8298,24.0819
SKQ202110S,RES2.5,B,2021-06-28T01:54:47,-149.3572,60.0253,294,1,20.29,12,8.8014,8.8,3.2479,3.2785,0.0696,0.0,3.1718,2.9151,4.3358,1.6773,5.0,0.0,1.2776,0.3047,92.666,5.5382,308.101,309.172,105.659,106.267,100.0,0.0,30.3114,30.6292,23.4788,23.7277
SKQ202110S,RES2.5,B,2021-06-28T01:56:32,-149.3572,60.0253,294,1,10.42,13,9.581,9.582,3.2779,3.3065,0.1256,0.0,3.2862,3.0167,4.1399,2.63,4.7499,0.0,2.5666,0.4897,88.4773,50.641,316.261,316.47,110.067,110.371,95.0,0.0,29.9643,30.2532,23.0891,23.3144
SKQ202110S,RES2.5,B,2021-06-28T01:56:39,-149.3572,60.0253,294,1,10.43,14,9.5744,9.5788,3.2772,3.3062,0.1238,0.0,3.2863,3.0188,4.1402,2.6224,5.0,0.0,2.5264,0.4894,88.4832,49.761,316.073,316.791,109.985,110.476,100.0,0.0,29.9635,30.253,23.0895,23.3147
SKQ202110S,RES2.5,B,2021-06-28T01:58:16,-149.3572,60.0253,294,1,4.77,15,10.3941,10.4022,3.2605,3.2925,0.1687,0.0,3.3484,3.0713,3.6738,3.4835,5.0,0.0,3.5581,0.9676,78.513,362.15,319.111,318.641,112.372,112.474,100.0,0.0,29.1289,29.4383,22.3086,22.5481
SKQ202110S,RES2.5,B,2021-06-28T02:00:02,-149.3572,60.0253,294,1,2.33,16,11.0508,11.061,3.1868,3.2092,0.0868,0.0,3.3889,3.1084,3.1549,4.0669,5.0,0.0,1.6736,1.577,67.4194,1394.0,321.327,321.792,113.764,114.123,100.0,0.0,27.8967,28.1062,21.2424,21.4034
SKQ202110S,RES2.5,B,2021-06-28T02:00:09,-149.3572,60.0253,294,1,2.35,17,11.0362,11.0465,3.1846,3.2114,0.0881,0.0,3.3864,3.1129,3.152,4.0513,5.0,0.0,1.7057,1.5806,67.3576,1340.8,321.061,321.593,113.626,114.044,100.0,0.0,27.8866,28.1387,21.237,21.431
