Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Voltage7_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],Altimeter_[m],SUNA,JulianDays_[days],Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ202207S,PWS3,B,2022-04-22T17:32:37,-147.667,60.6668,704,1,721.28,1,5.7751,5.774,3.2782,3.2776,0.011,4.4725,0.0125,0.2074,1.542,1.4638,0.0913,1.0806,0.0273,0.2181,94.6946,0.0,140.674,144.583,4.15,-0.7472,112.7308,33.0841,33.0785,26.0663,26.0621
SKQ202207S,PWS3,B,2022-04-22T17:32:45,-147.667,60.6668,704,1,721.24,2,5.7751,5.774,3.2782,3.2776,0.011,4.4803,0.0125,0.2029,1.5415,1.4632,0.0913,1.1502,0.0279,0.2111,94.8603,0.0,140.438,144.414,4.06,-0.7472,112.7309,33.084,33.0786,26.0663,26.0621
SKQ202207S,PWS3,B,2022-04-22T17:32:52,-147.667,60.6668,704,1,721.24,3,5.7752,5.774,3.2782,3.2776,0.011,4.4761,0.0125,0.2113,1.541,1.464,0.0912,1.0813,0.0284,0.2149,94.7701,0.0,140.506,144.514,4.23,-0.7485,112.7309,33.0841,33.0786,26.0663,26.0621
SKQ202207S,PWS3,B,2022-04-22T17:38:42,-147.667,60.6668,704,1,505.44,4,5.7831,5.7823,3.2661,3.2655,0.0105,4.5875,0.0123,5.0,1.5901,1.5073,0.0909,1.0808,0.0153,0.1165,97.1306,0.0,143.18,146.728,100.0,-0.7522,112.735,33.0429,33.0374,26.0328,26.0286
SKQ202207S,PWS3,B,2022-04-22T17:44:38,-147.667,60.6668,704,1,277.63,5,5.9592,5.9588,3.234,3.2335,0.0107,4.5887,0.0125,5.0,1.8069,1.7124,0.09,1.0921,0.0193,0.1154,97.1559,0.0,166.17,171.248,100.0,-0.7637,112.7391,32.6226,32.6169,25.6793,25.6749
SKQ202207S,PWS3,B,2022-04-22T17:47:34,-147.667,60.6668,704,1,252.8,6,5.8872,5.8868,3.218,3.2174,0.011,4.5337,0.0124,5.0,1.9228,1.8169,0.0897,1.149,0.0279,0.1637,95.9897,0.0,180.35,185.569,100.0,-0.7672,112.7411,32.5242,32.5187,25.6103,25.6061
SKQ202207S,PWS3,B,2022-04-22T17:50:31,-147.667,60.6668,704,1,201.9,7,5.6038,5.6028,3.163,3.1625,0.011,4.4733,0.0125,5.0,2.2168,2.0911,0.0888,1.1526,0.0273,0.2172,94.7131,0.0,217.815,224.663,100.0,-0.7781,112.7432,32.202,32.1972,25.3893,25.3857
SKQ202207S,PWS3,B,2022-04-22T17:52:55,-147.667,60.6668,704,1,151.56,8,5.3941,5.393,3.1159,3.1155,0.011,4.5267,0.0124,5.0,2.3657,2.2224,0.0883,1.1505,0.0279,0.1698,95.8429,0.0,236.666,242.959,100.0,-0.7843,112.7449,31.8945,31.8903,25.1702,25.167
SKQ202207S,PWS3,B,2022-04-22T17:55:01,-147.667,60.6668,704,1,126.05,9,5.2066,5.2205,3.0895,3.0909,0.0147,4.5125,0.0124,5.0,2.4481,2.3024,0.0883,1.0833,0.1116,0.1824,95.5427,0.0,247.24,254.846,100.0,-0.7846,112.7463,31.7853,31.7882,25.1048,25.1055
SKQ202207S,PWS3,B,2022-04-22T17:57:33,-147.667,60.6668,704,1,100.82,10,4.9799,4.9863,3.0566,3.0574,0.0147,4.5456,0.0123,5.0,2.5501,2.395,0.088,1.0806,0.1139,0.1531,96.2435,0.0,261.165,268.494,100.0,-0.7887,112.7481,31.6371,31.6398,25.0122,25.0136
SKQ202207S,PWS3,B,2022-04-22T17:59:57,-147.667,60.6668,704,1,75.87,11,4.582,4.6114,3.0077,3.0108,0.0197,4.5207,0.0124,5.0,2.628,2.4648,0.0879,1.1289,0.2285,0.1752,95.7142,0.0,273.356,281.089,100.0,-0.789,112.7497,31.4651,31.4728,24.9176,24.9207
SKQ202207S,PWS3,B,2022-04-22T18:00:21,-147.667,60.6668,704,1,75.76,12,4.5921,4.594,3.0089,3.0089,0.0195,4.5205,0.0125,5.0,2.6322,2.4712,0.0879,1.1544,0.2239,0.1754,95.7105,0.0,273.716,282.62,100.0,-0.789,112.75,31.4696,31.4667,24.9202,24.9177
SKQ202207S,PWS3,B,2022-04-22T18:02:53,-147.667,60.6668,704,1,50.63,13,4.0558,4.0561,2.9368,2.9365,0.0544,4.4538,0.0127,5.0,2.7131,2.5458,0.0881,1.1543,1.0269,0.2348,94.2983,0.0,287.761,296.583,100.0,-0.7865,112.7518,31.1518,31.1487,24.7209,24.7184
SKQ202207S,PWS3,B,2022-04-22T18:03:01,-147.667,60.6668,704,1,50.61,14,4.0559,4.0574,2.9368,2.9367,0.0546,4.4421,0.0136,4.966,2.7123,2.5448,0.0881,1.0825,1.0315,0.2453,94.0502,0.0002,287.645,296.637,99.32,-0.7871,112.7519,31.152,31.1492,24.7211,24.7187
SKQ202207S,PWS3,B,2022-04-22T18:04:55,-147.667,60.6668,704,1,40.78,15,3.9965,3.995,2.9264,2.926,0.0762,4.4328,0.0126,5.0,2.7485,2.5786,0.088,1.0814,1.5278,0.2537,93.855,0.0,292.612,302.147,100.0,-0.7884,112.7532,31.092,31.0887,24.679,24.6765
SKQ202207S,PWS3,B,2022-04-22T18:05:03,-147.667,60.6668,704,1,40.88,16,3.9968,3.9954,2.9265,2.9261,0.0718,4.4333,0.0127,5.0,2.7461,2.5783,0.0881,1.1451,1.4263,0.2533,93.8634,0.0,291.654,301.765,100.0,-0.7868,112.7533,31.0919,31.0891,24.6789,24.6768
SKQ202207S,PWS3,B,2022-04-22T18:07:00,-147.667,60.6668,704,1,30.26,17,3.9029,3.8968,2.9092,2.9039,0.1572,4.0804,0.0302,5.0,2.7819,2.6451,0.0882,1.0827,3.391,0.5852,86.3913,0.005,297.693,311.679,100.0,-0.7862,112.7546,30.9835,30.9272,24.6016,24.5574
SKQ202207S,PWS3,B,2022-04-22T18:07:14,-147.667,60.6668,704,1,30.23,18,3.8979,3.8985,2.9055,2.9043,0.2386,4.0885,0.0269,5.0,2.8098,2.6473,0.0881,1.0835,5.2628,0.5772,86.5623,0.004,302.931,311.959,100.0,-0.7865,112.7548,30.9447,30.9303,24.5711,24.5596
SKQ202207S,PWS3,B,2022-04-22T18:09:48,-147.667,60.6668,704,1,20.55,19,4.2805,4.2971,2.9285,2.9288,0.5457,3.5988,0.3045,5.0,3.3001,3.0842,0.0898,1.4169,12.3249,1.0878,76.1919,0.1173,360.71,370.596,100.0,-0.7665,112.7566,30.8586,30.8465,24.4665,24.4552
SKQ202207S,PWS3,B,2022-04-22T18:09:55,-147.667,60.6668,704,1,20.51,20,4.2814,4.3105,2.9284,2.9297,0.6016,3.5863,0.3117,5.0,3.281,3.0812,0.0899,1.3484,13.6109,1.1021,75.9254,0.1213,357.936,370.454,100.0,-0.765,112.7567,30.8567,30.8438,24.4649,24.4518
SKQ202207S,PWS3,B,2022-04-22T18:11:54,-147.667,60.6668,704,1,9.89,21,4.3647,4.3635,2.9326,2.9322,0.692,3.4203,1.6068,4.9942,3.3988,3.1773,0.0905,1.3461,15.6897,1.2914,72.4112,4.6899,371.508,383.061,99.89,-0.7572,112.758,30.8318,30.8285,24.437,24.4345
SKQ202207S,PWS3,B,2022-04-22T18:12:01,-147.667,60.6668,704,1,9.83,22,4.3643,4.363,2.9326,2.9322,0.5888,3.4311,1.6441,4.9938,3.3957,3.1778,0.0905,1.3487,13.3164,1.2788,72.6397,5.1216,371.972,383.591,99.88,-0.7572,112.7581,30.8323,30.8288,24.4374,24.4348
SKQ202207S,PWS3,B,2022-04-22T18:14:02,-147.667,60.6668,704,1,1.99,23,4.3651,4.3642,2.9323,2.9319,0.5534,3.409,3.1518,5.0,3.4009,3.184,0.0905,1.3948,12.5037,1.3046,72.1701,168.97,372.138,383.594,100.0,-0.7581,112.7595,30.832,30.8289,24.4371,24.4347
SKQ202207S,PWS3,B,2022-04-22T18:14:12,-147.667,60.6668,704,1,1.99,24,4.3651,4.3643,2.9323,2.932,0.546,3.405,3.1379,5.0,3.3999,3.1834,0.0904,1.4142,12.334,1.3092,72.0872,163.52,371.042,384.061,100.0,-0.7584,112.7596,30.8321,30.8289,24.4372,24.4347
SKQ202207S,PWS2,B,2022-04-22T20:12:25,-147.803,60.5348,728,2,101.27,1,4.9884,4.9878,3.0592,3.0588,0.0171,4.5336,0.0128,5.0,2.5398,2.3927,0.08,1.0825,0.1672,0.1638,95.9876,0.0001,259.251,268.577,100.0,-0.8894,112.8417,31.6583,31.654,25.0281,25.0248
SKQ202207S,PWS2,B,2022-04-22T20:14:52,-147.803,60.5348,728,2,75.31,2,4.5319,4.5309,3.0013,3.0009,0.0333,4.4702,0.0124,5.0,2.6243,2.4713,0.08,1.0819,0.5415,0.2201,94.6466,0.0,272.583,281.826,100.0,-0.8891,112.8434,31.4383,31.4345,24.9015,24.8986
SKQ202207S,PWS2,B,2022-04-22T20:14:59,-147.803,60.5348,728,2,75.34,3,4.5315,4.5312,3.0012,3.0009,0.0336,4.4776,0.0125,5.0,2.6314,2.4653,0.0796,1.1509,0.5466,0.2135,94.8022,0.0,274.704,281.335,100.0,-0.8941,112.8435,31.4379,31.4345,24.9013,24.8986
SKQ202207S,PWS2,B,2022-04-22T20:17:19,-147.803,60.5348,728,2,50.48,4,4.2268,4.2263,2.9586,2.9583,0.0533,4.434,0.0137,5.0,2.6942,2.5326,0.0798,1.088,1.0011,0.2526,93.8787,0.0003,283.472,293.458,100.0,-0.8919,112.8451,31.2448,31.2412,24.7783,24.7755
SKQ202207S,PWS2,B,2022-04-22T20:17:28,-147.803,60.5348,728,2,50.5,5,4.2272,4.2262,2.9586,2.9583,0.0556,4.4334,0.0158,5.0,2.6927,2.5324,0.0797,1.0838,1.0538,0.2532,93.8655,0.0009,283.421,292.981,100.0,-0.8919,112.8452,31.2443,31.2413,24.7779,24.7756
SKQ202207S,PWS2,B,2022-04-22T20:19:12,-147.803,60.5348,728,2,40.35,6,4.1315,4.1349,2.9453,2.9455,0.0606,4.4358,0.0388,5.0,2.7082,2.5449,0.0804,1.0832,1.169,0.251,93.9178,0.0075,285.905,295.124,100.0,-0.8835,112.8464,31.1849,31.1836,24.74,24.7386
SKQ202207S,PWS2,B,2022-04-22T20:21:08,-147.803,60.5348,728,2,30.16,7,3.9098,3.9089,2.9167,2.9164,0.0732,4.432,0.2859,5.0,2.7447,2.5772,0.0805,1.0836,1.459,0.2544,93.8376,0.1072,292.421,301.622,100.0,-0.8832,112.8478,31.0648,31.0621,24.6655,24.6634
