Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],<20_Phaeo_[ug/L],>20_Chl_A_[ug/L],>20_Phaeo_[ug/L],Total_Chl_A_[ug/L],Total_Phaeo_[ug/L],Fraction Chl >20,Data flag
SKQ202210S,RES2.5,B,2022-07-07T16:45:05,-149.3575,60.019,294,1,2.0,17,0.41,0.17,0.04,0.02,0.45,0.19,0.08,1
SKQ202210S,RES2.5,B,2022-07-07T16:42:06,-149.3575,60.019,294,1,9.9,15,0.94,0.71,0.01,0.05,0.96,0.77,0.01,1
SKQ202210S,RES2.5,B,2022-07-07T16:39:59,-149.3575,60.019,294,1,20.0,13,0.57,0.52,0.01,0.08,0.59,0.60,0.02,1
SKQ202210S,RES2.5,B,2022-07-07T16:37:51,-149.3575,60.019,294,1,30.3,11,0.16,0.31,0.01,0.05,0.17,0.36,0.05,1
SKQ202210S,RES2.5,B,2022-07-07T16:35:53,-149.3575,60.019,294,1,40.3,10,0.05,0.14,0.01,0.03,0.05,0.17,0.10,1
SKQ202210S,RES2.5,B,2022-07-07T16:33:59,-149.3575,60.019,294,1,50.5,9,0.02,0.08,0.00,0.01,0.02,0.09,0.07,1
SKQ202210S,RES2.5,B,2022-07-07T16:31:05,-149.3575,60.019,294,1,75.8,8,0.01,0.06,0.00,0.01,0.01,0.07,0.10,1
SKQ202210S,GAK1,B,2022-07-07T19:57:31,-149.4672,59.8453,269,2,2.2,17,0.81,0.27,0.07,0.03,0.88,0.30,0.08,1
SKQ202210S,GAK1,B,2022-07-07T19:55:26,-149.4672,59.8453,269,2,10.2,15,2.33,1.21,0.06,0.12,2.39,1.33,0.03,1
SKQ202210S,GAK1,B,2022-07-07T19:53:21,-149.4672,59.8453,269,2,20.4,13,0.54,0.59,0.01,0.06,0.55,0.65,0.02,1
SKQ202210S,GAK1,B,2022-07-07T19:51:05,-149.4672,59.8453,269,2,30.5,11,0.18,0.27,0.02,0.03,0.19,0.30,0.08,1
SKQ202210S,GAK1,B,2022-07-07T19:48:59,-149.4672,59.8453,269,2,40.4,10,0.09,0.22,0.00,0.03,0.09,0.26,0.05,1
SKQ202210S,GAK1,B,2022-07-07T19:46:48,-149.4672,59.8453,269,2,50.4,9,0.07,0.18,0.00,0.02,0.08,0.21,0.03,1
SKQ202210S,GAK1,B,2022-07-07T19:43:42,-149.4672,59.8453,269,2,75.7,8,0.04,0.11,0.00,0.03,0.05,0.14,0.06,1
