Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Voltage7_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],Oxygen_[umol/kg],Oxygen2_[umol/kg],PAR_[umol_photons/m2/sec],Altimeter_[m],SUNA,LISST,JulianDays_[days],Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ202210S,RES2.5,B,2022-07-07T16:14:53,-149.3575,60.019,294,1,290.7,1,5.6834,5.682,3.2512,3.2506,0.011,3.7131,0.0123,0.2332,1.6094,1.541,0.0837,0.5575,0.0279,0.9627,78.611,141.02,147.487,0.0,4.66,-0.8423,0.0,188.6763,33.0773,33.0718,26.072,26.0678
SKQ202210S,RES2.5,B,2022-07-07T16:15:02,-149.3575,60.019,294,1,290.71,2,5.6841,5.6835,3.2514,3.2509,0.0111,3.7479,0.0125,0.2332,1.6038,1.5295,0.0832,0.6333,0.029,0.9252,79.3488,140.437,145.658,0.0,4.66,-0.8476,0.0,188.6764,33.0784,33.0733,26.0727,26.0688
SKQ202210S,RES2.5,B,2022-07-07T16:17:32,-149.3575,60.019,294,1,254.24,3,5.6692,5.6683,3.246,3.2454,0.011,4.297,0.0126,2.0475,1.6965,1.6181,0.0836,0.309,0.0273,0.3782,90.9773,152.185,157.961,0.0,40.95,-0.843,0.0,188.6782,33.05,33.044,26.0521,26.0474
SKQ202210S,RES2.5,B,2022-07-07T16:20:21,-149.3575,60.019,294,1,202.71,4,5.6482,5.6449,3.2381,3.2373,0.011,4.3532,0.0125,4.6123,1.7523,1.6671,0.0829,0.3021,0.0273,0.3262,92.1694,158.223,163.729,0.0,92.25,-0.8517,0.0,188.6801,33.0068,33.0016,26.0205,26.0168
SKQ202210S,RES2.5,B,2022-07-07T16:23:18,-149.3575,60.019,294,1,151.8,5,5.5853,5.5854,3.2109,3.2106,0.011,4.4265,0.0125,1.7206,1.9031,1.8099,0.0824,0.5421,0.0273,0.2594,93.7209,177.2,184.028,0.0,34.41,-0.8589,0.0,188.6822,32.7861,32.7823,25.8534,25.8503
SKQ202210S,RES2.5,B,2022-07-07T16:25:51,-149.3575,60.019,294,1,126.4,6,5.4557,5.4544,3.1676,3.1678,0.0108,4.4529,0.0125,2.9822,2.2338,2.1101,0.0817,0.3309,0.0233,0.2357,94.2787,217.949,225.939,0.0,59.64,-0.8673,0.0,188.684,32.4333,32.4369,25.5894,25.5924
SKQ202210S,RES2.5,B,2022-07-07T16:28:22,-149.3575,60.019,294,1,101.06,7,5.482,5.4931,3.1408,3.1415,0.011,4.477,0.0124,4.6764,2.4705,2.3282,0.0814,0.1107,0.0273,0.214,94.7896,246.568,254.759,0.0,93.53,-0.8707,0.0,188.6857,32.1165,32.1139,25.3358,25.3324
SKQ202210S,RES2.5,B,2022-07-07T16:31:05,-149.3575,60.019,294,1,75.78,8,5.1228,5.1064,3.0736,3.0707,0.011,4.4608,0.0125,5.0,2.5788,2.4335,0.0813,0.093,0.0279,0.2286,94.4466,262.836,272.331,0.0,100.0,-0.8723,0.0,188.6876,31.7076,31.6904,25.0525,25.0407
SKQ202210S,RES2.5,B,2022-07-07T16:33:59,-149.3575,60.019,294,1,50.52,9,5.0924,5.0746,3.0439,3.0428,0.012,4.4468,0.0548,5.0,2.6407,2.4917,0.0812,0.3354,0.0497,0.2411,94.1505,270.494,280.49,0.0125,100.0,-0.8735,0.0,188.6896,31.4102,31.4138,24.8204,24.8252
SKQ202210S,RES2.5,B,2022-07-07T16:35:53,-149.3575,60.019,294,1,40.34,10,5.9509,5.9051,3.1,3.0973,0.0208,4.4743,0.2549,5.0,2.8126,2.6506,0.0811,0.4104,0.252,0.2165,94.7321,285.93,295.911,0.0914,100.0,-0.8751,0.0,188.6909,31.247,31.2598,24.594,24.6096
