Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Voltage7_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],Oxygen_[umol/kg],Oxygen2_[umol/kg],PAR_[umol_photons/m2/sec],Altimeter_[m],SUNA,LISST,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
TGX201809,RES2.5,B,2018-09-12T05:28:51,-149.3543,60.021,293,1,287.82,1,5.9783,5.9777,3.2968,3.297,1.402,1.5459,0.0535,3.4259,4.2122,0,0.0753,0.0098,0.0513,0.4525,89.3035,137.032,141.288,0.0,1.51,27.2059,0,33.3027,33.3046,26.2142,26.2158
TGX201809,RES2.5,B,2018-09-12T05:30:53,-149.3543,60.021,293,1,252.64,2,5.9711,5.9708,3.2927,3.2929,1.4172,1.5639,0.054,3.4384,4.251,0,2.4252,0.009,0.0525,0.4158,90.1263,138.661,143.165,0.0,48.5,27.3079,0,33.2812,33.2827,26.1981,26.1993
TGX201809,RES2.5,B,2018-09-12T05:33:12,-149.3543,60.021,293,1,202.56,3,5.9467,5.946,3.2827,3.2828,1.4289,1.5768,0.052,3.3952,4.272,0,4.747,0.0061,0.0474,0.3962,90.5712,139.748,144.031,0.0,94.94,26.9569,0,33.2172,33.2191,26.1506,26.1522
TGX201809,RES2.5,B,2018-09-12T05:34:49,-149.3543,60.021,293,1,151.76,4,5.8439,5.8434,3.2549,3.2551,1.5834,1.7555,0.051,3.1724,4.4608,0,4.7922,0.0061,0.045,0.2231,94.5756,162.349,167.435,0.0,95.84,25.15,0,33.0306,33.0328,26.0157,26.0175
TGX201809,RES2.5,B,2018-09-12T05:36:05,-149.3543,60.021,293,1,126.32,5,5.6689,5.6683,3.2063,3.2064,1.8901,2.1034,0.0513,2.6911,4.5319,0,4.8228,0.0061,0.0457,0.1599,96.0822,209.721,214.411,0.0,96.46,21.2469,0,32.665,32.667,25.7477,25.7494
TGX201809,RES2.5,B,2018-09-12T05:37:32,-149.3543,60.021,293,1,100.8,6,5.6306,5.6302,3.1686,3.1687,2.0951,2.3393,0.0501,2.3035,4.5099,0,4.8435,0.0061,0.0427,0.1793,95.6155,241.169,246.431,0.0,96.87,18.1032,0,32.2896,32.2902,25.4554,25.456
TGX201809,RES2.5,B,2018-09-12T05:38:36,-149.3543,60.021,293,1,76.02,7,6.1206,6.1196,3.1888,3.1889,2.1406,2.3944,0.0494,2.219,4.522,0,4.8497,0.0061,0.0411,0.1687,95.8718,244.486,250.116,0.0,96.99,17.4182,0,32.0612,32.063,25.2164,25.2179
TGX201809,RES2.5,B,2018-09-12T05:40:04,-149.3543,60.021,293,1,51.05,8,6.8435,6.8437,3.2132,3.2133,2.1931,2.4579,0.0488,1.8766,4.4552,0,4.8655,0.0061,0.0396,0.2281,94.4561,247.635,253.686,0.0,97.31,14.6415,0,31.6672,31.6688,24.8147,24.816
TGX201809,RES2.5,B,2018-09-12T05:41:17,-149.3543,60.021,293,1,40.73,9,7.3863,7.3852,3.2371,3.2371,2.2291,2.4989,0.047,1.7745,4.5033,0,4.8676,0.0072,0.035,0.1852,95.4744,249.328,255.958,0.0002,97.35,13.8133,0,31.4345,31.4361,24.5599,24.5613
TGX201809,RES2.5,B,2018-09-12T05:42:07,-149.3543,60.021,293,1,30.88,10,9.422,9.434,3.3536,3.3542,2.2819,2.5604,0.0406,1.4181,4.5245,0,4.8593,0.0105,0.019,0.1664,95.9246,245.534,252.525,0.0007,97.19,10.9224,0,30.8598,30.8563,23.8131,23.8084
TGX201809,RES2.5,B,2018-09-12T05:43:09,-149.3543,60.021,293,1,20.49,11,11.4289,11.4376,3.4186,3.4191,2.3457,2.6317,0.0658,1.0516,4.5078,0,4.8247,0.0061,0.0818,0.1812,95.5711,244.102,251.635,0.0,96.49,7.9503,0,29.838,29.8358,22.6851,22.6818
TGX201809,RES2.5,B,2018-09-12T05:43:20,-149.3543,60.021,293,1,20.54,12,11.4519,11.4516,3.4197,3.4197,2.3508,2.6326,0.064,1.0292,4.5083,0,4.8221,0.0071,0.0775,0.1807,95.5817,245.175,251.339,0.0001,96.44,7.769,0,29.8296,29.8298,22.6745,22.6747
TGX201809,GAK1,B,2018-09-12T18:18:24,-149.4853,59.8467,268,2,50.72,1,8.2524,8.2521,3.364,3.3641,2.2535,2.5277,0.0518,1.681,4.6599,0,4.5898,1.2329,0.0469,0.0484,98.7972,246.782,253.497,1.45,91.8,13.0551,0,31.9951,31.996,24.8781,24.8789
TGX201809,GAK1,B,2018-09-12T18:19:41,-149.4853,59.8467,268,2,40.81,2,8.0409,8.0361,3.3158,3.3152,2.1862,2.4493,0.0506,1.7283,4.6476,0,4.5829,1.5972,0.0439,0.059,98.535,239.055,245.471,3.49,91.66,13.439,0,31.6818,31.6801,24.6631,24.6624
TGX201809,GAK1,B,2018-09-12T18:20:51,-149.4853,59.8467,268,2,33.04,3,9.2296,9.2452,3.3763,3.3772,2.2456,2.5243,0.0495,1.4808,4.6474,0,4.6175,1.8475,0.0412,0.0591,98.5329,240.838,248.223,6.28,92.35,11.4309,0,31.2585,31.2543,24.1545,24.1488
TGX201809,GAK1,B,2018-09-12T18:22:05,-149.4853,59.8467,268,2,29.9,4,9.5726,9.5755,3.3894,3.3896,2.2766,2.5565,0.052,1.3533,4.6477,0,4.6357,1.9926,0.0474,0.0589,98.5382,243.066,250.422,8.8,92.71,10.3972,0,31.0952,31.0943,23.9732,23.972
