Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Voltage7_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],Oxygen_[umol/kg],PAR_[umol_photons/m2/sec],Altimeter_[m],SUNA,LISST,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
TGX201909,KIP2,B,2019-09-12T16:03:55,-147.9902,60.2728,586,2,577.67,1,6.3283,6.3276,3.3291,3.3298,1.4106,0,0.0378,3.4675,4.3531,1.0744,0.1729,0.0165,0.0118,0.3209,92.2918,144.87,0.0014,3.46,27.5436,1.0745,33.1817,33.1898,26.0747,26.0812
TGX201909,KIP2,B,2019-09-12T16:05:58,-147.9902,60.2728,586,2,505.4,2,6.3218,6.3212,3.325,3.3256,1.4211,0,0.0365,3.3745,4.4571,1.0759,4.8785,0.0061,0.0088,0.2265,94.4947,145.189,0.0,97.57,26.789,1.0759,33.1764,33.1845,26.0714,26.0778
TGX201909,KIP2,B,2019-09-12T16:10:40,-147.9902,60.2728,586,2,253.94,3,6.3094,6.3088,3.306,3.3067,1.4728,0,0.0366,3.3083,4.5446,1.1426,4.8983,0.0186,0.0091,0.1487,96.3522,148.692,0.0022,97.96,26.252,1.1426,33.0987,33.1068,26.0116,26.0181
TGX201909,KIP2,B,2019-09-12T16:12:09,-147.9902,60.2728,586,2,203.08,4,6.3273,6.3267,3.296,3.2967,1.5032,0,0.0362,3.3373,4.5323,1.076,4.9004,0.0179,0.008,0.1596,96.0906,152.233,0.0021,98.01,26.4879,1.076,32.995,33.003,25.9275,25.9339
TGX201909,KIP2,B,2019-09-12T16:13:35,-147.9902,60.2728,586,2,151.76,5,6.3696,6.3689,3.2838,3.2845,1.5582,0,0.0365,3.2211,4.5264,1.0763,4.9083,0.0061,0.0089,0.1647,95.9653,159.693,0.0,98.17,25.5453,1.0764,32.8432,32.8517,25.8024,25.8092
TGX201909,KIP2,B,2019-09-12T16:14:36,-147.9902,60.2728,586,2,126.63,6,6.4115,6.4107,3.2753,3.276,1.6046,0,0.0364,3.1885,4.5349,1.0771,4.9146,0.0073,0.0085,0.1572,96.1455,166.267,0.0002,98.29,25.281,1.0771,32.7208,32.7294,25.7005,25.7074
TGX201909,KIP2,B,2019-09-12T16:15:38,-147.9902,60.2728,586,2,101.0,7,6.5377,6.5372,3.2619,3.2625,1.7165,0,0.0366,2.9348,4.5687,1.0747,4.9183,0.0422,0.0091,0.1275,96.8636,181.902,0.0072,98.36,23.2235,1.0748,32.4642,32.472,25.4821,25.4883
TGX201909,KIP2,B,2019-09-12T16:16:53,-147.9902,60.2728,586,2,76.15,8,6.8081,6.8081,3.2529,3.2536,1.8448,0,0.0383,2.7107,4.5792,1.0744,4.9221,0.0115,0.0131,0.1183,97.0851,199.75,0.0009,98.44,21.4058,1.0744,32.1223,32.1297,25.1778,25.1836
TGX201909,KIP2,B,2019-09-12T16:17:57,-147.9902,60.2728,586,2,50.63,9,7.242,7.2419,3.265,3.2657,1.8876,0,0.0393,2.6189,4.5499,1.0742,4.9236,0.0918,0.0156,0.144,96.4641,203.518,0.0193,98.47,20.6613,1.0742,31.8632,31.8706,24.9164,24.9222
TGX201909,KIP2,B,2019-09-12T16:19:12,-147.9902,60.2728,586,2,40.39,10,8.0312,8.0188,3.2856,3.286,1.9443,0,0.0424,2.3563,4.5368,1.0741,4.9264,0.1533,0.0235,0.1555,96.1872,208.28,0.0363,98.53,18.5315,1.0741,31.3714,31.3867,24.4209,24.4347
TGX201909,KIP2,B,2019-09-12T16:19:59,-147.9902,60.2728,586,2,30.3,11,9.1899,9.1749,3.3054,3.3062,2.1142,0,0.0472,1.9306,4.5507,1.0743,4.9262,0.3322,0.0354,0.1433,96.4805,227.252,0.102,98.52,15.0788,1.0743,30.5668,30.5878,23.62,23.6387
TGX201909,KIP2,B,2019-09-12T16:20:45,-147.9902,60.2728,586,2,20.24,12,10.9603,10.9583,3.2716,3.2722,2.2718,0,0.0571,1.4033,4.5048,1.1424,4.9261,0.6767,0.0603,0.1839,95.5066,241.829,0.337,98.52,10.8026,1.1424,28.7836,28.7905,21.9465,21.9522
TGX201909,KIP2,B,2019-09-12T16:21:42,-147.9902,60.2728,586,2,9.81,13,13.9635,13.9582,3.2756,3.276,2.508,0,0.1029,0.5668,4.3172,1.1408,4.9259,1.351,0.1746,0.3541,91.5287,259.457,1.94,98.52,4.0187,1.1408,26.6154,26.6228,19.7254,19.7322
TGX201909,KIP2,B,2019-09-12T16:22:15,-147.9902,60.2728,586,2,2.14,14,13.739,13.7208,2.9083,2.9129,2.5298,0,0.0884,0.6384,4.2621,1.3339,4.9237,2.3942,0.1384,0.4054,90.3614,269.226,22.7,98.47,4.5993,1.3339,23.4801,23.5321,17.3539,17.3973
TGX201909,PWS1,B,2019-09-12T17:54:03,-147.9418,60.3742,338,3,344.0,1,6.3103,6.3096,3.3167,3.3174,1.4496,0,0.035,3.3503,4.5059,1.0746,0.0925,0.0098,0.0049,0.1829,95.5304,146.537,0.0,1.85,26.5932,1.0746,33.1728,33.1809,26.07,26.0765
TGX201909,PWS1,B,2019-09-12T17:56:52,-147.9418,60.3742,338,3,253.08,2,6.3163,6.3154,3.3034,3.3041,1.4829,0,0.0352,3.3142,4.5494,1.0741,4.929,0.0061,0.0056,0.1445,96.4525,149.995,0.0,98.58,26.2999,1.0741,33.0633,33.0721,25.9828,25.9899
TGX201909,PWS1,B,2019-09-12T17:58:32,-147.9418,60.3742,338,3,201.97,3,6.3317,6.3313,3.2953,3.2958,1.5116,0,0.0357,3.2188,4.5394,1.0942,4.9279,0.0061,0.0068,0.1532,96.2417,153.411,0.0,98.56,25.5263,1.0942,32.9829,32.9893,25.9174,25.9225
TGX201909,PWS1,B,2019-09-12T17:59:56,-147.9418,60.3742,338,3,151.23,4,6.3688,6.3685,3.2836,3.2842,1.566,0,0.0354,3.1639,4.5457,1.0765,4.9293,0.0061,0.0059,0.1477,96.3754,160.721,0.0,98.59,25.0815,1.0765,32.8416,32.8485,25.8013,25.8067
TGX201909,PWS1,B,2019-09-12T18:01:15,-147.9418,60.3742,338,3,125.98,5,6.4125,6.4109,3.2746,3.2754,1.6145,0,0.0354,3.0958,4.5562,1.0744,4.9317,0.0085,0.0061,0.1385,96.5968,167.519,0.0004,98.63,24.5292,1.0744,32.7123,32.723,25.6937,25.7023
TGX201909,PWS1,B,2019-09-12T18:02:32,-147.9418,60.3742,338,3,100.66,6,6.488,6.4871,3.2624,3.2631,1.7044,0,0.0359,3.0027,4.577,1.0749,4.9329,0.0062,0.0073,0.1203,97.0386,180.476,0.0,98.66,23.7738,1.0749,32.5177,32.5258,25.5306,25.5371
TGX201909,PWS1,B,2019-09-12T18:03:34,-147.9418,60.3742,338,3,75.79,7,6.6098,6.6095,3.2462,3.2469,1.8186,0,0.0364,2.7449,4.5819,1.0757,4.9335,0.0565,0.0086,0.1159,97.1432,196.625,0.0106,98.67,21.6836,1.0757,32.2355,32.2435,25.2926,25.2989
TGX201909,PWS1,B,2019-09-12T18:04:32,-147.9418,60.3742,338,3,50.54,8,7.2308,7.2294,3.2626,3.2632,1.9177,0,0.0398,2.5551,4.5823,1.1433,4.9344,0.3721,0.0169,0.1156,97.1521,208.115,0.121,98.69,20.1441,1.1433,31.8474,31.8551,24.9055,24.9118
TGX201909,PWS1,B,2019-09-12T18:05:31,-147.9418,60.3742,338,3,40.14,9,7.6909,7.691,3.2788,3.2794,1.9722,0,0.04,2.4038,4.583,1.0758,4.9344,0.598,0.0174,0.1149,97.1674,213.433,0.266,98.69,18.9166,1.0758,31.6056,31.6125,24.6526,24.658
TGX201909,PWS1,B,2019-09-12T18:06:18,-147.9418,60.3742,338,3,30.45,10,8.6467,8.6548,3.3029,3.3037,2.1003,0,0.0463,2.0811,4.5792,1.0758,4.9345,0.9219,0.0331,0.1183,97.0861,227.421,0.663,98.69,16.2996,1.0758,31.0115,31.0126,24.0496,24.0493
TGX201909,PWS1,B,2019-09-12T18:07:23,-147.9418,60.3742,338,3,20.11,11,12.3806,12.3915,3.3678,3.3684,2.441,0,0.0656,0.8907,4.4936,1.0755,4.9346,1.3834,0.0815,0.1938,95.2705,256.646,2.1,98.69,6.6456,1.0755,28.6073,28.6044,21.5611,21.5569
