Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Voltage7_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],Oxygen_[umol/kg],Oxygen2_[umol/kg],PAR_[umol_photons/m2/sec],Altimeter_[m],SUNA,LISST,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
WSD201807,CS1,B,2018-07-05T17:28:30,-143.8927,59.9382,63,1,60.23,1,6.5873,6.5876,3.2466,3.2467,2.2483,2.4898,0.0367,1.9308,2.5329,1.4059,0.1995,0.0288,0.0093,2.4877,53.6923,256.178,257.666,0.0042,3.99,15.0806,1.4059,32.2685,32.2696,25.3215,25.3223
WSD201807,CS1,B,2018-07-05T17:30:04,-143.8927,59.9382,63,1,50.17,2,7.1487,7.1647,3.2854,3.287,2.2773,2.5379,0.0379,1.5309,3.8291,1.0741,0.729,0.5185,0.0122,0.8341,81.1791,256.41,260.833,0.206,14.58,11.8377,1.0742,32.1703,32.1733,25.1705,25.1707
WSD201807,CS1,B,2018-07-05T17:31:52,-143.8927,59.9382,63,1,40.27,3,7.7276,7.7234,3.329,3.3288,2.4451,2.7156,0.0504,1.2869,4.385,1.0763,1.2071,0.9026,0.0435,0.2917,92.9671,276.734,279.558,0.631,24.14,9.8588,1.0763,32.1084,32.1101,25.0423,25.0442
WSD201807,CS1,B,2018-07-05T17:33:02,-143.8927,59.9382,63,1,31.23,4,8.4717,8.4707,3.3864,3.3863,2.5806,2.8616,0.0752,1.0054,4.3399,1.1403,1.6753,1.384,0.1055,0.333,92.0117,291.937,294.27,2.1,33.51,7.5763,1.1403,32.04,32.0404,24.8811,24.8816
WSD201807,CS1,B,2018-07-05T17:35:08,-143.8927,59.9382,63,1,20.36,5,9.8418,9.8429,3.4909,3.4913,2.7695,3.0675,0.1202,0.576,4.193,1.1453,2.1926,2.0595,0.218,0.4709,88.8945,306.401,308.139,10.3,43.85,4.0933,1.1453,31.8953,31.8978,24.5545,24.5562
WSD201807,CS1,B,2018-07-05T17:37:03,-143.8927,59.9382,63,1,9.97,6,11.8124,11.7641,3.6103,3.6012,2.857,3.1612,0.076,0.4549,4.1719,1.193,4.2646,2.8103,0.1076,0.4912,88.4475,304.976,306.893,58.4,85.29,3.1109,1.193,31.379,31.3314,23.8127,23.7845
WSD201807,CS1,B,2018-07-05T17:39:15,-143.8927,59.9382,63,1,2.44,7,12.526,12.5126,3.2852,3.2647,2.8139,3.1103,0.0513,0.4101,3.7311,1.3835,3.9839,3.5872,0.0457,0.9378,79.1008,302.475,305.456,351.0,79.68,2.7476,1.3835,27.73,27.5492,20.8559,20.7186
WSD201807,CS2,B,2018-07-05T22:22:00,-143.8947,59.7745,121,4,16.85,1,8.8487,8.8654,3.4147,3.4161,2.6793,2.9695,0.3485,0.8698,3.3908,1.3357,4.9381,2.6538,0.7887,1.3208,71.8837,300.604,303.014,40.8,98.76,6.4759,1.3357,32.001,32.0006,24.7938,24.7909
WSD201807,CS2,B,2018-07-05T22:23:32,-143.8947,59.7745,121,4,13.03,2,10.2491,10.2454,3.534,3.5338,2.9878,3.3028,0.1003,0.4253,3.9135,1.075,4.9379,3.0178,0.1684,0.7468,82.9699,332.54,334.122,94.2,98.76,2.8712,1.075,31.9733,31.9751,24.5481,24.5501
WSD201807,CS2,B,2018-07-05T22:25:37,-143.8947,59.7745,121,4,6.84,3,12.1326,12.1465,3.706,3.7073,2.9214,3.2142,0.064,0.5454,4.1072,1.1429,4.9389,3.5932,0.0774,0.5536,87.0757,310.259,310.165,355.0,98.78,3.8449,1.1429,32.03,32.0304,24.2587,24.2564
WSD201807,CS2,B,2018-07-05T22:27:30,-143.8947,59.7745,121,4,4.59,4,12.4778,12.4532,3.7092,3.7112,2.8765,3.1738,0.0564,0.4238,4.0865,1.0767,4.9388,3.7071,0.0585,0.5738,86.6377,301.55,303.258,461.0,98.78,2.8589,1.0767,31.7671,31.8069,23.9899,24.0254
WSD201807,CS2,B,2018-07-05T22:28:30,-143.8947,59.7745,121,4,2.07,5,13.8041,13.8046,3.1487,3.1487,2.7013,2.9639,0.0432,0.4092,3.7697,1.1929,4.9383,4.2052,0.0256,0.8966,79.9199,284.124,284.302,1560.0,98.76,2.7409,1.1929,25.5862,25.586,18.9633,18.9631
WSD201807,CS2,B,2018-07-05T23:38:42,-143.8927,59.7735,121,5,119.13,1,6.0409,6.0257,3.2495,3.2464,2.0029,2.2133,0.0487,2.4834,4.2724,1.0742,0.1919,0.0098,0.0392,0.3962,90.5802,224.114,228.172,0.0,3.84,19.5623,1.0743,32.794,32.7739,25.8047,25.7907
WSD201807,CS2,B,2018-07-05T23:41:31,-143.8927,59.7735,121,5,101.22,2,6.0149,6.0147,3.2276,3.2261,2.1825,2.4038,0.0487,2.2669,4.5778,1.0754,1.0968,0.0098,0.0393,0.1195,97.056,250.915,251.859,0.0,21.94,17.8066,1.0754,32.5822,32.5658,25.6407,25.6277
