Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],<20_Phaeo_[ug/L],>20_Chl_A_[ug/L],>20_Phaeo_[ug/L],Total_Chl_A_[ug/L],Total_Phaeo_[ug/L],Fraction Chl >20,Data flag
SKQ202207S,PWS3,B,2022-04-22T18:14:12,-147.667,60.6668,704,1,2.0,24,3.43,1.4,4.7,1.55,8.13,2.95,0.58,1
SKQ202207S,PWS3,B,2022-04-22T18:11:54,-147.667,60.6668,704,1,9.9,21,3.2,1.52,4.87,1.83,8.06,3.34,0.6,1
SKQ202207S,PWS3,B,2022-04-22T18:09:55,-147.667,60.6668,704,1,20.5,20,2.74,1.5,4.08,1.7,6.82,3.2,0.6,1
SKQ202207S,PWS3,B,2022-04-22T18:07:00,-147.667,60.6668,704,1,30.3,17,0.99,1.05,1.52,1.08,2.52,2.13,0.61,1
SKQ202207S,PWS3,B,2022-04-22T18:05:03,-147.667,60.6668,704,1,40.9,16,0.34,0.59,0.48,0.39,0.82,0.98,0.59,1
SKQ202207S,PWS3,B,2022-04-22T18:02:53,-147.667,60.6668,704,1,50.6,13,0.24,0.43,0.26,0.17,0.51,0.6,0.52,1
SKQ202207S,PWS3,B,2022-04-22T18:00:21,-147.667,60.6668,704,1,75.8,12,0.1,0.24,0.05,0.08,0.15,0.32,0.35,1
SKQ202207S,PWS2,B,2022-04-23T01:07:37,-147.8007,60.5362,725,3,1.6,23,2.23,1.08,1.99,0.66,4.22,1.73,0.47,1
SKQ202207S,PWS2,B,2022-04-23T01:05:02,-147.8007,60.5362,725,3,9.9,22,2.48,0.9,1.98,0.86,4.45,1.76,0.44,1
SKQ202207S,PWS2,B,2022-04-23T01:02:29,-147.8007,60.5362,725,3,20.1,16,0.56,0.66,0.85,0.49,1.41,1.15,0.6,1
SKQ202207S,PWS2,B,2022-04-23T01:00:37,-147.8007,60.5362,725,3,30.4,15,0.4,0.64,0.46,0.33,0.87,0.96,0.54,1
SKQ202207S,PWS2,B,2022-04-23T00:58:43,-147.8007,60.5362,725,3,40.5,14,0.35,0.48,0.31,0.28,0.66,0.76,0.47,1
SKQ202207S,PWS2,B,2022-04-23T00:56:37,-147.8007,60.5362,725,3,50.4,13,0.34,0.5,0.24,0.17,0.58,0.68,0.41,1
SKQ202207S,PWS2,B,2022-04-23T00:54:05,-147.8007,60.5362,725,3,75.9,12,0.19,0.33,0.08,0.12,0.27,0.44,0.31,1
SKQ202207S,PWS1,B,2022-04-23T05:32:34,-147.937,60.3797,356,4,1.6,24,4.08,1.48,2.74,0.95,6.82,2.43,0.4,1
SKQ202207S,PWS1,B,2022-04-23T05:29:52,-147.937,60.3797,356,4,10.3,22,3.89,1.53,2.37,1.18,6.26,2.71,0.38,1
SKQ202207S,PWS1,B,2022-04-23T05:27:34,-147.937,60.3797,356,4,20.6,20,2.35,0.98,1.61,0.73,3.96,1.7,0.41,1
SKQ202207S,PWS1,B,2022-04-23T05:25:07,-147.937,60.3797,356,4,30.5,17,0.52,0.59,0.5,0.49,1.02,1.08,0.49,1
SKQ202207S,PWS1,B,2022-04-23T05:22:47,-147.937,60.3797,356,4,40.6,15,0.31,0.5,0.32,0.33,0.62,0.83,0.51,1
SKQ202207S,PWS1,B,2022-04-23T05:20:09,-147.937,60.3797,356,4,50.7,13,0.21,0.39,0.17,0.2,0.38,0.6,0.44,1
SKQ202207S,PWS1,B,2022-04-23T05:17:08,-147.937,60.3797,356,4,75.6,11,0.16,0.23,0.08,0.09,0.24,0.32,0.34,1
SKQ202207S,KIP02,B,2022-04-23T07:47:29,-147.9868,60.2778,582,5,2.5,14,3.89,1.45,2,0.61,5.89,2.07,0.34,1
SKQ202207S,KIP02,B,2022-04-23T07:45:12,-147.9868,60.2778,582,5,10.2,13,3.66,1.72,1.95,0.65,5.61,2.37,0.35,1
SKQ202207S,KIP02,B,2022-04-23T07:43:06,-147.9868,60.2778,582,5,20.3,12,2.94,1.6,1.66,0.81,4.59,2.4,0.36,1
SKQ202207S,KIP02,B,2022-04-23T07:40:45,-147.9868,60.2778,582,5,30.5,11,2.04,1.05,1.26,0.77,3.3,1.82,0.38,1
SKQ202207S,KIP02,B,2022-04-23T07:38:53,-147.9868,60.2778,582,5,40.7,10,1.62,0.8,1.01,0.68,2.63,1.48,0.38,1
SKQ202207S,KIP02,B,2022-04-23T07:37:06,-147.9868,60.2778,582,5,51.0,9,0.8,0.7,0.57,0.57,1.36,1.26,0.42,1
SKQ202207S,KIP02,B,2022-04-23T07:34:31,-147.9868,60.2778,582,5,75.7,8,0.24,0.42,0.14,0.18,0.38,0.6,0.37,1
SKQ202207S,IB0.5,B,2022-04-23T19:29:53,-148.3527,60.2502,184,6,1.8,24,1.58,0.93,0.15,0.16,1.73,1.08,0.09,1
SKQ202207S,IB0.5,B,2022-04-23T19:27:09,-148.3527,60.2502,184,6,10.1,20,1.2,0.52,0.13,0.28,1.33,0.8,0.1,1
SKQ202207S,IB0.5,B,2022-04-23T19:25:12,-148.3527,60.2502,184,6,20.2,18,0.14,0.26,0.02,0.03,0.15,0.28,0.1,1
SKQ202207S,IB0.5,B,2022-04-23T19:21:31,-148.3527,60.2502,184,6,40.7,15,0.06,0.17,0.02,0.02,0.08,0.19,0.23,1
SKQ202207S,IB0.5,B,2022-04-23T19:21:24,-148.3527,60.2502,184,6,40.7,14,0.06,0.16,0.01,0.01,0.08,0.17,0.19,1
SKQ202207S,IB0.5,B,2022-04-23T19:19:37,-148.3527,60.2502,184,6,50.1,13,0.05,0.13,0.01,0.01,0.06,0.14,0.22,1
SKQ202207S,IB0.5,B,2022-04-23T19:17:07,-148.3527,60.2502,184,6,76.0,10,0.03,0.08,0.01,0.01,0.04,0.09,0.27,1
SKQ202207S,IB1,B,2022-04-23T20:55:59,-148.335,60.2417,148,7,1.8,22,1.7,0.86,0.18,0.26,1.88,1.11,0.09,1
SKQ202207S,IB1,B,2022-04-23T20:53:03,-148.335,60.2417,148,7,10.2,20,1.64,0.55,0.19,0.36,1.83,0.91,0.11,1
SKQ202207S,IB1,B,2022-04-23T20:49:53,-148.335,60.2417,148,7,20.3,16,0.11,0.22,0.02,0.08,0.13,0.3,0.18,1
SKQ202207S,IB1,B,2022-04-23T20:47:56,-148.335,60.2417,148,7,30.0,14,0.09,0.18,0.04,0.04,0.13,0.23,0.29,1
SKQ202207S,IB1,B,2022-04-23T20:45:55,-148.335,60.2417,148,7,40.3,13,0.08,0.17,0.03,0.02,0.11,0.18,0.3,1
SKQ202207S,IB1,B,2022-04-23T20:43:58,-148.335,60.2417,148,7,50.7,12,0.08,0.16,0.03,0.02,0.1,0.18,0.24,1
SKQ202207S,IB1,B,2022-04-23T20:41:10,-148.335,60.2417,148,7,75.7,9,0.04,0.12,0.02,0.02,0.06,0.13,0.29,1
SKQ202207S,IB2,B,2022-04-23T22:30:16,-148.2338,60.2715,154,8,1.6,22,1.48,0.75,0.44,0.17,1.91,0.91,0.23,1
SKQ202207S,IB2,B,2022-04-23T22:27:38,-148.2338,60.2715,154,8,10.2,19,1.4,0.8,0.35,0.25,1.75,1.05,0.2,1
SKQ202207S,IB2,B,2022-04-23T22:25:08,-148.2338,60.2715,154,8,20.0,16,0.6,0.56,0.2,0.27,0.8,0.84,0.25,1
SKQ202207S,IB2,B,2022-04-23T22:23:00,-148.2338,60.2715,154,8,30.2,13,0.29,0.46,0.13,0.2,0.42,0.66,0.3,1
SKQ202207S,IB2,B,2022-04-23T22:21:22,-148.2338,60.2715,154,8,40.5,12,0.22,0.44,0.18,0.14,0.41,0.59,0.45,1
SKQ202207S,IB2,B,2022-04-23T22:19:42,-148.2338,60.2715,154,8,50.5,11,0.17,0.31,0.11,0.09,0.28,0.4,0.4,1
SKQ202207S,IB2,B,2022-04-23T22:17:11,-148.2338,60.2715,154,8,75.9,8,0.19,0.37,0.16,0.08,0.35,0.46,0.45,1
SKQ202207S,MID6,B,2022-04-24T15:33:41,-146.2503,59.5005,36,14,2.4,7,0.44,0.48,0.69,0.17,1.12,0.64,0.61,1
SKQ202207S,MID6,B,2022-04-24T15:31:34,-146.2503,59.5005,36,14,10.7,6,0.39,0.42,4.02,1.07,4.4,1.49,0.91,1
SKQ202207S,MID6,B,2022-04-24T15:29:12,-146.2503,59.5005,36,14,20.2,3,0.35,0.39,3.53,0.9,3.88,1.28,0.91,1
SKQ202207S,MID6,B,2022-04-24T15:27:19,-146.2503,59.5005,36,14,30.0,2,0.25,0.27,2.04,0.6,2.29,0.88,0.89,1
SKQ202207S,MID5,B,2022-04-24T19:43:31,-146.1053,59.6442,97,17,2.7,16,0.24,0.21,1.13,0.25,1.37,0.45,0.83,1
SKQ202207S,MID5,B,2022-04-24T19:40:41,-146.1053,59.6442,97,17,9.4,12,0.45,0.39,3.33,0.66,3.78,1.04,0.88,1
SKQ202207S,MID5,B,2022-04-24T19:38:20,-146.1053,59.6442,97,17,20.2,9,0.58,0.68,5,0.93,5.58,1.61,0.9,1
SKQ202207S,MID5,B,2022-04-24T19:36:21,-146.1053,59.6442,97,17,30.5,7,0.19,0.46,0.33,0.39,0.52,0.84,0.63,1
SKQ202207S,MID5,B,2022-04-24T19:34:27,-146.1053,59.6442,97,17,40.7,6,0.09,0.14,0.03,0.04,0.12,0.18,0.24,1
SKQ202207S,MID5,B,2022-04-24T19:32:13,-146.1053,59.6442,97,17,49.6,5,0.08,0.14,0.04,0.13,0.13,0.27,0.34,1
SKQ202207S,MID5,B,2022-04-24T19:29:43,-146.1053,59.6442,97,17,76.1,3,0.09,0.19,0.03,0.05,0.13,0.24,0.27,1
SKQ202207S,MID4,B,2022-04-24T23:20:50,-145.9485,59.8012,90,19,2.5,12,0.63,0.31,0.5,0.18,1.13,0.49,0.44,1
SKQ202207S,MID4,B,2022-04-24T23:18:16,-145.9485,59.8012,90,19,10.2,10,0.68,0.62,3.69,0.81,4.37,1.42,0.85,1
SKQ202207S,MID4,B,2022-04-24T23:15:52,-145.9485,59.8012,90,19,19.9,8,0.51,0.45,6.53,1.81,7.04,2.26,0.93,1
SKQ202207S,MID4,B,2022-04-24T23:13:46,-145.9485,59.8012,90,19,29.9,6,0.59,0.45,5.32,1.11,5.91,1.57,0.9,1
SKQ202207S,MID4,B,2022-04-24T23:11:53,-145.9485,59.8012,90,19,40.8,5,0.44,0.5,2.44,0.64,2.88,1.15,0.85,1
SKQ202207S,MID4,B,2022-04-24T23:09:21,-145.9485,59.8012,90,19,50.6,4,0.24,0.33,0.96,0.38,1.2,0.7,0.8,1
SKQ202207S,MID4,B,2022-04-24T23:06:44,-145.9485,59.8012,90,19,75.4,3,0.19,0.29,0.72,0.25,0.9,0.54,0.79,1
SKQ202207S,MID3,B,2022-04-25T01:44:09,-145.8028,59.9508,87,21,1.9,17,1.38,0.85,5.19,1.13,6.57,1.98,0.79,1
SKQ202207S,MID3,B,2022-04-25T01:41:52,-145.8028,59.9508,87,21,9.9,14,1.03,0.65,3.79,0.89,4.82,1.54,0.79,1
SKQ202207S,MID3,B,2022-04-25T01:39:49,-145.8028,59.9508,87,21,20.1,11,1.11,0.63,3.27,0.94,4.37,1.57,0.75,1
SKQ202207S,MID3,B,2022-04-25T01:38:06,-145.8028,59.9508,87,21,30.2,9,0.95,0.74,3.23,0.64,4.19,1.38,0.77,1
SKQ202207S,MID3,B,2022-04-25T01:36:16,-145.8028,59.9508,87,21,40.3,6,0.8,0.7,2.94,0.94,3.74,1.64,0.79,1
SKQ202207S,MID3,B,2022-04-25T01:34:41,-145.8028,59.9508,87,21,50.4,5,0.45,0.48,1.67,0.68,2.12,1.16,0.79,1
SKQ202207S,MID3,B,2022-04-25T01:32:04,-145.8028,59.9508,87,21,74.8,3,0.07,0.23,0.02,0.08,0.09,0.31,0.23,1
SKQ202207S,MID2,B,2022-04-25T04:32:51,-145.6523,60.0997,118,23,2.4,21,1.36,0.92,4.34,1.25,5.7,2.17,0.76,1
SKQ202207S,MID2,B,2022-04-25T04:30:19,-145.6523,60.0997,118,23,10.7,17,1.36,0.78,4.8,1.42,6.15,2.19,0.78,1
SKQ202207S,MID2,B,2022-04-25T04:27:54,-145.6523,60.0997,118,23,20.3,12,1.08,0.89,5.39,1.63,6.47,2.52,0.83,1
SKQ202207S,MID2,B,2022-04-25T04:25:54,-145.6523,60.0997,118,23,29.2,10,1.17,1.04,5.09,1.53,6.26,2.57,0.81,1
SKQ202207S,MID2,B,2022-04-25T04:23:58,-145.6523,60.0997,118,23,40.7,7,1.12,1.03,4.77,1.34,5.88,2.37,0.81,1
SKQ202207S,MID2,B,2022-04-25T04:22:02,-145.6523,60.0997,118,23,50.7,6,0.45,0.83,2.39,1.11,2.85,1.94,0.84,1
SKQ202207S,MID2,B,2022-04-25T04:19:14,-145.6523,60.0997,118,23,75.1,4,0.06,0.19,0.05,0.16,0.11,0.36,0.43,1
SKQ202207S,MID1,B,2022-04-25T07:22:27,-145.5003,60.2495,20,25,1.6,6,2.1,1.21,15.97,3.55,18.07,4.76,0.88,1
