Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag
SKQ201810S,RES2.5,B,2018-04-18T18:34:17,-149.3585,60.0193,290,1,75.89,7,0.12,0.14,0.26,NA,0.53,5
SKQ201810S,RES2.5,B,2018-04-18T18:36:32,-149.3585,60.0193,290,1,50.43,8,0.09,0.11,0.2,0.31,0.56,1
SKQ201810S,RES2.5,B,2018-04-18T18:38:27,-149.3585,60.0193,290,1,40.37,9,0.12,0.13,0.25,0.3,0.51,1
SKQ201810S,RES2.5,B,2018-04-18T18:40:00,-149.3585,60.0193,290,1,30.13,10,0.19,0.18,0.37,0.33,0.48,1
SKQ201810S,RES2.5,B,2018-04-18T18:41:34,-149.3585,60.0193,290,1,20.14,11,0.28,0.53,0.81,0.64,0.65,1
SKQ201810S,RES2.5,B,2018-04-18T18:43:01,-149.3585,60.0193,290,1,10.15,12,0.53,4.6,5.14,2.99,0.9,1
SKQ201810S,RES2.5,B,2018-04-18T18:44:31,-149.3585,60.0193,290,1,3.8,13,0.57,10.47,11.04,1.68,0.95,1
SKQ201810S,GAK1,B,2018-04-19T01:26:43,-149.4648,59.8465,270,2,76.3,8,0.13,0.71,0.85,NA,0.85,5
SKQ201810S,GAK1,B,2018-04-19T01:29:33,-149.4648,59.8465,270,2,49.61,9,0.36,1.47,1.84,1.45,0.8,1
SKQ201810S,GAK1,B,2018-04-19T01:31:12,-149.4648,59.8465,270,2,40.7,10,0.63,5.04,5.67,1.72,0.89,1
SKQ201810S,GAK1,B,2018-04-19T01:32:48,-149.4648,59.8465,270,2,30.25,11,0.67,6.78,7.46,1.74,0.91,1
SKQ201810S,GAK1,B,2018-04-19T01:34:27,-149.4648,59.8465,270,2,20.58,12,0.63,6.3,6.93,1.3,0.91,1
SKQ201810S,GAK1,B,2018-04-19T01:36:01,-149.4648,59.8465,270,2,10.25,13,0.54,8.38,8.92,1.69,0.94,1
SKQ201810S,GAK1,B,2018-04-19T01:37:53,-149.4648,59.8465,270,2,3.99,14,0.71,8.92,9.63,1.89,0.93,1
SKQ201810S,KOD5,B,2018-04-19T20:06:18,-150.761,57.7847,87,4,76.42,3,0.27,0.18,0.45,NA,0.4,5
SKQ201810S,KOD5,B,2018-04-19T20:08:33,-150.761,57.7847,87,4,51.08,5,0.18,0.16,0.33,0.28,0.47,1
