Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag,
SKQ202012S,RES2.5,B,2020-09-01T16:30:48,-149.3588,60.0252,294,1,2.98,13,0.39,0.04,0.43,0.21,0.08,1.00,
SKQ202012S,RES2.5,B,2020-09-01T16:28:33,-149.3588,60.0252,294,1,10.55,12,0.24,0.05,0.29,0.15,0.16,1.00,
SKQ202012S,RES2.5,B,2020-09-01T16:26:18,-149.3588,60.0252,294,1,20.14,11,0.16,0.04,0.20,0.17,0.21,1.00,
SKQ202012S,RES2.5,B,2020-09-01T16:24:10,-149.3588,60.0252,294,1,30.12,10,0.06,0.02,0.09,0.13,0.26,1.00,
SKQ202012S,RES2.5,B,2020-09-01T16:21:55,-149.3588,60.0252,294,1,40.44,9,0.02,0.01,0.03,0.09,0.27,1.00,
SKQ202012S,RES2.5,B,2020-09-01T16:19:53,-149.3588,60.0252,294,1,50.58,8,0.02,0.01,0.03,0.11,0.30,1.00,
SKQ202012S,RES2.5,B,2020-09-01T16:16:55,-149.3588,60.0252,294,1,76.02,7,0.01,0.01,0.02,0.07,0.28,1.00,
SKQ202012S,GAK1,B,2020-09-01T23:14:35,-149.467,59.8452,271,3,2.54,21,0.37,0.62,0.99,0.23,0.62,1.00,
SKQ202012S,GAK1,B,2020-09-01T23:11:38,-149.467,59.8452,271,3,10.5,19,0.49,0.97,1.46,0.49,0.67,1.00,
SKQ202012S,GAK1,B,2020-09-01T23:07:42,-149.467,59.8452,271,3,20.26,17,0.30,0.35,0.65,0.25,0.54,1.00,
SKQ202012S,GAK1,B,2020-09-01T23:05:08,-149.467,59.8452,271,3,30.23,15,0.22,0.28,0.50,0.20,0.56,1.00,
SKQ202012S,GAK1,B,2020-09-01T23:02:44,-149.467,59.8452,271,3,40.65,13,0.25,0.53,0.78,0.37,0.68,1.00,
SKQ202012S,GAK1,B,2020-09-01T22:59:40,-149.467,59.8452,271,3,50.14,11,0.14,0.23,0.37,0.22,0.62,1.00,
SKQ202012S,GAK1,B,2020-09-01T22:56:34,-149.467,59.8452,271,3,76.06,9,0.02,0.02,0.04,0.07,0.43,1.00,
SKQ202012S,GAK2,B,2020-09-02T02:37:49,-149.3263,59.6908,224,5,3.44,14,0.45,1.10,1.55,0.37,0.71,1.00,
SKQ202012S,GAK2,B,2020-09-02T02:35:11,-149.3263,59.6908,224,5,10.67,12,0.40,1.02,1.42,0.50,0.72,1.00,
SKQ202012S,GAK2,B,2020-09-02T02:32:34,-149.3263,59.6908,224,5,20.47,10,0.29,0.87,1.15,0.47,0.75,1.00,
SKQ202012S,GAK2,B,2020-09-02T02:30:09,-149.3263,59.6908,224,5,30.09,9,0.28,0.74,1.02,0.45,0.73,1.00,
SKQ202012S,GAK2,B,2020-09-02T02:27:36,-149.3263,59.6908,224,5,40.84,8,0.16,0.45,0.62,0.49,0.73,1.00,
SKQ202012S,GAK2,B,2020-09-02T02:25:16,-149.3263,59.6908,224,5,50.34,7,0.08,0.07,0.15,0.16,0.47,1.00,
SKQ202012S,GAK2,B,2020-09-02T02:22:34,-149.3263,59.6908,224,5,75.16,6,0.03,0.02,0.05,0.09,0.37,1.00,
SKQ202012S,GAK5,B,2020-09-03T00:15:55,-148.9042,59.2627,167,10,3.19,22,0.96,0.08,1.03,0.44,0.07,1.00,
SKQ202012S,GAK5,B,2020-09-03T00:13:23,-148.9042,59.2627,167,10,10.17,19,1.07,0.07,1.13,0.59,0.06,1.00,
SKQ202012S,GAK5,B,2020-09-03T00:11:13,-148.9042,59.2627,167,10,20.24,17,0.60,0.10,0.70,0.35,0.14,1.00,
SKQ202012S,GAK5,B,2020-09-03T00:08:55,-148.9042,59.2627,167,10,30.24,14,0.12,0.01,0.13,0.11,0.07,1.00,
SKQ202012S,GAK5,B,2020-09-03T00:06:58,-148.9042,59.2627,167,10,40.8,13,0.07,0.01,0.07,0.06,0.09,1.00,
SKQ202012S,GAK5,B,2020-09-03T00:04:28,-148.9042,59.2627,167,10,50.7,10,0.01,0.00,0.02,0.03,0.17,1.00,
SKQ202012S,GAK5,B,2020-09-03T00:01:54,-148.9042,59.2627,167,10,76.16,9,0.02,0.01,0.03,0.05,0.21,1.00,
SKQ202012S,GAK3,B,2020-09-02T05:41:19,-149.1883,59.5547,211,7,2.78,22,0.62,0.15,0.77,0.36,0.20,1.00,
SKQ202012S,GAK3,B,2020-09-02T05:38:56,-149.1883,59.5547,211,7,9.98,20,0.66,0.12,0.78,0.41,0.15,1.00,
SKQ202012S,GAK3,B,2020-09-02T05:36:44,-149.1883,59.5547,211,7,19.62,18,0.54,0.08,0.62,0.46,0.13,1.00,
SKQ202012S,GAK3,B,2020-09-02T05:34:31,-149.1883,59.5547,211,7,30.46,16,0.28,0.04,0.32,0.19,0.13,1.00,
SKQ202012S,GAK3,B,2020-09-02T05:32:10,-149.1883,59.5547,211,7,41.8,14,0.18,0.02,0.20,0.16,0.09,1.00,
SKQ202012S,GAK3,B,2020-09-02T05:29:46,-149.1883,59.5547,211,7,50.51,12,0.14,0.01,0.15,0.15,0.07,1.00,
SKQ202012S,GAK3,B,2020-09-02T05:26:30,-149.1883,59.5547,211,7,75.59,10,0.02,0.00,0.02,0.08,0.14,1.00,
