Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],<20_Phaeo_[ug/L],>20_Chl_A_[ug/L],>20_Phaeo_[ug/L],Total_Chl_A_[ug/L],Total_Phaeo_[ug/L],Fraction Chl >20,Data flag
SKQ202110S,RES2.5,B,2021-06-28T02:00:02,-149.3572,60.0253,294,1,2.33,16,1.10,0.59,0.02,0.02,1.12,0.60,0.02,1
SKQ202110S,RES2.5,B,2021-06-28T01:58:16,-149.3572,60.0253,294,1,4.77,15,1.09,1.06,0.03,0.09,1.13,1.15,0.03,1
SKQ202110S,RES2.5,B,2021-06-28T01:56:32,-149.3572,60.0253,294,1,10.42,13,0.72,0.99,0.02,0.10,0.74,1.09,0.03,1
SKQ202110S,RES2.5,B,2021-06-28T01:54:47,-149.3572,60.0253,294,1,20.29,12,0.31,0.72,0.01,0.06,0.32,0.78,0.03,1
SKQ202110S,RES2.5,B,2021-06-28T01:53:05,-149.3572,60.0253,294,1,30.11,11,0.17,0.48,0.01,0.05,0.17,0.53,0.04,1
SKQ202110S,RES2.5,B,2021-06-28T01:51:24,-149.3572,60.0253,294,1,40.32,10,0.07,0.26,0.00,0.04,0.08,0.30,0.04,1
SKQ202110S,RES2.5,B,2021-06-28T01:49:37,-149.3572,60.0253,294,1,50.71,9,0.03,0.13,0.00,0.02,0.03,0.15,0.06,1
SKQ202110S,RES2.5,B,2021-06-28T01:47:21,-149.3572,60.0253,294,1,75.79,8,0.01,0.07,0.00,0.01,0.01,0.08,0.15,1
SKQ202110S,GAK1,B,2021-06-28T04:54:48,-149.4662,59.8457,268,2,1.91,17,1.93,0.64,0.05,0.07,1.98,0.71,0.02,1
SKQ202110S,GAK1,B,2021-06-28T04:52:40,-149.4662,59.8457,268,2,10.33,16,1.94,0.83,0.05,0.10,1.99,0.93,0.02,1
SKQ202110S,GAK1,B,2021-06-28T04:49:21,-149.4662,59.8457,268,2,20.26,13,0.83,0.64,0.02,0.09,0.86,0.73,0.03,1
SKQ202110S,GAK1,B,2021-06-28T04:47:34,-149.4662,59.8457,268,2,30.46,12,0.53,0.52,0.01,0.07,0.54,0.60,0.02,1
SKQ202110S,GAK1,B,2021-06-28T04:45:43,-149.4662,59.8457,268,2,40.22,11,0.45,0.37,0.01,0.04,0.46,0.41,0.02,1
