Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag
TGX201904,RES2.5,B,2019-04-27T07:16:40,-149.3557,60.0185,300,1,50.06,8,0.18,0.07,0.25,0.35,0.29,1
TGX201904,RES2.5,B,2019-04-27T07:18:09,-149.3557,60.0185,300,1,40.06,9,0.23,0.14,0.38,0.41,0.38,1
TGX201904,RES2.5,B,2019-04-27T07:19:05,-149.3557,60.0185,300,1,30.2,10,0.39,0.14,0.53,0.47,0.26,1
TGX201904,RES2.5,B,2019-04-27T07:20:26,-149.3557,60.0185,300,1,19.97,11,0.71,1.17,1.88,0.52,0.62,1
TGX201904,RES2.5,B,2019-04-27T07:21:39,-149.3557,60.0185,300,1,9.96,12,0.83,2.27,3.09,0.8,0.73,1
TGX201904,RES2.5,B,2019-04-27T07:23:45,-149.3557,60.0185,300,1,2.32,13,0.92,2.52,3.44,0.47,0.73,1
TGX201904,MID1,B,2019-04-28T15:37:47,-145.5018,60.2495,17,3,17.21,2,0.25,0.05,0.3,0.22,0.18,1
TGX201904,MID1,B,2019-04-28T15:38:53,-145.5018,60.2495,17,3,10,4,0.7,0.07,0.77,0.3,0.09,1
TGX201904,MID1,B,2019-04-28T15:40:31,-145.5018,60.2495,17,3,2.41,6,1.57,0.13,1.7,0.17,0.08,1
TGX201904,MID2,B,2019-04-28T19:24:06,-145.6645,60.1053,119,6,76.13,3,0.27,0.02,0.29,0.16,0.07,1
TGX201904,MID2,B,2019-04-28T19:25:33,-145.6645,60.1053,119,6,50.92,5,0.33,0.02,0.35,0.2,0.06,1
TGX201904,MID2,B,2019-04-28T19:26:45,-145.6645,60.1053,119,6,40.58,6,0.33,0.02,0.35,0.18,0.06,1
TGX201904,MID2,B,2019-04-28T19:27:41,-145.6645,60.1053,119,6,30.69,7,0.47,0.03,0.5,0.25,0.07,1
TGX201904,MID2,B,2019-04-28T19:28:29,-145.6645,60.1053,119,6,20.25,8,1.07,0.02,1.09,0.21,0.02,1
TGX201904,MID2,B,2019-04-28T19:29:25,-145.6645,60.1053,119,6,9.8,9,0.83,0.02,0.85,0.16,0.02,1
TGX201904,MID2,B,2019-04-28T19:30:14,-145.6645,60.1053,119,6,2.48,11,0.68,0.04,0.72,0.18,0.05,1
TGX201904,MID3,B,2019-04-28T21:07:46,-145.7958,59.9512,85,8,76.47,1,0.1,0.02,0.12,0.1,0.2,1
TGX201904,MID3,B,2019-04-28T21:08:55,-145.7958,59.9512,85,8,49.79,3,0.21,0.02,0.23,0.15,0.1,1
TGX201904,MID3,B,2019-04-28T21:09:50,-145.7958,59.9512,85,8,39.91,5,0.28,0.04,0.32,0.21,0.12,1
TGX201904,MID3,B,2019-04-28T21:10:38,-145.7958,59.9512,85,8,29.6,7,0.53,0.06,0.59,0.34,0.1,1
TGX201904,MID3,B,2019-04-28T21:11:37,-145.7958,59.9512,85,8,20.08,9,1.12,0,1.12,0.24,0,1
