Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],<20_Phaeo_[ug/L],>20_Chl_A_[ug/L],>20_Phaeo_[ug/L],Total_Chl_A_[ug/L],Total_Phaeo_[ug/L],Fraction Chl >20,Data flag
TGX202109,RES2.5,B,2021-09-14T03:30:49,-149.3557,60.0235,300,1,2.57,13,0.76,0.40,0.04,0.02,0.80,0.42,0.05,1
TGX202109,RES2.5,B,2021-09-14T03:29:45,-149.3557,60.0235,300,1,9.41,12,0.50,0.30,0.02,0.02,0.52,0.32,0.04,1
TGX202109,RES2.5,B,2021-09-14T03:28:54,-149.3557,60.0235,300,1,20.04,11,0.08,0.11,0.01,0.02,0.09,0.13,0.08,1
TGX202109,RES2.5,B,2021-09-14T03:27:45,-149.3557,60.0235,300,1,31.08,10,0.02,0.05,0.01,0.01,0.03,0.06,0.18,1
TGX202109,RES2.5,B,2021-09-14T03:26:54,-149.3557,60.0235,300,1,40.94,9,0.05,0.06,0.01,0.03,0.05,0.08,0.11,1
TGX202109,RES2.5,B,2021-09-14T03:25:20,-149.3557,60.0235,300,1,49.9,8,0.05,0.06,0.01,0.03,0.05,0.08,0.16,1
TGX202109,RES2.5,B,2021-09-14T03:24:14,-149.3557,60.0235,300,1,76.2,7,0.02,0.06,0.01,0.04,0.03,0.10,0.20,1
TGX202109,MID10,B,2021-09-14T21:16:43,-145.9987,58.8932,4443,3,2.95,15,0.52,0.17,0.04,0.02,0.56,0.19,0.08,1
TGX202109,MID10,B,2021-09-14T21:15:51,-145.9987,58.8932,4443,3,10.72,14,0.51,0.19,0.05,0.02,0.56,0.22,0.09,1
TGX202109,MID10,B,2021-09-14T21:14:33,-145.9987,58.8932,4443,3,20.89,13,0.50,0.21,0.04,0.02,0.54,0.23,0.08,1
TGX202109,MID10,B,2021-09-14T21:13:37,-145.9987,58.8932,4443,3,29.9,12,0.29,0.15,0.04,0.03,0.32,0.18,0.11,1
TGX202109,MID10,B,2021-09-14T21:12:41,-145.9987,58.8932,4443,3,38.67,11,0.15,0.06,0.02,0.02,0.17,0.08,0.12,1
TGX202109,MID10,B,2021-09-14T21:11:38,-145.9987,58.8932,4443,3,50.93,10,0.08,0.05,0.02,0.01,0.09,0.06,0.17,1
