Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag
WSD201807,CS1,B,2018-07-05T17:28:30,-143.8927,59.9382,63,1,60.23,1,0.07,0,0.07,NA,0.03,5
WSD201807,CS1,B,2018-07-05T17:30:04,-143.8927,59.9382,63,1,50.17,2,0.05,0,0.05,0.15,0.03,1
WSD201807,CS1,B,2018-07-05T17:31:52,-143.8927,59.9382,63,1,40.27,3,0.19,0.01,0.2,0.2,0.04,1
WSD201807,CS1,B,2018-07-05T17:33:02,-143.8927,59.9382,63,1,31.23,4,0.53,0.02,0.55,0.36,0.03,1
WSD201807,CS1,B,2018-07-05T17:35:08,-143.8927,59.9382,63,1,20.36,5,0.97,0.02,0.99,0.52,0.02,1
WSD201807,CS1,B,2018-07-05T17:37:03,-143.8927,59.9382,63,1,9.97,6,0.26,0.04,0.3,0.11,0.13,1
WSD201807,CS1,B,2018-07-05T17:39:15,-143.8927,59.9382,63,1,2.44,7,0.05,0,0.05,NA,0.03,5
WSD201807,CS2,B,2018-07-05T23:45:20,-143.8927,59.7735,121,5,50.42,4,0.05,0,0.05,0.08,0.03,1
WSD201807,CS2,B,2018-07-05T23:46:38,-143.8927,59.7735,121,5,39.99,5,0.06,0,0.06,0.1,0.03,1
WSD201807,CS2,B,2018-07-05T23:48:15,-143.8927,59.7735,121,5,30.28,6,0.13,0,0.13,0.15,0.01,1
WSD201807,CS2,B,2018-07-05T23:49:27,-143.8927,59.7735,121,5,19.98,8,0.75,0.01,0.76,0.53,0.01,1
WSD201807,CS2,B,2018-07-05T23:50:46,-143.8927,59.7735,121,5,9.69,10,1.81,0,1.81,0.55,0,1
WSD201807,CS2,B,2018-07-05T23:52:06,-143.8927,59.7735,121,5,2.36,11,0.25,0.03,0.28,0.14,0.1,1
WSD201807,CS3,B,2018-07-06T01:54:12,-143.8928,59.6073,198,7,75.75,5,0.16,0.01,0.17,NA,0.04,5
WSD201807,CS3,B,2018-07-06T01:56:07,-143.8928,59.6073,198,7,50.04,6,0.2,0.01,0.21,0.12,0.05,1
