Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,DOC_[umoles/L],Quality_flag
SKQ201810S,KOD5,B,2018-04-19T20:18:41,-150.761,57.7847,87,4,4.97,16,60.5,1
SKQ201810S,KOD5,B,2018-04-19T20:16:58,-150.761,57.7847,87,4,10.52,14,62.4,1
SKQ201810S,KOD5,B,2018-04-19T20:14:42,-150.761,57.7847,87,4,20.42,12,57.6,1
SKQ201810S,KOD5,B,2018-04-19T20:12:27,-150.761,57.7847,87,4,30.93,10,59.1,1
SKQ201810S,KOD5,B,2018-04-19T20:10:14,-150.761,57.7847,87,4,40.75,8,56.2,1
SKQ201810S,KOD5,B,2018-04-19T20:08:43,-150.761,57.7847,87,4,51.05,6,57.8,1
SKQ201810S,KOD5,B,2018-04-19T20:06:24,-150.761,57.7847,87,4,76.08,4,56.5,1
SKQ201810S,KOD3,B,2018-04-20T01:45:10,-151.1783,58.018,85,6,3.83,7,58.1,1
SKQ201810S,KOD3,B,2018-04-20T01:43:37,-151.1783,58.018,85,6,10.12,6,57.4,1
SKQ201810S,KOD3,B,2018-04-20T01:41:35,-151.1783,58.018,85,6,20.5,5,48.2,1
SKQ201810S,KOD3,B,2018-04-20T01:39:48,-151.1783,58.018,85,6,30.22,4,63.7,1
SKQ201810S,KOD3,B,2018-04-20T01:38:22,-151.1783,58.018,85,6,40.72,3,62.5,1
SKQ201810S,KOD3,B,2018-04-20T01:36:50,-151.1783,58.018,85,6,50.32,2,48,1
SKQ201810S,KOD3,B,2018-04-20T01:34:53,-151.1783,58.018,85,6,80.19,1,43.4,1
SKQ201810S,KOD1,B,2018-04-20T05:57:01,-151.5885,58.2322,70,8,4.49,7,55.2,1
SKQ201810S,KOD1,B,2018-04-20T05:56:08,-151.5885,58.2322,70,8,10.02,6,57.4,1
SKQ201810S,KOD1,B,2018-04-20T05:54:50,-151.5885,58.2322,70,8,20.68,5,59.4,1
SKQ201810S,KOD1,B,2018-04-20T05:52:45,-151.5885,58.2322,70,8,40.16,3,65,1
SKQ201810S,KOD1,B,2018-04-20T05:51:45,-151.5885,58.2322,70,8,50.86,2,59.7,1
SKQ201810S,KOD1,B,2018-04-20T05:50:21,-151.5885,58.2322,70,8,65.66,1,58.1,1
SKQ201810S,KOD7,B,2018-04-20T18:22:52,-150.3388,57.556,180,10,4.06,12,62.6,1
SKQ201810S,KOD7,B,2018-04-20T18:21:12,-150.3388,57.556,180,10,10.09,11,62.9,1
SKQ201810S,KOD7,B,2018-04-20T18:19:50,-150.3388,57.556,180,10,20.76,10,60.7,1
SKQ201810S,KOD7,B,2018-04-20T18:18:36,-150.3388,57.556,180,10,30.28,9,60.3,1
SKQ201810S,KOD7,B,2018-04-20T18:16:51,-150.3388,57.556,180,10,40.76,8,62.4,1
SKQ201810S,KOD7,B,2018-04-20T18:14:59,-150.3388,57.556,180,10,51.06,7,59.9,1
SKQ201810S,KOD7,B,2018-04-20T18:13:00,-150.3388,57.556,180,10,75.95,6,62.5,1
SKQ201810S,KOD7,B,2018-04-20T18:07:08,-150.3388,57.556,180,10,151.6,2,55.7,1
SKQ201810S,KOD10,B,2018-04-21T06:29:26,-149.7223,57.206,2501,15,4.1,16,61.6,1
SKQ201810S,KOD10,B,2018-04-21T06:28:20,-149.7223,57.206,2501,15,10.12,15,60.8,1
SKQ201810S,KOD10,B,2018-04-21T06:27:18,-149.7223,57.206,2501,15,22.32,14,59.8,1
SKQ201810S,KOD10,B,2018-04-21T06:26:26,-149.7223,57.206,2501,15,29.62,13,61.9,1
SKQ201810S,KOD10,B,2018-04-21T06:25:14,-149.7223,57.206,2501,15,41.6,12,59.9,1
SKQ201810S,KOD10,B,2018-04-21T06:23:53,-149.7223,57.206,2501,15,49.33,11,57.6,1
SKQ201810S,KOD10,B,2018-04-21T06:22:10,-149.7223,57.206,2501,15,76.88,10,60.2,1
SKQ201810S,KOD10,B,2018-04-21T06:17:35,-149.7223,57.206,2501,15,150.49,7,46.6,1
SKQ201810S,PWS2,B,2018-04-23T20:02:39,-147.8027,60.536,738,23,3.15,20,62.1,1
SKQ201810S,PWS2,B,2018-04-23T20:00:36,-147.8027,60.536,738,23,10.22,17,62.5,1
SKQ201810S,PWS2,B,2018-04-23T19:58:46,-147.8027,60.536,738,23,20.32,14,60.7,1
SKQ201810S,PWS2,B,2018-04-23T19:56:42,-147.8027,60.536,738,23,30.4,12,58.1,1
SKQ201810S,PWS2,B,2018-04-23T19:54:55,-147.8027,60.536,738,23,40.62,10,42.1,1
SKQ201810S,PWS2,B,2018-04-23T19:52:37,-147.8027,60.536,738,23,50.2,9,62.7,1
SKQ201810S,PWS2,B,2018-04-23T19:50:07,-147.8027,60.536,738,23,75.61,8,56,1
SKQ201810S,PWS2,B,2018-04-23T19:42:52,-147.8027,60.536,738,23,151.42,5,54.5,1
SKQ201810S,MID2,B,2018-04-26T16:05:14,-145.653,60.0995,118,36,4.35,16,60.2,1
SKQ201810S,MID2,B,2018-04-26T16:03:15,-145.653,60.0995,118,36,9.62,14,67.2,1
SKQ201810S,MID2,B,2018-04-26T16:01:40,-145.653,60.0995,118,36,19.69,12,64.7,1
SKQ201810S,MID2,B,2018-04-26T16:00:09,-145.653,60.0995,118,36,29.83,10,60.7,1
SKQ201810S,MID2,B,2018-04-26T15:58:52,-145.653,60.0995,118,36,39.72,8,58.7,1
SKQ201810S,MID2,B,2018-04-26T15:57:20,-145.653,60.0995,118,36,50.66,6,59.5,1
SKQ201810S,MID2,B,2018-04-26T15:55:15,-145.653,60.0995,118,36,76.59,4,59.9,1
SKQ201810S,MID2,B,2018-04-26T15:51:25,-145.653,60.0995,118,36,115.23,2,60.3,1
SKQ201810S,MID1,B,2018-04-26T19:31:20,-145.517,60.235,118,38,4.08,4,62.4,1
SKQ201810S,MID1,B,2018-04-26T19:29:22,-145.517,60.235,118,38,10,3,61.3,1
SKQ201810S,MID1,B,2018-04-26T19:27:17,-145.517,60.235,118,38,20.92,2,61,1
SKQ201810S,MID1,B,2018-04-26T19:25:24,-145.517,60.235,118,38,30.78,1,63.3,1
SKQ201810S,MID3,B,2018-04-27T00:07:18,-145.7997,59.9505,87,41,3.79,8,61.3,1
SKQ201810S,MID3,B,2018-04-27T00:06:05,-145.7997,59.9505,87,41,10.18,7,61.7,1
SKQ201810S,MID3,B,2018-04-27T00:04:39,-145.7997,59.9505,87,41,20.4,6,60,1
SKQ201810S,MID3,B,2018-04-27T00:03:19,-145.7997,59.9505,87,41,30.06,5,59.8,1
SKQ201810S,MID3,B,2018-04-27T00:01:49,-145.7997,59.9505,87,41,40.5,4,60.6,1
SKQ201810S,MID3,B,2018-04-27T00:00:29,-145.7997,59.9505,87,41,50.46,3,70.8,1
SKQ201810S,MID3,B,2018-04-26T23:58:26,-145.7997,59.9505,87,41,75.64,2,60.2,1
SKQ201810S,MID5,B,2018-04-27T19:49:26,-146.0962,59.6533,95,46,2.95,13,60.2,1
SKQ201810S,MID5,B,2018-04-27T19:47:35,-146.0962,59.6533,95,46,10.41,11,74.8,1
SKQ201810S,MID5,B,2018-04-27T19:45:39,-146.0962,59.6533,95,46,20.2,8,61.3,1
SKQ201810S,MID5,B,2018-04-27T19:43:53,-146.0962,59.6533,95,46,30.15,6,60.4,1
SKQ201810S,MID5,B,2018-04-27T19:42:14,-146.0962,59.6533,95,46,41.03,4,59.7,1
SKQ201810S,MID5,B,2018-04-27T19:40:27,-146.0962,59.6533,95,46,50.36,3,61.1,1
SKQ201810S,MID5,B,2018-04-27T19:38:36,-146.0962,59.6533,95,46,75.65,2,61,1
SKQ201810S,MID7,B,2018-04-28T01:36:51,-146.2998,59.384,54,50,3.3,6,60.2,1
SKQ201810S,MID7,B,2018-04-28T01:35:36,-146.2998,59.384,54,50,10.09,5,60.2,1
SKQ201810S,MID7,B,2018-04-28T01:34:24,-146.2998,59.384,54,50,20.17,4,61.3,1
SKQ201810S,MID7,B,2018-04-28T01:33:05,-146.2998,59.384,54,50,30.2,3,59.2,1
SKQ201810S,MID7,B,2018-04-28T01:30:37,-146.2998,59.384,54,50,40.1,2,59.4,1
SKQ201810S,MID7,B,2018-04-28T01:29:25,-146.2998,59.384,54,50,49.92,1,60.5,1
SKQ201810S,MID9,B,2018-04-28T07:42:18,-146.1025,59.069,2922,53,3.73,16,60.8,1
SKQ201810S,MID9,B,2018-04-28T07:41:16,-146.1025,59.069,2922,53,10.13,15,62.4,1
SKQ201810S,MID9,B,2018-04-28T07:40:15,-146.1025,59.069,2922,53,20.37,14,61.9,1
SKQ201810S,MID9,B,2018-04-28T07:38:45,-146.1025,59.069,2922,53,30.84,13,60.7,1
SKQ201810S,MID9,B,2018-04-28T07:37:43,-146.1025,59.069,2922,53,40.66,12,60.2,1
SKQ201810S,MID9,B,2018-04-28T07:36:35,-146.1025,59.069,2922,53,50.89,11,60.5,1
SKQ201810S,MID9,B,2018-04-28T07:35:00,-146.1025,59.069,2922,53,75.8,10,56.2,1
SKQ201810S,MID9,B,2018-04-28T07:29:36,-146.1025,59.069,2922,53,151.57,7,49.4,1
SKQ201810S,GAK15,B,2018-04-30T20:26:34,-147.4983,57.7918,4551,68,2.4,24,90.08,1
SKQ201810S,GAK15,B,2018-04-30T20:25:04,-147.4983,57.7918,4551,68,9.8,22,66.78,1
SKQ201810S,GAK15,B,2018-04-30T20:23:33,-147.4983,57.7918,4551,68,20.63,20,64.44,1
SKQ201810S,GAK15,B,2018-04-30T20:21:56,-147.4983,57.7918,4551,68,30.31,18,92,1
SKQ201810S,GAK15,B,2018-04-30T20:20:13,-147.4983,57.7918,4551,68,41.24,16,71.37,1
SKQ201810S,GAK15,B,2018-04-30T20:18:33,-147.4983,57.7918,4551,68,50.56,14,61.17,1
SKQ201810S,GAK15,B,2018-04-30T20:16:39,-147.4983,57.7918,4551,68,75.64,12,67.53,1
SKQ201810S,GAK15,B,2018-04-30T20:11:29,-147.4983,57.7918,4551,68,151.33,9,54.2,1
SKQ201810S,GAK9,B,2018-05-02T16:07:17,-148.3467,58.6782,277,77,4.45,19,67.89,1
SKQ201810S,GAK9,B,2018-05-02T16:05:34,-148.3467,58.6782,277,77,10.06,17,71.49,1
SKQ201810S,GAK9,B,2018-05-02T16:04:00,-148.3467,58.6782,277,77,19.8,15,78.66,1
SKQ201810S,GAK9,B,2018-05-02T16:02:29,-148.3467,58.6782,277,77,30.1,13,69.38,1
SKQ201810S,GAK9,B,2018-05-02T16:00:24,-148.3467,58.6782,277,77,39.47,11,67.46,1
SKQ201810S,GAK9,B,2018-05-02T15:58:49,-148.3467,58.6782,277,77,50.39,9,68.08,1
SKQ201810S,GAK9,B,2018-05-02T15:56:58,-148.3467,58.6782,277,77,75.28,7,69.89,1
SKQ201810S,GAK9,B,2018-05-02T15:50:51,-148.3467,58.6782,277,77,151.26,4,62.84,1
SKQ201810S,GAK5,B,2018-05-03T19:25:14,-148.9082,59.2627,166,83,4.76,18,69.03,1
SKQ201810S,GAK5,B,2018-05-03T19:23:17,-148.9082,59.2627,166,83,11.33,14,75.21,1
SKQ201810S,GAK5,B,2018-05-03T19:21:34,-148.9082,59.2627,166,83,19.45,12,107.11,1
SKQ201810S,GAK5,B,2018-05-03T19:19:58,-148.9082,59.2627,166,83,30.34,10,79.01,1
SKQ201810S,GAK5,B,2018-05-03T19:18:26,-148.9082,59.2627,166,83,40.5,8,77.17,1
SKQ201810S,GAK5,B,2018-05-03T19:16:41,-148.9082,59.2627,166,83,50.56,6,66.4,1
SKQ201810S,GAK5,B,2018-05-03T19:14:05,-148.9082,59.2627,166,83,76.49,5,136.21,1
SKQ201810S,GAK5,B,2018-05-03T19:08:07,-148.9082,59.2627,166,83,151.56,2,60.96,1
SKQ201810S,GAK1,B,2018-05-04T16:43:41,-149.4658,59.8465,268,87,3.98,18,70.21,1
SKQ201810S,GAK1,B,2018-05-04T16:42:14,-149.4658,59.8465,268,87,8.82,16,105.8,1
SKQ201810S,GAK1,B,2018-05-04T16:40:51,-149.4658,59.8465,268,87,21.43,14,76.06,1
SKQ201810S,GAK1,B,2018-05-04T16:39:33,-149.4658,59.8465,268,87,29.47,12,78.24,1
SKQ201810S,GAK1,B,2018-05-04T16:38:15,-149.4658,59.8465,268,87,40.49,10,65.55,1
SKQ201810S,GAK1,B,2018-05-04T16:36:29,-149.4658,59.8465,268,87,50.72,8,69.11,1
SKQ201810S,GAK1,B,2018-05-04T16:35:34,-149.4658,59.8465,268,87,75.59,7,66.79,1
SKQ201810S,GAK1,B,2018-05-04T16:30:59,-149.4658,59.8465,268,87,151.68,4,63.59,1
