Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,DOC_[umoles/L],Quality_flag
SKQ201810S,GAK15,B,2018-04-30T20:11:29,-147.4983,57.7918,4551,68,151.33,9,54.2,1
SKQ201810S,GAK15,B,2018-04-30T20:16:39,-147.4983,57.7918,4551,68,75.64,12,67.53,1
SKQ201810S,GAK15,B,2018-04-30T20:18:33,-147.4983,57.7918,4551,68,50.56,14,61.17,1
SKQ201810S,GAK15,B,2018-04-30T20:20:13,-147.4983,57.7918,4551,68,41.24,16,71.37,1
SKQ201810S,GAK15,B,2018-04-30T20:21:56,-147.4983,57.7918,4551,68,30.31,18,92,1
SKQ201810S,GAK15,B,2018-04-30T20:23:33,-147.4983,57.7918,4551,68,20.63,20,64.44,1
SKQ201810S,GAK15,B,2018-04-30T20:25:04,-147.4983,57.7918,4551,68,9.8,22,66.78,1
SKQ201810S,GAK15,B,2018-04-30T20:26:34,-147.4983,57.7918,4551,68,2.4,24,90.08,1
SKQ201810S,GAK9,B,2018-05-02T15:50:51,-148.3467,58.6782,277,77,151.26,4,62.84,1
SKQ201810S,GAK9,B,2018-05-02T15:56:58,-148.3467,58.6782,277,77,75.28,7,69.89,1
SKQ201810S,GAK9,B,2018-05-02T15:58:49,-148.3467,58.6782,277,77,50.39,9,68.08,1
SKQ201810S,GAK9,B,2018-05-02T16:00:24,-148.3467,58.6782,277,77,39.47,11,67.46,1
SKQ201810S,GAK9,B,2018-05-02T16:02:29,-148.3467,58.6782,277,77,30.1,13,69.38,1
SKQ201810S,GAK9,B,2018-05-02T16:04:00,-148.3467,58.6782,277,77,19.8,15,78.66,1
SKQ201810S,GAK9,B,2018-05-02T16:05:34,-148.3467,58.6782,277,77,10.06,17,71.49,1
SKQ201810S,GAK9,B,2018-05-02T16:07:17,-148.3467,58.6782,277,77,4.45,19,67.89,1
SKQ201810S,GAK5,B,2018-05-03T19:08:07,-148.9082,59.2627,166,83,151.56,2,60.96,1
SKQ201810S,GAK5,B,2018-05-03T19:14:05,-148.9082,59.2627,166,83,76.49,5,136.21,1
SKQ201810S,GAK5,B,2018-05-03T19:16:41,-148.9082,59.2627,166,83,50.56,6,66.4,1
SKQ201810S,GAK5,B,2018-05-03T19:18:26,-148.9082,59.2627,166,83,40.5,8,77.17,1
SKQ201810S,GAK5,B,2018-05-03T19:19:58,-148.9082,59.2627,166,83,30.34,10,79.01,1
SKQ201810S,GAK5,B,2018-05-03T19:21:34,-148.9082,59.2627,166,83,19.45,12,107.11,1
SKQ201810S,GAK5,B,2018-05-03T19:23:17,-148.9082,59.2627,166,83,11.33,14,75.21,1
SKQ201810S,GAK5,B,2018-05-03T19:25:14,-148.9082,59.2627,166,83,4.76,18,69.03,1
SKQ201810S,GAK1,B,2018-05-04T16:30:59,-149.4658,59.8465,268,87,151.68,4,63.59,1
SKQ201810S,GAK1,B,2018-05-04T16:35:34,-149.4658,59.8465,268,87,75.59,7,66.79,1
SKQ201810S,GAK1,B,2018-05-04T16:36:29,-149.4658,59.8465,268,87,50.72,8,69.11,1
SKQ201810S,GAK1,B,2018-05-04T16:38:15,-149.4658,59.8465,268,87,40.49,10,65.55,1
SKQ201810S,GAK1,B,2018-05-04T16:39:33,-149.4658,59.8465,268,87,29.47,12,78.24,1
SKQ201810S,GAK1,B,2018-05-04T16:40:51,-149.4658,59.8465,268,87,21.43,14,76.06,1
SKQ201810S,GAK1,B,2018-05-04T16:42:14,-149.4658,59.8465,268,87,8.82,16,105.8,1
SKQ201810S,GAK1,B,2018-05-04T16:43:41,-149.4658,59.8465,268,87,3.98,18,70.21,1
