Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,DOC_[umoles/L],Quality_flag,
SKQ201915S,PWS2,B,2019-06-30T18:45:22,-147.804,60.5348,738,3,151.65,12,58.6,1.0,
SKQ201915S,PWS2,B,2019-06-30T18:54:33,-147.804,60.5348,738,3,75.78,16,60.9,1.0,
SKQ201915S,PWS2,B,2019-06-30T18:56:59,-147.804,60.5348,738,3,50.62,17,61.4,1.0,
SKQ201915S,PWS2,B,2019-06-30T18:58:42,-147.804,60.5348,738,3,40.72,18,63.6,1.0,
SKQ201915S,PWS2,B,2019-06-30T19:00:59,-147.804,60.5348,738,3,30.44,19,64.9,1.0,
SKQ201915S,PWS2,B,2019-06-30T19:02:56,-147.804,60.5348,738,3,20.35,20,68.2,1.0,
SKQ201915S,PWS2,B,2019-06-30T19:04:58,-147.804,60.5348,738,3,10.26,22,84.5,1.0,
SKQ201915S,PWS2,B,2019-06-30T19:08:25,-147.804,60.5348,738,3,3.36,24,88.0,1.0,
SKQ201915S,MID1,B,2019-07-01T18:43:02,-145.5017,60.249,20,5,15.34,2,68.9,1.0,
SKQ201915S,MID1,B,2019-07-01T18:45:14,-145.5017,60.249,20,5,10.25,3,69.8,1.0,
SKQ201915S,MID1,B,2019-07-01T18:46:46,-145.5017,60.249,20,5,5.59,4,57.1,1.0,
SKQ201915S,MID1,B,2019-07-01T18:48:46,-145.5017,60.249,20,5,3.89,5,42.2,1.0,
SKQ201915S,MID2,B,2019-07-01T23:37:27,-145.6498,60.0993,119,8,116.15,2,59.7,1.0,
SKQ201915S,MID2,B,2019-07-01T23:43:59,-145.6498,60.0993,119,8,75.53,4,58.8,1.0,
SKQ201915S,MID2,B,2019-07-01T23:46:34,-145.6498,60.0993,119,8,50.73,5,60.2,1.0,
SKQ201915S,MID2,B,2019-07-01T23:48:13,-145.6498,60.0993,119,8,40.08,6,63.0,1.0,
SKQ201915S,MID2,B,2019-07-01T23:49:58,-145.6498,60.0993,119,8,30.34,8,63.5,1.0,
SKQ201915S,MID2,B,2019-07-01T23:51:46,-145.6498,60.0993,119,8,20.24,9,69.9,1.0,
SKQ201915S,MID2,B,2019-07-01T23:54:36,-145.6498,60.0993,119,8,9.78,11,71.9,1.0,
SKQ201915S,MID2,B,2019-07-01T23:56:50,-145.6498,60.0993,119,8,4.68,14,71.0,1.0,
SKQ201915S,MID5,B,2019-07-02T20:46:48,-146.0987,59.6502,96,14,92.9,2,59.5,1.0,
SKQ201915S,MID5,B,2019-07-02T20:48:59,-146.0987,59.6502,96,14,75.9,3,59.8,1.0,
SKQ201915S,MID5,B,2019-07-02T20:51:52,-146.0987,59.6502,96,14,50.39,4,59.0,1.0,
SKQ201915S,MID5,B,2019-07-02T20:53:30,-146.0987,59.6502,96,14,40.1,5,60.5,1.0,
SKQ201915S,MID5,B,2019-07-02T20:55:28,-146.0987,59.6502,96,14,30.15,7,61.6,1.0,
SKQ201915S,MID5,B,2019-07-02T20:57:19,-146.0987,59.6502,96,14,20.1,9,63.9,1.0,
SKQ201915S,MID5,B,2019-07-02T20:59:21,-146.0987,59.6502,96,14,9.99,10,67.4,1.0,
SKQ201915S,MID5,B,2019-07-02T21:01:51,-146.0987,59.6502,96,14,4.18,13,70.0,1.0,
SKQ201915S,MID10,B,2019-07-03T19:20:39,-146.001,58.911,4464,18,505.25,4,49.3,1.0,
SKQ201915S,MID10,B,2019-07-03T19:33:46,-146.001,58.911,4464,18,151.13,7,57.8,1.0,
SKQ201915S,MID10,B,2019-07-03T19:41:26,-146.001,58.911,4464,18,75.61,10,62.5,1.0,
SKQ201915S,MID10,B,2019-07-03T19:43:51,-146.001,58.911,4464,18,50.5,11,64.2,1.0,
SKQ201915S,MID10,B,2019-07-03T19:45:33,-146.001,58.911,4464,18,40.61,12,62.2,1.0,
SKQ201915S,MID10,B,2019-07-03T19:47:10,-146.001,58.911,4464,18,30.26,13,63.6,1.0,
SKQ201915S,MID10,B,2019-07-03T19:49:00,-146.001,58.911,4464,18,20.3,15,68.7,1.0,
SKQ201915S,MID10,B,2019-07-03T19:50:45,-146.001,58.911,4464,18,10.29,17,73.3,1.0,
SKQ201915S,MID10,B,2019-07-03T19:52:28,-146.001,58.911,4464,18,4.54,19,72.8,1.0,
SKQ201915S,GAK15,B,2019-07-09T23:19:35,-147.5025,57.7915,4400,36,1012.64,3,42.9,1.0,
SKQ201915S,GAK15,B,2019-07-09T23:32:27,-147.5025,57.7915,4400,36,505.05,5,47.6,1.0,
SKQ201915S,GAK15,B,2019-07-09T23:44:05,-147.5025,57.7915,4400,36,151.75,11,55.9,1.0,
SKQ201915S,GAK15,B,2019-07-09T23:51:19,-147.5025,57.7915,4400,36,76.21,16,62.0,1.0,
SKQ201915S,GAK15,B,2019-07-09T23:53:32,-147.5025,57.7915,4400,36,49.95,18,62.1,1.0,
SKQ201915S,GAK15,B,2019-07-09T23:55:17,-147.5025,57.7915,4400,36,40.04,19,63.8,1.0,
SKQ201915S,GAK15,B,2019-07-09T23:56:52,-147.5025,57.7915,4400,36,30.45,21,68.6,1.0,
SKQ201915S,GAK15,B,2019-07-09T23:58:21,-147.5025,57.7915,4400,36,20.35,22,67.7,1.0,
SKQ201915S,GAK15,B,2019-07-09T23:59:53,-147.5025,57.7915,4400,36,10.31,23,74.0,1.0,
SKQ201915S,GAK15,B,2019-07-10T00:01:41,-147.5025,57.7915,4400,36,4.33,24,73.0,1.0,
SKQ201915S,GAK9,B,2019-07-10T18:54:26,-148.3468,58.6815,278,42,151.25,9,57.4,1.0,
SKQ201915S,GAK9,B,2019-07-10T19:00:35,-148.3468,58.6815,278,42,75.74,12,65.0,1.0,
SKQ201915S,GAK9,B,2019-07-10T19:02:32,-148.3468,58.6815,278,42,50.34,13,62.2,1.0,
SKQ201915S,GAK9,B,2019-07-10T19:04:08,-148.3468,58.6815,278,42,40.25,14,65.6,1.0,
SKQ201915S,GAK9,B,2019-07-10T19:06:00,-148.3468,58.6815,278,42,30.3,16,68.5,1.0,
SKQ201915S,GAK9,B,2019-07-10T19:07:38,-148.3468,58.6815,278,42,20.3,17,73.6,1.0,
SKQ201915S,GAK9,B,2019-07-10T19:09:06,-148.3468,58.6815,278,42,15.38,19,57.4,1.0,
