Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,DOC_[umoles/L],Quality_flag
TGX201809,GAK1,B,2018-09-12T19:43:12,-149.4822,59.846,268,3,2.72,15,84.03,1
TGX201809,GAK1,B,2018-09-12T19:41:34,-149.4822,59.846,268,3,10.24,12,88.37,1
TGX201809,GAK1,B,2018-09-12T19:40:24,-149.4822,59.846,268,3,19.98,11,81.89,1
TGX201809,GAK1,B,2018-09-12T19:39:18,-149.4822,59.846,268,3,30.75,10,67.37,1
TGX201809,GAK1,B,2018-09-12T19:38:20,-149.4822,59.846,268,3,41.05,9,104.71,1
TGX201809,GAK1,B,2018-09-12T19:37:20,-149.4822,59.846,268,3,51.16,8,112.06,1
TGX201809,GAK1,B,2018-09-12T19:35:48,-149.4822,59.846,268,3,77,7,64.99,1
TGX201809,GAK1,B,2018-09-12T19:31:41,-149.4822,59.846,268,3,151.45,4,76.31,1
TGX201809,GAK5,B,2018-09-13T17:37:31,-148.9175,59.2448,168,12,2.43,13,85.71,1
TGX201809,GAK5,B,2018-09-13T17:36:19,-148.9175,59.2448,168,12,10.07,12,81.32,1
TGX201809,GAK5,B,2018-09-13T17:35:20,-148.9175,59.2448,168,12,19.67,9,76.59,1
TGX201809,GAK5,B,2018-09-13T17:33:56,-148.9175,59.2448,168,12,29.48,8,66.74,1
TGX201809,GAK5,B,2018-09-13T17:33:05,-148.9175,59.2448,168,12,40.12,7,113.11,1
TGX201809,GAK5,B,2018-09-13T17:32:10,-148.9175,59.2448,168,12,50.4,6,74.91,1
TGX201809,GAK5,B,2018-09-13T17:30:33,-148.9175,59.2448,168,12,75.87,5,69.13,1
TGX201809,GAK5,B,2018-09-13T17:26:20,-148.9175,59.2448,168,12,153.74,2,98.46,1
TGX201809,GAK9,B,2018-09-14T18:38:09,-148.3483,58.6762,280,21,2.94,15,122.68,1
TGX201809,GAK9,B,2018-09-14T18:36:48,-148.3483,58.6762,280,21,9.92,13,92.57,1
TGX201809,GAK9,B,2018-09-14T18:35:41,-148.3483,58.6762,280,21,20.34,11,99.68,1
TGX201809,GAK9,B,2018-09-14T18:34:49,-148.3483,58.6762,280,21,30.09,10,90.03,1
TGX201809,GAK9,B,2018-09-14T18:33:46,-148.3483,58.6762,280,21,39.68,9,197.31,1
TGX201809,GAK9,B,2018-09-14T18:32:49,-148.3483,58.6762,280,21,50.17,8,66.8,1
TGX201809,GAK9,B,2018-09-14T18:31:45,-148.3483,58.6762,280,21,75.54,7,139.65,1
TGX201809,GAK9,B,2018-09-14T18:27:54,-148.3483,58.6762,280,21,152.86,4,90,1
TGX201809,GAK15,B,2018-09-15T16:50:46,-147.5008,57.79,4555,27,10.09,10,167.25,1
TGX201809,GAK15,B,2018-09-15T16:43:47,-147.5008,57.79,4555,27,76.42,2,154.64,1
TGX201809,GAK15,B,2018-09-15T18:35:06,-147.496,57.7927,4555,28,2.69,15,81.63,1
TGX201809,GAK15,B,2018-09-15T18:32:49,-147.496,57.7927,4555,28,19.77,12,130.34,1
TGX201809,GAK15,B,2018-09-15T18:31:50,-147.496,57.7927,4555,28,31.12,10,102.44,1
TGX201809,GAK15,B,2018-09-15T18:31:05,-147.496,57.7927,4555,28,40.79,9,138.73,1
TGX201809,GAK15,B,2018-09-15T18:30:05,-147.496,57.7927,4555,28,50.7,8,169.89,1
TGX201809,GAK15,B,2018-09-15T18:26:37,-147.496,57.7927,4555,28,151.06,6,58.81,1
TGX201809,KOD10,B,2018-09-16T18:06:18,-149.7657,57.2105,2500,31,2.82,15,64.8,1
TGX201809,KOD10,B,2018-09-16T18:05:11,-149.7657,57.2105,2500,31,10.08,13,64.4,1
TGX201809,KOD10,B,2018-09-16T18:04:15,-149.7657,57.2105,2500,31,19.67,12,65.3,1
TGX201809,KOD10,B,2018-09-16T18:03:21,-149.7657,57.2105,2500,31,29.78,11,64.3,1
TGX201809,KOD10,B,2018-09-16T18:02:31,-149.7657,57.2105,2500,31,39.95,9,59.1,1
TGX201809,KOD10,B,2018-09-16T18:01:31,-149.7657,57.2105,2500,31,50.48,8,56.7,1
TGX201809,KOD10,B,2018-09-16T18:00:18,-149.7657,57.2105,2500,31,76.64,7,55.2,1
TGX201809,KOD10,B,2018-09-16T17:58:30,-149.7657,57.2105,2500,31,150.97,6,52.8,1
