Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,DOC_[umoles/L],Quality_flag,
TGX201909,PWS2,B,2019-09-12T21:41:03,-147.7962,60.535,732,6,76.55,3,66.8,1.0,
TGX201909,PWS2,B,2019-09-12T21:42:49,-147.7962,60.535,732,6,51.37,4,71.6,1.0,
TGX201909,PWS2,B,2019-09-12T21:43:46,-147.7962,60.535,732,6,40.94,6,61.1,1.0,
TGX201909,PWS2,B,2019-09-12T21:44:53,-147.7962,60.535,732,6,29.79,7,51.4,1.0,
TGX201909,PWS2,B,2019-09-12T21:45:59,-147.7962,60.535,732,6,20.46,8,30.9,1.0,
TGX201909,PWS2,B,2019-09-12T21:46:57,-147.7962,60.535,732,6,10.66,10,66.2,1.0,
TGX201909,PWS2,B,2019-09-12T21:48:31,-147.7962,60.535,732,6,2.1,12,69.5,1.0,
TGX201909,PWS2,B,2019-09-12T23:00:36,-147.8057,60.5362,731,7,151.23,12,63.3,1.0,
TGX201909,MID1,B,2019-09-14T17:21:24,-145.5068,60.2495,16,16,13.9,1,96.1,1.0,
TGX201909,MID1,B,2019-09-14T17:22:19,-145.5068,60.2495,16,16,9.5,2,78.0,1.0,
TGX201909,MID1,B,2019-09-14T17:24:09,-145.5068,60.2495,16,16,2.28,3,54.7,1.0,
TGX201909,MID2,B,2019-09-14T20:51:20,-145.6487,60.1018,118,19,118.42,1,57.9,1.0,
TGX201909,MID2,B,2019-09-14T20:53:31,-145.6487,60.1018,118,19,75.29,3,37.9,1.0,
TGX201909,MID2,B,2019-09-14T20:54:32,-145.6487,60.1018,118,19,50.74,4,88.4,1.0,
TGX201909,MID2,B,2019-09-14T20:55:22,-145.6487,60.1018,118,19,41.12,5,72.4,1.0,
TGX201909,MID2,B,2019-09-14T21:00:04,-145.6487,60.1018,118,19,19.88,10,73.2,1.0,
TGX201909,MID2,B,2019-09-14T21:00:53,-145.6487,60.1018,118,19,10.2,12,69.4,1.0,
