Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Syn_[ug_C/L],Euk_Auto_0-2.5_[ug_C/L],Euk_Auto_2.5-5_[ug_C/L],Euk_Auto_5-10_[ug_C/L],Euk_Auto_10-15_[ug_C/L],Euk_Auto_15-20_[ug_C/L],Euk_Het_0-2.5_[ug_C/L],Euk_Het_2.5-5_[ug_C/L],Euk_Het_5-10_[ug_C/L],Euk_Het_10-15_[ug_C/L],Euk_Het_15-20_[ug_C/L],Quality_flag
SKQ201810S,KOD5,B,2018-04-19T20:17:15,-150.761,57.7847,87,4,8.59,15,0.11,1.74,2.75,6.92,2.96,1.46,0.01,0.19,2.06,0.98,0.51,1
SKQ201810S,PWS2,B,2018-04-23T20:00:43,-147.8027,60.536,738,23,10.19,18,0.04,0.29,3.83,8.19,0.68,2.25,0.59,5.57,15.17,3.13,6.7,1
SKQ201810S,PWSA,B,2018-04-22T23:43:45,-147.3982,60.8217,478,18,10.02,16,0.08,0.21,2.16,18.16,1.64,5,0.22,9.22,25.55,8.17,19.12,1
SKQ201810S,MID2,B,2018-04-26T16:03:15,-145.653,60.0995,118,36,9.62,14,0.01,0.01,0.71,4.79,0.98,1.11,0.06,2.7,4.13,1.92,4.25,1
SKQ201810S,MID5,B,2018-04-27T19:47:26,-146.0962,59.6533,95,46,10.08,10,0.02,0.57,2.91,2.19,2.11,1.38,0.11,3.12,4.1,1.38,0.55,1
SKQ201810S,CS2,B,2018-04-28T20:53:35,-143.892,59.7728,122,57,10.98,13,0.05,0,1.85,3.93,0.89,1.89,0.07,1.05,5.07,0.85,4.3,1
SKQ201810S,CS4,B,2018-04-29T23:22:51,-143.8922,59.4382,2033,65,9.51,22,0.02,0.01,5.35,3.78,0.16,0,0,0.74,6.22,2,3.25,1
SKQ201810S,GAK9,B,2018-05-02T16:05:34,-148.3467,58.6782,277,77,10.06,17,0.05,0.02,5.82,7.5,0.67,1.34,0.23,2.45,6.99,2.87,5.06,1
SKQ201810S,GAK5,B,2018-05-03T19:23:37,-148.9082,59.2627,166,83,11.08,16,0,0.08,0.95,5.75,1.67,4.12,0.02,2.93,7.33,1.78,4.25,1
SKQ201810S,GAK1,B,2018-05-04T16:42:14,-149.4658,59.8465,268,87,8.82,16,0,0.17,0.98,1.82,1.13,0.82,0,3.12,13.47,0.83,3.3,1
