Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Syn_[ug_C/L],Euk_Auto_0-2.5_[ug_C/L],Euk_Auto_2.5-5_[ug_C/L],Euk_Auto_5-10_[ug_C/L],Euk_Auto_10-15_[ug_C/L],Euk_Auto_15-20_[ug_C/L],Euk_Auto_Dino_10-15_[ug_C/L],Euk_Auto_Dino_15-20_[ug_C/L],Euk_Het_0-2.5_[ug_C/L],Euk_Het_2.5-5_[ug_C/L],Euk_Het_5-10_[ug_C/L],Euk_Het_10-15_[ug_C/L],Euk_Het_15-20_[ug_C/L],Euk_Het_Dino_10-15_[ug_C/L],Euk_Het_Dino_15-20_[ug_C/L],Quality_flag
SKQ201915S,PWS2,B,2019-06-30T19:04:49,-147.804,60.5348,738,3,10.25,21,4.31,2.3,19.01,31.79,3.57,5.25,2.18,0.83,0.34,1.64,4.8,2.76,7.18,1.73,5.8,1
SKQ201915S,MID2,B,2019-07-01T23:54:44,-145.6498,60.0993,119,8,10.02,12,90.92,29.27,5.83,47.78,0.39,0.23,0.15,0.12,0.19,2.07,2.19,0.29,0.21,0.19,0.21,1
SKQ201915S,GAK1,B,2019-07-13T19:34:32,-149.4658,59.8467,269,58,10.28,16,25.01,14.76,1.59,16.44,NaN,NaN,0.03,0.03,NaN,NaN,NaN,NaN,NaN,0.04,0.07,1
SKQ201915S,KOD10,B,2019-07-17T19:59:04,-149.7192,57.2038,2501,72,10.53,20,31.6,3.87,7.02,17.34,NaN,NaN,0.1,0.06,NaN,NaN,NaN,NaN,NaN,0.09,0.09,1
SKQ201915S,GAK9,B,2019-07-10T19:10:36,-148.3468,58.6815,278,42,10.34,21,64.89,22.1,4.01,0,NaN,NaN,0.12,0,NaN,NaN,NaN,NaN,NaN,0.04,0.05,1
SKQ201915S,GAK5,B,2019-07-12T18:56:24,-148.9085,59.2617,169,53,10.37,16,68.38,4.78,12.32,11.89,NaN,NaN,0.09,0.27,NaN,NaN,NaN,NaN,NaN,0.02,0.26,1
SKQ201915S,GAK15,B,2019-07-09T23:59:53,-147.5025,57.7915,4400,36,10.31,23,4.95,17.39,10.59,25.8,NaN,NaN,8.29,3.14,NaN,NaN,NaN,NaN,NaN,2.9,8.62,1
SKQ201915S,MID5,B,2019-07-02T20:59:32,-146.0987,59.6502,96,14,10.11,11,53.68,5.56,1.66,25.69,NaN,NaN,0.07,0,NaN,NaN,NaN,NaN,NaN,0.05,0.13,1
SKQ201915S,GAK3,B,2019-07-13T00:03:32,-149.1872,59.5525,212,55,10.32,21,4.26,0.25,3.05,13.97,NaN,NaN,0.02,0,NaN,NaN,NaN,NaN,NaN,0,0.15,1
SKQ201915S,GAK11,B,2019-07-11T01:01:40,-148.0715,58.3885,1414,44,10.25,18,2.43,15.87,2.95,15.87,NaN,NaN,0.78,1.43,NaN,NaN,NaN,NaN,NaN,0.2,3.16,1
SKQ201915S,EATJ,B,2019-07-17T05:02:46,-150.1342,56.665,4975,69,9.98,20,8.95,2.72,7.52,42.48,NaN,NaN,7.35,6.01,NaN,NaN,NaN,NaN,NaN,0.24,4.65,1
SKQ201915S,KOD3,B,2019-07-16T00:24:22,-151.1783,58.0145,83,62,3.87,12,5.56,0.53,5.86,27.51,NaN,NaN,0.24,0.87,NaN,NaN,NaN,NaN,NaN,0.2,1.21,1
SKQ201915S,MID10,B,2019-07-03T19:50:35,-146.001,58.911,4464,18,10.03,16,14.92,12.38,3.26,25.39,NaN,NaN,0.05,0.23,NaN,NaN,NaN,NaN,NaN,0.2,1.01,1
