Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Syn_[ug_C/L],Euk_Auto_0-2.5_[ug_C/L],Euk_Auto_2.5-5_[ug_C/L],Euk_Auto_5-10_[ug_C/L],Euk_Auto_10-15_[ug_C/L],Euk_Auto_15-20_[ug_C/L],Euk_Het_0-2.5_[ug_C/L],Euk_Het_2.5-5_[ug_C/L],Euk_Het_5-10_[ug_C/L],Euk_Het_10-15_[ug_C/L],Euk_Het_15-20_[ug_C/L],Quality_flag
TGX201904,MID2,B,2019-04-28T19:29:29,-145.6645,60.1053,119,6,9.96,10,0.25,1.02,9.05,37.38,11.82,1.61,0,0.97,1.72,0.99,3.1,1
TGX201904,PWS2,B,2019-04-30T20:06:29,-147.7983,60.5347,734,24,10.72,14,0.21,0.42,10.26,27.07,3.49,4.73,0.14,10.47,15.86,2.22,11.91,1
TGX201904,GAK1,B,2019-05-01T16:08:57,-149.485,59.8462,270,30,10.32,8,0.5,4.44,6.05,36.38,15.89,7.45,0,1,15.38,1.58,5.61,1
TGX201904,GAK5,B,2019-05-02T16:32:23,-148.9298,59.2432,167,40,9.55,12,6.08,4.3,1.06,30.15,7.86,5.98,0,1.14,6.12,1.16,5.24,1
TGX201904,GAK9,B,2019-05-04T16:44:03,-148.3492,58.6778,277,49,9.12,13,8.74,15.87,9.32,44.78,15.98,2.35,0,1.54,19.7,3.07,9.16,1
TGX201904,GAK15,B,2019-05-05T07:16:26,-147.5018,57.7918,4543,57,10.02,13,22.26,9.22,3.98,20.39,2.83,2.09,0,0.18,9.71,0.87,3.03,1
TGX201904,KOD12,B,2019-05-06T16:30:37,-149.2922,56.9678,5000,59,10.5,14,0.17,1.94,2.75,7.55,1.62,3.07,0,18.92,38.25,0.82,5.72,1
TGX201904,KOD11,B,2019-05-06T18:40:10,-149.5078,57.0875,2750,60,9.17,14,0.16,0.67,2.15,9.81,2.26,3.66,0.22,17.28,17.44,1.71,5.86,1
TGX201904,KOD10,B,2019-05-06T21:45:19,-149.7008,57.2095,2503,62,9.25,14,0.63,4.92,2.21,12.92,3.51,3.69,0,6.03,10.91,1.7,5.39,1
TGX201904,KOD7,B,2019-05-07T03:18:24,-150.3383,57.5572,181,65,9.95,13,4.32,7.42,17.68,24.28,23.27,2.93,0.03,4.64,4.97,0.7,5.05,1
TGX201904,KOD5,B,2019-05-08T20:56:30,-150.7623,57.7837,85,72,9.89,11,0.35,4.79,4.11,13.22,0.44,5.64,0.49,0.73,7.25,0.52,1.64,1
