Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Syn_[cells/L],Euk_Auto_0-2.5_[cells/L],Euk_Auto_2.5-5_[cells/L],Euk_Auto_5-10_[cells/L],Euk_Auto_10-15_[cells/L],Euk_Auto_15-20_[cells/L],Euk_Het_0-2.5_[cells/L],Euk_Het_2.5-5_[cells/L],Euk_Het_5-10_[cells/L],Euk_Het_10-15_[cells/L],Euk_Het_15-20_[cells/L],Quality_flag
WSD201807,CS2,B,2018-07-05T23:50:46,-143.8927,59.7735,121,5,9.69,10,1.20E+08,4.85E+06,6.84E+06,1.06E+06,1.28E+05,2.99E+04,6.64E+04,3.98E+05,2.66E+05,9.38E+04,6.40E+04,1
WSD201807,CS4,B,2018-07-06T05:34:25,-143.8953,59.4377,2010,9,9.84,14,4.72E+07,1.34E+06,1.27E+06,5.84E+05,2.41E+04,3.12E+04,0.00E+00,3.09E+05,1.37E+05,5.67E+03,9.07E+04,1
WSD201807,MID2,B,2018-07-06T21:20:50,-145.6512,60.0998,120,14,9.94,12,1.37E+08,7.74E+06,5.05E+06,9.95E+06,1.43E+05,3.43E+03,0.00E+00,1.58E+05,1.58E+05,3.43E+03,3.43E+03,1
WSD201807,MID5,B,2018-07-07T18:57:54,-146.1015,59.6475,95,24,10.44,10,8.43E+07,1.17E+06,4.36E+06,1.70E+06,1.44E+05,3.84E+04,0.00E+00,4.26E+05,1.17E+06,1.92E+04,1.30E+05,1
WSD201807,PWS2,B,2018-07-09T20:12:17,-147.8035,60.5312,798,38,9.91,13,1.91E+07,6.60E+06,2.33E+06,1.61E+06,7.79E+04,5.36E+04,0.00E+00,8.05E+04,2.41E+05,1.36E+05,1.02E+05,1
WSD201807,GAK1,B,2018-07-10T17:10:28,-149.4645,59.8448,269,43,9.46,13,6.82E+07,6.23E+06,8.48E+06,2.74E+06,1.72E+04,5.07E+03,0.00E+00,1.50E+06,8.73E+05,6.08E+03,1.98E+04,1
WSD201807,GAK5,B,2018-07-11T20:11:15,-148.9113,59.2595,167,52,9.75,11,8.22E+07,9.91E+04,2.87E+06,1.59E+06,9.91E+04,4.55E+04,0.00E+00,2.38E+06,6.94E+05,6.70E+04,9.64E+04,1
WSD201807,GAK9,B,2018-07-12T18:41:02,-148.3528,58.6822,280,57,10.17,13,2.08E+08,6.17E+06,1.98E+06,8.82E+05,1.97E+05,2.50E+04,1.10E+05,4.96E+05,2.20E+05,5.00E+04,2.19E+05,1
WSD201807,GAK15,B,2018-07-13T22:08:59,-147.4967,57.7843,4543,64,10.31,13,5.63E+07,7.88E+05,1.02E+06,3.55E+05,2.55E+04,1.11E+04,5.91E+04,2.76E+05,3.94E+04,8.48E+03,5.09E+04,1
WSD201807,KOD5,B,2018-07-14T18:33:07,-150.7615,57.7862,86,66,10.16,9,2.43E+06,2.77E+05,6.17E+04,1.23E+05,6.34E+03,3.29E+03,9.25E+04,2.67E+05,8.22E+04,3.29E+03,7.04E+03,1
WSD201807,KOD10,B,2018-07-16T18:57:11,-149.7237,57.2017,2503,76,9.9,14,9.13E+06,1.89E+06,1.54E+06,4.41E+05,1.63E+04,6.85E+03,1.26E+05,2.52E+05,2.21E+05,8.99E+03,2.48E+04,1
