Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Syn_[cells/L],Euk_Auto_0-2.5_[cells/L],Euk_Auto_2.5-5_[cells/L],Euk_Auto_5-10_[cells/L],Euk_Auto_10-15_[cells/L],Euk_Auto_15-20_[cells/L],Euk_Het_0-2.5_[cells/L],Euk_Het_2.5-5_[cells/L],Euk_Het_5-10_[cells/L],Euk_Het_10-15_[cells/L],Euk_Het_15-20_[cells/L],Quality_flag
SKQ201810S,KOD5,B,2018-04-19T20:17:15,-150.761,57.7847,87,4,8.59,15,5.57E+05,2.62E+06,5.57E+05,2.09E+05,2.55E+04,6.09E+03,1.39E+04,4.18E+04,8.36E+04,9.57E+03,2.32E+03,1
SKQ201810S,PWS2,B,2018-04-23T20:00:43,-147.8027,60.536,738,23,10.19,18,2.25E+05,3.00E+05,1.16E+06,3.00E+05,5.69E+03,8.54E+03,5.62E+05,9.74E+05,4.87E+05,3.13E+04,2.94E+04,1
SKQ201810S,PWSA,B,2018-04-22T23:43:45,-147.3982,60.8217,478,18,10.02,16,4.18E+05,2.79E+05,4.88E+05,5.57E+05,1.77E+04,2.26E+04,2.09E+05,1.25E+06,9.75E+05,8.54E+04,8.22E+04,1
SKQ201810S,MID2,B,2018-04-26T16:03:15,-145.653,60.0995,118,36,9.62,14,4.29E+04,1.43E+04,1.43E+05,1.57E+05,9.83E+03,4.28E+03,5.72E+04,6.15E+05,1.43E+05,1.71E+04,1.88E+04,1
SKQ201810S,MID5,B,2018-04-27T19:47:26,-146.0962,59.6533,95,46,10.08,10,7.76E+04,5.43E+05,8.66E+05,7.76E+04,2.00E+04,6.24E+03,1.03E+05,5.69E+05,1.55E+05,1.46E+04,2.50E+03,1
SKQ201810S,CS2,B,2018-04-28T20:53:35,-143.892,59.7728,122,57,10.98,13,2.75E+05,0.00E+00,5.17E+05,1.45E+05,6.43E+03,7.56E+03,6.46E+04,2.42E+05,1.78E+05,7.56E+03,1.81E+04,1
SKQ201810S,CS4,B,2018-04-29T23:22:51,-143.8922,59.4382,2033,65,9.51,22,1.04E+05,1.73E+04,1.69E+06,1.38E+05,1.76E+03,0.00E+00,0.00E+00,1.38E+05,2.08E+05,2.11E+04,1.47E+04,1
SKQ201810S,GAK9,B,2018-05-02T16:05:34,-148.3467,58.6782,277,77,10.06,17,2.42E+05,2.42E+04,1.57E+06,2.42E+05,5.09E+03,5.60E+03,2.18E+05,4.36E+05,2.42E+05,3.01E+04,2.24E+04,1
SKQ201810S,GAK5,B,2018-05-03T19:23:37,-148.9082,59.2627,166,83,11.08,16,0.00E+00,1.02E+05,2.45E+05,1.63E+05,1.48E+04,1.48E+04,2.04E+04,6.12E+05,2.45E+05,1.86E+04,1.86E+04,1
SKQ201810S,GAK1,B,2018-05-04T16:42:14,-149.4658,59.8465,268,87,8.82,16,0.00E+00,2.39E+05,1.99E+05,3.98E+04,9.74E+03,2.60E+03,0.00E+00,5.97E+05,4.78E+05,8.44E+03,1.46E+04,1
