Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Syn_[cells/L],Euk_Auto_0-2.5_[cells/L],Euk_Auto_2.5-5_[cells/L],Euk_Auto_5-10_[cells/L],Euk_Auto_10-15_[cells/L],Euk_Auto_15-20_[cells/L],Euk_Auto_Dino_10-15_[cells/L],Euk_Auto_Dino_15-20_[cells/L],Euk_Het_0-2.5_[cells/L],Euk_Het_2.5-5_[cells/L],Euk_Het_5-10_[cells/L],Euk_Het_10-15_[cells/L],Euk_Het_15-20_[cells/L],Euk_Het_Dino_10-15_[cells/L],Euk_Het_Dino_15-20_[cells/L],Quality_flag
SKQ201915S,PWS2,B,2019-06-30T19:04:49,-147.804,60.5348,738,3,10.25,21,2.16E+07,2.27E+06,4.47E+06,1.23E+06,3.74E+04,2.37E+04,2.24E+04,3.74E+03,3.24E+05,5.19E+05,1.95E+05,2.87E+04,3.24E+04,1.87E+04,2.62E+04,1
SKQ201915S,MID2,B,2019-07-01T23:54:44,-145.6498,60.0993,119,8,10.02,12,4.55E+08,2.77E+07,9.74E+05,1.86E+06,4.17E+03,1.04E+03,1.57E+03,5.22E+02,1.77E+05,5.31E+05,8.85E+04,3.13E+03,5.22E+02,2.09E+03,5.22E+02,1
SKQ201915S,GAK1,B,2019-07-13T19:34:32,-149.4658,59.8467,269,58,10.28,16,1.25E+08,1.40E+07,2.96E+05,6.66E+05,NaN,NaN,2.98E+02,1.49E+02,NaN,NaN,NaN,NaN,NaN,4.47E+02,2.98E+02,1
SKQ201915S,KOD10,B,2019-07-17T19:59:04,-149.7192,57.2038,2501,72,10.53,20,1.58E+08,3.67E+06,1.85E+06,6.26E+05,NaN,NaN,9.86E+02,2.82E+02,NaN,NaN,NaN,NaN,NaN,9.86E+02,4.23E+02,1
SKQ201915S,GAK9,B,2019-07-10T19:10:36,-148.3468,58.6815,278,42,10.34,21,3.24E+08,2.09E+07,7.75E+05,0.00E+00,NaN,NaN,1.29E+03,0.00E+00,NaN,NaN,NaN,NaN,NaN,4.37E+02,2.19E+02,1
SKQ201915S,GAK5,B,2019-07-12T18:56:24,-148.9085,59.2617,169,53,10.37,16,3.42E+08,7.19E+06,3.91E+06,4.44E+05,NaN,NaN,8.70E+02,1.22E+03,NaN,NaN,NaN,NaN,NaN,1.74E+02,1.04E+03,1
SKQ201915S,GAK15,B,2019-07-09T23:59:53,-147.5025,57.7915,4400,36,10.31,23,2.48E+07,2.61E+07,2.82E+06,9.15E+05,NaN,NaN,7.43E+04,1.42E+04,NaN,NaN,NaN,NaN,NaN,2.83E+04,3.89E+04,1
SKQ201915S,MID5,B,2019-07-02T20:59:32,-146.0987,59.6502,96,14,10.11,11,2.68E+08,5.27E+06,5.27E+05,9.66E+05,NaN,NaN,7.56E+02,0.00E+00,NaN,NaN,NaN,NaN,NaN,3.78E+02,5.67E+02,1
SKQ201915S,GAK3,B,2019-07-13T00:03:32,-149.1872,59.5525,212,55,10.32,21,2.13E+07,3.80E+05,6.24E+05,5.42E+05,NaN,NaN,2.33E+02,0.00E+00,NaN,NaN,NaN,NaN,NaN,0.00E+00,7.00E+02,1
SKQ201915S,GAK11,B,2019-07-11T01:01:40,-148.0715,58.3885,1414,44,10.25,18,1.21E+07,1.50E+07,6.93E+05,5.54E+05,NaN,NaN,7.19E+03,6.47E+03,NaN,NaN,NaN,NaN,NaN,2.16E+03,1.37E+04,1
SKQ201915S,EATJ,B,2019-07-17T05:02:46,-150.1342,56.665,4975,69,9.98,20,4.47E+07,2.57E+06,1.76E+06,1.47E+06,NaN,NaN,6.82E+04,2.49E+04,NaN,NaN,NaN,NaN,NaN,2.62E+03,2.10E+04,1
SKQ201915S,KOD3,B,2019-07-16T00:24:22,-151.1783,58.0145,83,62,3.87,12,2.78E+07,5.02E+05,1.28E+06,9.59E+05,NaN,NaN,2.12E+03,3.95E+03,NaN,NaN,NaN,NaN,NaN,2.12E+03,5.46E+03,1
SKQ201915S,MID10,B,2019-07-03T19:50:35,-146.001,58.911,4464,18,10.03,16,7.46E+07,1.17E+07,7.36E+05,8.94E+05,NaN,NaN,5.36E+02,8.04E+02,NaN,NaN,NaN,NaN,NaN,1.88E+03,4.56E+03,1
