Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Syn_[ug_C/L],Euk_Auto_0-2.5_[ug_C/L],Euk_Auto_2.5-5_[ug_C/L],Euk_Auto_5-10_[ug_C/L],Euk_Auto_10-15_[ug_C/L],Euk_Auto_15-20_[ug_C/L],Euk_Het_0-2.5_[ug_C/L],Euk_Het_2.5-5_[ug_C/L],Euk_Het_5-10_[ug_C/L],Euk_Het_10-15_[ug_C/L],Euk_Het_15-20_[ug_C/L],Quality_flag
SKQ202010S,GAK1,B,2020-07-03T01:03:48,-149.4653,59.843,270.2,3,10.37,18,22.16,7.2,37.56,130.25,2.53,2.15,0,21.68,0,2.94,2.72,1
SKQ202010S,GAK3,B,2020-07-04T16:27:19,-149.1877,59.5525,214,6,10.1,14,8.23,0.57,15.21,45.11,3,1.92,0.19,4.86,15.41,4.15,9.23,1
SKQ202010S,GAK5,B,2020-07-04T23:26:35,-148.9085,59.2617,167,8,10.73,18,18.87,1.34,6.47,55.42,18.89,12.42,0,2.03,17.2,4.22,22.13,1
SKQ202010S,GAK7,B,2020-07-05T20:51:18,-148.6305,58.9722,239,12,10.3,14,30.62,5.12,5.52,78.56,4.12,3.93,0.05,6.18,5.6,4.57,14.51,1
SKQ202010S,GAK9,B,2020-07-06T20:00:24,-148.3495,58.6805,276,18,10.33,19,20.05,0,15.84,163.16,5.37,7.02,0,6.24,26.44,3.12,36.18,1
SKQ202010S,GAK11,B,2020-07-07T03:17:56,-148.0725,58.3882,1412,20,9.84,22,0.79,5.97,11.42,19.5,1.55,3.86,0,1.05,5.58,0.52,6.83,1
SKQ202010S,GAK15,B,2020-07-07T20:46:29,-147.5037,57.7917,4437,23,10.17,22,3.07,1.42,6.45,24.91,1.22,3.18,0.09,0.62,3.01,0.68,7.4,1
SKQ202010S,GAK13,B,2020-07-08T03:39:59,-147.794,58.0977,2065,25,10.18,20,2.16,0.7,13.97,22.87,4.49,5.59,0.09,1.91,9.92,1.4,9.54,1
SKQ202010S,MID10,B,2020-07-08T20:53:01,-146.0005,58.9102,4445,27,10.23,17,38.09,2.56,6.45,37.77,5.58,4.22,0.63,0.27,6.35,2.71,14.02,1
SKQ202010S,MID9,B,2020-07-09T00:52:45,-146.1007,59.068,2936,29,10.42,17,93.63,1.59,5.07,33.4,3.94,5.25,0,2.71,6.26,1.56,19.52,1
SKQ202010S,MID5,B,2020-07-09T21:16:26,-146.0978,59.6503,94,37,4.48,12,24.04,1.49,14.21,47.41,4.57,1.57,0.37,3.46,2.18,3.26,11.87,1
SKQ202010S,MID5,B,2020-07-09T21:14:26,-146.0978,59.6503,94,37,10.1,8,21.93,0.72,18.79,119.9,11.34,7.14,0.48,3.15,28.01,7.61,22.72,1
SKQ202010S,MID2,B,2020-07-10T19:11:08,-145.6497,60.0997,118,45,10.14,12,13.4,2.85,13.43,36.15,3.35,0.67,0.14,6.82,3.33,1.57,4.1,1
SKQ202010S,PL20,B,2020-07-11T23:47:07,-144.6452,60.0808,130,47,4.13,13,18.59,3.28,15.32,41.46,1.89,2.05,0.71,2.87,4.4,1.87,5.44,1
SKQ202010S,PL20,B,2020-07-11T23:44:16,-144.6452,60.0808,130,47,10.59,8,37.27,7.9,24.69,70.81,2.63,0.46,0,7.47,8.41,1.77,4.56,1
SKQ202010S,PL21,B,2020-07-12T20:10:52,-145.3227,60.1427,71,49,3.01,9,5.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
SKQ202010S,PL21,B,2020-07-12T20:10:44,-145.3227,60.1427,71,49,3.09,8,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
SKQ202010S,PL21,B,2020-07-12T20:07:34,-145.3227,60.1427,71,49,10.19,6,25.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
SKQ202010S,PL22,B,2020-07-13T18:05:58,-146.3798,60.0472,62,51,9.91,8,10.47,4.67,30.53,25.09,1.09,0.53,0,5.56,9.79,3.11,7.97,1
SKQ202010S,PWS2,B,2020-07-14T19:46:57,-147.8023,60.5355,729,53,10.14,21,4.48,1.6,15.18,51.73,4.18,4.19,0,1.63,0,3.66,9.95,1
