Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Syn_[cells/L],Euk_Auto_0-2.5_[cells/L],Euk_Auto_2.5-5_[cells/L],Euk_Auto_5-10_[cells/L],Euk_Auto_10-15_[cells/L],Euk_Auto_15-20_[cells/L],Euk_Het_0-2.5_[cells/L],Euk_Het_2.5-5_[cells/L],Euk_Het_5-10_[cells/L],Euk_Het_10-15_[cells/L],Euk_Het_15-20_[cells/L],Quality_flag
TGX201904,MID2,B,2019-04-28T19:29:29,-145.6645,60.1053,119,6,9.96,10,1.26E+06,1.05E+06,1.39E+06,1.39E+06,1.22E+05,6.59E+03,0.00E+00,2.09E+05,6.97E+04,1.07E+04,1.40E+04,1
TGX201904,PWS2,B,2019-04-30T20:06:29,-147.7983,60.5347,734,24,10.72,14,1.06E+06,5.96E+05,1.85E+06,9.27E+05,3.24E+04,2.01E+04,1.32E+05,1.92E+06,5.30E+05,2.01E+04,5.24E+04,1
TGX201904,GAK1,B,2019-05-01T16:08:57,-149.485,59.8462,270,30,10.32,8,2.51E+06,4.28E+06,1.39E+06,1.39E+06,1.47E+05,3.07E+04,0.00E+00,1.86E+05,4.65E+05,1.71E+04,2.39E+04,1
TGX201904,GAK5,B,2019-05-02T16:32:23,-148.9298,59.2432,167,40,9.55,12,3.04E+07,4.46E+06,2.48E+05,1.12E+06,8.15E+04,2.37E+04,0.00E+00,1.86E+05,2.48E+05,9.20E+03,2.37E+04,1
TGX201904,GAK9,B,2019-05-04T16:44:03,-148.3492,58.6778,277,49,9.12,13,4.37E+07,1.85E+07,1.52E+06,1.73E+06,1.65E+05,8.27E+03,0.00E+00,2.03E+05,7.11E+05,3.31E+04,4.13E+04,1
TGX201904,GAK15,B,2019-05-05T07:16:26,-147.5018,57.7918,4543,57,10.02,13,1.11E+08,1.09E+07,7.86E+05,7.30E+05,2.38E+04,8.99E+03,0.00E+00,5.61E+04,3.93E+05,8.47E+03,1.32E+04,1
TGX201904,KOD12,B,2019-05-06T16:30:37,-149.2922,56.9678,5000,59,10.5,14,8.41E+05,2.06E+06,7.65E+05,3.06E+05,1.74E+04,1.33E+04,0.00E+00,2.98E+06,1.22E+06,7.68E+03,2.58E+04,1
TGX201904,KOD11,B,2019-05-06T18:40:10,-149.5078,57.0875,2750,60,9.17,14,8.18E+05,6.96E+05,4.50E+05,3.27E+05,2.35E+04,1.57E+04,2.05E+05,2.54E+06,5.32E+05,1.76E+04,2.65E+04,1
TGX201904,KOD10,B,2019-05-06T21:45:19,-149.7008,57.2095,2503,62,9.25,14,3.13E+06,5.01E+06,5.29E+05,4.88E+05,3.36E+04,1.59E+04,0.00E+00,9.36E+05,4.07E+05,1.76E+04,2.43E+04,1
TGX201904,KOD7,B,2019-05-07T03:18:24,-150.3383,57.5572,181,65,9.95,13,2.16E+07,1.12E+07,3.27E+06,8.55E+05,2.43E+05,1.06E+04,5.03E+04,9.05E+05,2.01E+05,7.60E+03,2.28E+04,1
TGX201904,KOD5,B,2019-05-08T20:56:30,-150.7623,57.7837,85,72,9.89,11,1.73E+06,7.18E+06,7.15E+05,3.58E+05,4.78E+03,2.43E+04,5.66E+05,1.49E+05,2.68E+05,5.65E+03,7.39E+03,1
