Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Oligotrich_Ciliates_<20_[cells/liter],Oligotrich_Ciliate_20-39_[cells/liter],Oligotrich_Ciliate_40-59_[cells/liter],Oligotrich_Ciliate_>60_[cells/liter],Laboea_[cells/liter],Tintinnids_[cells/liter],Dinoflagellate_<20_[cells/liter],Dinoflagellate_20-39_[cells/liter],Dinoflagellate_40-59_[cells/liter],Dinoflagellate_>60_[cells/liter],Silicoflagellate_[cells/liter],Total_Ciliates _[cells/liter],Total_Dinoflagellates_[cells/liter],Quality_flag
SKQ201810S,KOD5,B,2018-04-19T20:17:15,-150.761,57.7847,87,4,8.59,15,1305,484,168,21,0,0,1368,989,42,0,0,1979,2400,1
SKQ201810S,KOD3,B,2018-04-20T01:43:37,-151.1783,58.018,85,6,10.12,6,1726,337,84,21,0,0,2084,674,0,0,0,2168,2758,1
SKQ201810S,KOD1,B,2018-04-20T05:56:08,-151.5885,58.2322,70,8,10.02,6,1116,526,84,0,0,0,1937,716,84,0,42,1726,2737,1
SKQ201810S,KOD10,B,2018-04-21T06:28:20,-149.7223,57.206,2501,15,10.12,15,872,722,301,90,0,0,3038,1143,120,150,60,1985,4451,1
SKQ201810S,PWS2,B,2018-04-23T20:00:43,-147.8027,60.536,738,23,10.19,18,7439,3579,140,0,0,0,7228,3439,0,70,70,11158,10737,1
SKQ201810S,MID2,B,2018-04-26T16:03:15,-145.653,60.0995,118,36,9.62,14,2105,2737,84,0,0,0,1474,1053,253,0,0,4926,2779,1
SKQ201810S,MID3,B,2018-04-27T00:06:05,-145.7997,59.9505,87,41,10.18,7,1453,863,84,0,21,0,1958,568,42,84,0,2421,2653,1
SKQ201810S,MID5,B,2018-04-27T19:47:26,-146.0962,59.6533,95,46,10.08,10,3228,2386,175,0,105,0,1614,561,105,175,35,5895,2456,1
SKQ201810S,MID6,B,2018-04-27T23:17:32,-146.2508,59.5003,37,48,9.91,3,3579,632,263,0,0,0,3684,1579,316,0,105,4474,5579,1
SKQ201810S,CS2,B,2018-04-28T20:53:35,-143.892,59.7728,122,57,10.98,13,2197,870,0,0,0,92,3524,2334,503,183,229,3158,6545,1
SKQ201810S,CS1,B,2018-04-29T01:40:42,-143.8897,59.9392,64,61,10.31,7,4758,1642,42,0,84,0,3074,1642,295,505,42,6526,5516,1
SKQ201810S,CS3,B,2018-04-29T16:17:31,-143.8915,59.6067,196,62,10.72,10,4331,2165,120,0,0,0,3669,1263,180,60,241,6617,5173,1
SKQ201810S,CS4,B,2018-04-29T23:22:51,-143.8922,59.4382,2033,65,9.51,22,3705,2189,84,0,0,0,5684,800,168,0,42,5979,6653,1
SKQ201810S,CS4,B,2018-04-29T23:24:07,-143.8922,59.4382,2033,65,3.85,24,7579,7474,5158,0,211,0,3158,3053,0,0,632,20421,6211,1
SKQ201810S,CS5,B,2018-04-30T03:03:24,-143.8932,59.2732,2805,66,10.37,17,2263,1632,421,158,0,0,6316,2579,526,158,105,4474,9579,1
SKQ201810S,GAK15,B,2018-04-30T20:25:04,-147.4983,57.7918,4551,68,9.8,22,2863,1263,253,0,0,42,3958,716,42,0,0,4421,4716,1
SKQ201810S,GAK13,B,2018-05-01T05:19:32,-147.7953,58.0988,2060,71,10.45,16,1853,1389,211,126,0,0,4758,2653,968,211,211,3579,8589,1
SKQ201810S,GAK11,B,2018-05-02T09:32:04,-148.1027,58.3803,1636,76,9.35,15,4083,1340,191,0,0,64,4593,1659,510,128,0,5678,6890,1
SKQ201810S,GAK9,B,2018-05-02T16:05:34,-148.3467,58.6782,277,77,10.06,17,2568,1853,295,84,0,0,3116,1768,547,211,0,4800,5642,1
SKQ201810S,GAK7,B,2018-05-02T22:44:36,-148.6312,58.9723,241,80,10.64,11,4421,1579,53,53,0,0,3421,1579,263,105,211,6105,5368,1
SKQ201810S,GAK5,B,2018-05-03T19:23:37,-148.9082,59.2627,166,83,11.08,16,3088,1825,281,0,0,0,4772,2877,772,351,772,5193,8772,1
SKQ201810S,GAK3,B,2018-05-04T02:51:18,-149.1882,59.5542,213,85,10.67,11,2505,1432,42,21,21,0,1621,1137,63,21,295,4021,2842,1
SKQ201810S,GAK1,B,2018-05-04T16:42:14,-149.4658,59.8465,268,87,8.82,16,1066,684,53,13,13,0,421,276,26,118,66,1829,842,1
