Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Oligotrich_Ciliates_<20_[ug_carbon/liter],Oligotrich_Ciliate_20-39_[ug_carbon/liter],Oligotrich_Ciliate_40-59_[ug_carbon/liter],Oligotrich_Ciliate_>60_[ug_carbon/liter],Laboea_[ug_carbon/liter],Tintinnids_[ug_carbon/liter],Dinoflagellate_<20_[ug_carbon/liter],Dinoflagellate_20-39_[ug_carbon/liter],Dinoflagellate_40-59_[ug_carbon/liter],Dinoflagellate_>60_[ug_carbon/liter],Silicoflagellate_[ug_carbon/liter],Total_Ciliates _[ug_carbon/liter],Total_Dinoflagellates_[ug_carbon/liter],Quality_flag
SKQ201810S,KOD5,B,2018-04-19T20:17:15,-150.761,57.7847,87,4,8.59,15,0.29,0.58,0.91,0.41,0,0,0.32,0.61,0.1,0,0,2.19,1.02,1
SKQ201810S,KOD3,B,2018-04-20T01:43:37,-151.1783,58.018,85,6,10.12,6,0.45,0.58,0.44,0.82,0,0,0.4,0.31,0,0,0,2.29,0.72,1
SKQ201810S,KOD1,B,2018-04-20T05:56:08,-151.5885,58.2322,70,8,10.02,6,0.22,0.55,0.22,0,0,0,0.34,0.44,0.2,0,0.02,0.98,0.98,1
SKQ201810S,KOD10,B,2018-04-21T06:28:20,-149.7223,57.206,2501,15,10.12,15,0.18,1.33,0.87,1.02,0,0,0.48,0.63,0.17,1.99,0.01,3.39,3.27,1
SKQ201810S,PWS2,B,2018-04-23T20:00:43,-147.8027,60.536,738,23,10.19,18,0.99,4.01,0.18,0,0,0,1.44,2.57,0,1.21,0.06,5.19,5.23,1
SKQ201810S,MID2,B,2018-04-26T16:03:15,-145.653,60.0995,118,36,9.62,14,0.43,3.18,0.43,0,0,0,0.33,0.93,0.56,0,0,4.04,1.82,1
SKQ201810S,MID3,B,2018-04-27T00:06:05,-145.7997,59.9505,87,41,10.18,7,0.38,1.12,0.17,0,0.16,0,0.3,0.31,0.14,0.47,0,1.83,1.22,1
SKQ201810S,MID5,B,2018-04-27T19:47:26,-146.0962,59.6533,95,46,10.08,10,0.84,3.67,0.6,0,0.71,0,0.3,0.27,0.28,1.03,0.01,5.82,1.87,1
SKQ201810S,MID6,B,2018-04-27T23:17:32,-146.2508,59.5003,37,48,9.91,3,0.61,0.95,0.84,0,0,0,0.65,1.21,0.65,0,0.05,2.4,2.51,1
SKQ201810S,CS2,B,2018-04-28T20:53:35,-143.892,59.7728,122,57,10.98,13,0.44,0.94,0,0,0,0.02,0.72,2.2,2.76,1.34,0.26,1.4,7.02,1
SKQ201810S,CS1,B,2018-04-29T01:40:42,-143.8897,59.9392,64,61,10.31,7,0.97,2.11,0.1,0,0.67,0,0.51,1.47,1.06,2.8,0.01,3.85,5.83,1
SKQ201810S,CS3,B,2018-04-29T16:17:31,-143.8915,59.6067,196,62,10.72,10,0.98,3.65,0.06,0,0,0,0.47,1.2,0.71,0.39,0.08,4.69,2.77,1
SKQ201810S,CS4,B,2018-04-29T23:22:51,-143.8922,59.4382,2033,65,9.51,22,0.81,2.83,0.14,0,0,0,0.85,0.74,0.61,0,0.01,3.77,2.19,1
SKQ201810S,CS4,B,2018-04-29T23:24:07,-143.8922,59.4382,2033,65,3.85,24,1.98,12.09,14.7,0,2.31,0,0.72,1.68,0,0,0.14,31.09,2.39,1
SKQ201810S,CS5,B,2018-04-30T03:03:24,-143.8932,59.2732,2805,66,10.37,17,0.54,2.95,1.23,3.44,0,0,1.15,2.05,1.73,0.47,0.11,8.16,5.4,1
SKQ201810S,GAK15,B,2018-04-30T20:25:04,-147.4983,57.7918,4551,68,9.8,22,0.56,1.3,1.29,0,0,0.03,0.78,0.41,0.03,0,0,3.18,1.22,1
SKQ201810S,GAK13,B,2018-05-01T05:19:32,-147.7953,58.0988,2060,71,10.45,16,0.37,2.36,0.64,1.61,0,0,0.93,1.52,2.22,0.95,0.04,4.97,5.62,1
SKQ201810S,GAK11,B,2018-05-02T09:32:04,-148.1027,58.3803,1636,76,9.35,15,0.73,1.5,0.68,0,0,0.96,0.92,1.22,0.71,0.64,0,3.87,3.48,1
SKQ201810S,GAK9,B,2018-05-02T16:05:34,-148.3467,58.6782,277,77,10.06,17,0.46,2.98,1.21,0.61,0,0,0.55,0.91,1.13,0.69,0,5.26,3.29,1
SKQ201810S,GAK7,B,2018-05-02T22:44:36,-148.6312,58.9723,241,80,10.64,11,0.81,2.56,0.07,1.15,0,0,0.55,1.29,0.6,0.46,0.12,4.6,2.9,1
SKQ201810S,GAK5,B,2018-05-03T19:23:37,-148.9082,59.2627,166,83,11.08,16,0.65,3.23,0.82,0,0,0,0.99,3.02,3.72,3.72,0.4,4.7,11.46,1
SKQ201810S,GAK3,B,2018-05-04T02:51:18,-149.1882,59.5542,213,85,10.67,11,0.52,2.25,0.03,0.44,0.17,0,0.27,0.54,0.05,0.12,0.15,3.41,0.99,1
SKQ201810S,GAK1,B,2018-05-04T16:42:14,-149.4658,59.8465,268,87,8.82,16,0.21,0.88,0.22,0.35,0.09,0,0.09,0.24,0.1,1.03,0.02,1.74,1.46,1
