Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Oligotrich_Ciliates_<20_[cells/liter],Oligotrich_Ciliate_20-39_[cells/liter],Oligotrich_Ciliate_40-59_[cells/liter],Oligotrich_Ciliate_>60_[cells/liter],Laboea_[cells/liter],Tintinnids_[cells/liter],Dinoflagellate_<20_[cells/liter],Dinoflagellate_20-39_[cells/liter],Dinoflagellate_40-59_[cells/liter],Dinoflagellate_>60_[cells/liter],Silicoflagellate_[cells/liter],Total_Ciliates _[cells/liter],Total_Dinoflagellates_[cells/liter],Quality_flag
TGX201809,GAK1,B,2018-09-12T19:41:34,-149.4822,59.846,268,3,10.24,12,3368,1937,84,0,0,0,6568,4295,1516,421,253,5389,12800,1
TGX201809,GAK3,B,2018-09-13T00:49:47,-149.1903,59.5555,216,7,9.58,10,2947,3895,316,632,316,632,22632,7158,1368,421,2842,8737,31579,1
TGX201809,GAK5,B,2018-09-13T17:36:19,-148.9175,59.2448,168,12,10.07,12,8211,3158,0,105,632,105,17789,2421,0,0,421,12211,20211,1
TGX201809,GAK7,B,2018-09-13T22:51:14,-148.6312,58.9708,254,16,9.24,11,4912,842,0,0,421,70,6175,491,70,0,70,6246,6737,1
TGX201809,GAK9,B,2018-09-14T18:36:48,-148.3483,58.6762,280,21,9.92,13,8281,912,70,0,140,281,8070,1263,0,0,140,9684,9333,1
TGX201809,GAK11,B,2018-09-15T00:39:33,-148.0703,58.3913,1432,24,9.75,14,9684,1474,211,0,842,632,28421,6947,632,0,0,12842,36000,1
TGX201809,GAK13,B,2018-09-15T06:01:27,-147.7885,58.1028,2060,26,10.03,14,4737,1474,526,105,316,526,19684,4632,526,0,316,7684,24842,1
TGX201809,GAK15,B,2018-09-15T18:33:51,-147.496,57.7927,4555,28,9.37,13,6737,1684,0,0,0,211,19684,3684,842,211,105,8632,24421,1
TGX201809,KOD10,B,2018-09-16T18:05:11,-149.7657,57.2105,2500,31,10.08,13,5053,1263,0,0,211,421,36632,4842,0,0,0,6947,41474,1
TGX201809,KOD5,B,2018-09-17T19:32:10,-150.76,57.7843,86,37,9.63,7,5414,3008,0,150,301,602,17293,602,602,301,4662,9474,18797,1
TGX201809,KOD3,B,2018-09-17T23:31:18,-151.1777,58.0172,80,39,10.15,6,23579,11789,0,0,421,421,42105,4632,421,842,23579,36211,48000,1
TGX201809,KOD1,B,2018-09-18T03:11:34,-151.5952,58.2418,69,41,10,6,6737,4842,211,211,0,842,20632,1895,1474,421,3789,12842,24421,1
TGX201809,MID1,B,2018-09-19T15:25:15,-145.5005,60.2537,16,42,10.12,2,4211,2000,1263,211,0,316,22316,3158,842,421,526,8000,26737,1
TGX201809,MID2,B,2018-09-19T18:23:41,-145.6487,60.1028,118,45,9.86,10,2526,3158,1053,632,105,0,17368,3368,947,316,105,7474,22000,1
TGX201809,MID3,B,2018-09-19T20:18:16,-145.796,59.9493,85,47,9.81,7,4632,3789,561,281,0,0,12772,4632,842,421,2526,9263,18667,1
TGX201809,MID4,B,2018-09-19T22:19:20,-145.9517,59.8,90,49,10.32,7,2737,1895,211,0,0,0,10316,1789,632,211,421,4842,12947,1
TGX201809,MID6,B,2018-09-20T02:10:53,-146.2485,59.5027,40,53,9.8,4,7579,3368,421,0,211,842,20000,2105,421,211,3579,12421,22737,1
TGX201809,MID5,B,2018-09-20T17:28:23,-146.1077,59.6488,93,57,9.97,8,3158,1789,316,105,105,105,11684,2316,526,105,316,5579,14632,1
TGX201809,MID7,B,2018-09-20T20:33:08,-146.297,59.383,65,58,10.48,6,22632,6842,526,1053,0,0,86316,10526,2632,1053,3158,31053,100526,1
TGX201809,MID9,B,2018-09-21T01:47:20,-146.0985,59.067,2900,61,9.53,14,2211,842,211,105,0,211,18632,1474,632,0,0,3579,20737,1
TGX201809,CS5,B,2018-09-21T16:19:07,-143.897,59.2768,2810,63,9.5,14,3158,526,105,105,0,211,15158,1474,316,0,316,4105,16947,1
TGX201809,CS4,B,2018-09-21T19:56:47,-143.9028,59.4408,2010,65,9.96,12,2000,1368,211,0,0,105,15263,1789,211,211,211,3684,17474,1
TGX201809,CS3,B,2018-09-21T22:15:25,-143.8938,59.6053,209,67,9.88,10,3158,211,105,0,0,105,18632,2000,105,0,105,3579,20737,1
TGX201809,CS1,B,2018-09-22T03:41:16,-143.8912,59.9417,59,73,9.95,5,1895,737,211,421,316,0,19895,3789,737,105,105,3579,24526,1
TGX201809,CS2,B,2018-09-22T15:29:30,-143.8895,59.7725,119,75,10.16,9,2526,281,0,0,0,0,19088,2386,842,0,140,2807,22316,1
TGX201809,PWS2,B,2018-09-23T19:19:54,-147.8032,60.5353,737,79,10.25,12,10895,1474,0,0,158,368,9789,1789,368,211,1684,12895,12158,1
