Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Oligotrich_Ciliates_<20_[ug_carbon/liter],Oligotrich_Ciliate_20-39_[ug_carbon/liter],Oligotrich_Ciliate_40-59_[ug_carbon/liter],Oligotrich_Ciliate_>60_[ug_carbon/liter],Laboea_[ug_carbon/liter],Tintinnids_[ug_carbon/liter],Dinoflagellate_<20_[ug_carbon/liter],Dinoflagellate_20-39_[ug_carbon/liter],Dinoflagellate_40-59_[ug_carbon/liter],Dinoflagellate_>60_[ug_carbon/liter],Silicoflagellate_[ug_carbon/liter],Total_Ciliates _[ug_carbon/liter],Total_Dinoflagellates_[ug_carbon/liter],Quality_flag
TGX201809,GAK1,B,2018-09-12T19:41:34,-149.4822,59.846,268,3,10.24,12,0.58,2.13,0.28,0,0,0,1.17,4.91,5.11,3.18,0.07,2.98,14.38,1
TGX201809,GAK3,B,2018-09-13T00:49:47,-149.1903,59.5555,216,7,9.58,10,0.79,5.25,2.66,3.98,1.99,3.37,3.63,7.44,3.33,3.07,2.04,18.03,17.47,1
TGX201809,GAK5,B,2018-09-13T17:36:19,-148.9175,59.2448,168,12,10.07,12,0.9,2.27,0,0.98,2.71,0.11,2.9,1.62,0,0,0.58,6.97,4.53,1
TGX201809,GAK7,B,2018-09-13T22:51:14,-148.6312,58.9708,254,16,9.24,11,0.45,0.41,0,0,1.86,0.01,0.77,0.36,0.07,0,0.17,2.73,1.2,1
TGX201809,GAK9,B,2018-09-14T18:36:48,-148.3483,58.6762,280,21,9.92,13,0.49,0.79,0.45,0,0.47,0.17,1.01,0.55,0,0,0.12,2.36,1.56,1
TGX201809,GAK11,B,2018-09-15T00:39:33,-148.0703,58.3913,1432,24,9.75,14,1.35,1.51,0.62,0,5.97,0.1,4.49,4.6,2.99,0,0,9.55,12.08,1
TGX201809,GAK13,B,2018-09-15T06:01:27,-147.7885,58.1028,2060,26,10.03,14,0.67,0.82,2.44,0.46,2.1,0.35,3.41,2.97,0.53,0,0.6,6.84,6.92,1
TGX201809,GAK15,B,2018-09-15T18:33:51,-147.496,57.7927,4555,28,9.37,13,0.95,0.95,0,0,0,0.06,2.98,2.32,1.23,0.77,0.16,1.97,7.3,1
TGX201809,KOD10,B,2018-09-16T18:05:11,-149.7657,57.2105,2500,31,10.08,13,0.58,0.98,0,0,1,0.69,4.96,1.7,0,0,0,3.25,6.66,1
TGX201809,KOD5,B,2018-09-17T19:32:10,-150.76,57.7843,86,37,9.63,7,1.42,2.04,0,0.64,2.18,2.2,2.37,0.74,2.92,7.53,1.85,8.46,13.56,1
TGX201809,KOD3,B,2018-09-17T23:31:18,-151.1777,58.0172,80,39,10.15,6,5.59,7.76,0,0,4.49,3.89,5.69,6.28,4.04,10.76,10.54,21.74,26.78,1
TGX201809,KOD1,B,2018-09-18T03:11:34,-151.5952,58.2418,69,41,10,6,0.95,6.78,1.19,0.67,0,2.09,2.56,2.81,8.39,6.51,2.11,11.68,20.27,1
TGX201809,MID1,B,2018-09-19T15:25:15,-145.5005,60.2537,16,42,10.12,2,0.59,2.69,4.83,0.91,0,0.69,2.82,2.45,2.14,1.02,0.09,9.71,8.43,1
TGX201809,MID2,B,2018-09-19T18:23:41,-145.6487,60.1028,118,45,9.86,10,0.58,3.74,4.47,4.09,0.32,0,2.59,3.85,3.05,2.76,0.03,13.2,12.25,1
TGX201809,MID3,B,2018-09-19T20:18:16,-145.796,59.9493,85,47,9.81,7,0.91,3.49,2.23,2.18,0,0,2.44,4.06,2.71,1.35,2.03,8.82,10.55,1
TGX201809,MID4,B,2018-09-19T22:19:20,-145.9517,59.8,90,49,10.32,7,0.36,2.12,0.79,0,0,0,1.49,1.86,1.38,0.36,0.34,3.27,5.09,1
TGX201809,MID6,B,2018-09-20T02:10:53,-146.2485,59.5027,40,53,9.8,4,1.47,5.24,3.41,0,1.71,1.87,3.05,1.42,0.92,2.89,2.05,13.7,8.27,1
TGX201809,MID5,B,2018-09-20T17:28:23,-146.1077,59.6488,93,57,9.97,8,0.57,1.44,1.66,0.23,0.27,0.01,1.64,1.58,0.76,0.79,0.11,4.17,4.77,1
TGX201809,MID7,B,2018-09-20T20:33:08,-146.297,59.383,65,58,10.48,6,3.15,5.6,1.89,5.75,0,0,12.75,6.46,5.45,9.12,0.71,16.39,33.78,1
TGX201809,MID9,B,2018-09-21T01:47:20,-146.0985,59.067,2900,61,9.53,14,0.47,0.8,0.78,1.36,0,0.89,2.56,0.67,1.07,0,0,4.3,4.3,1
TGX201809,CS5,B,2018-09-21T16:19:07,-143.897,59.2768,2810,63,9.5,14,0.29,0.52,0.18,1.91,0,0.35,1.94,0.84,0.19,0,0.4,3.25,2.97,1
TGX201809,CS4,B,2018-09-21T19:56:47,-143.9028,59.4408,2010,65,9.96,12,0.27,1.47,1.43,0,0,0.89,2.05,1.28,0.13,9.31,0.14,4.06,12.77,1
TGX201809,CS3,B,2018-09-21T22:15:25,-143.8938,59.6053,209,67,9.88,10,0.47,0.14,0.23,0,0,0.01,2.33,1.9,0.09,0,0.05,0.85,4.32,1
TGX201809,CS1,B,2018-09-22T03:41:16,-143.8912,59.9417,59,73,9.95,5,0.27,0.85,1.17,1.76,2.23,0,3.62,2.31,1.14,0.63,0.02,6.28,7.69,1
TGX201809,CS2,B,2018-09-22T15:29:30,-143.8895,59.7725,119,75,10.16,9,0.28,0.39,0,0,0,0,2.41,1.45,0.56,0,0.13,0.66,4.42,1
TGX201809,PWS2,B,2018-09-23T19:19:54,-147.8032,60.5353,737,79,10.25,12,1.12,1.03,0,0,0.7,0.59,1.59,2.2,1.62,0.34,0.48,3.44,5.75,1
