Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Oligotrich_Ciliates_<20_[cells/liter],Oligotrich_Ciliate_20-39_[cells/liter],Oligotrich_Ciliate_40-59_[cells/liter],Oligotrich_Ciliate_>60_[cells/liter],Laboea_[cells/liter],Tintinnids_[cells/liter],Dinoflagellate_<20_[cells/liter],Dinoflagellate_20-39_[cells/liter],Dinoflagellate_40-59_[cells/liter],Dinoflagellate_>60_[cells/liter],Silicoflagellate_[cells/liter],Total_Ciliates _[cells/liter],Total_Dinoflagellates_[cells/liter],Quality_flag
WSD201807,CS1,B,2018-07-05T17:39:15,-143.8927,59.9382,63,1,2.44,7,16316,1895,0,0,0,632,18316,2632,105,0,0,18842,21053,1
WSD201807,CS2,B,2018-07-05T23:50:46,-143.8927,59.7735,121,5,9.69,10,6105,2526,0,0,0,211,40842,2737,211,0,0,8842,43789,1
WSD201807,CS3,B,2018-07-06T02:01:29,-143.8928,59.6073,198,7,10.88,10,5895,6526,1263,211,0,0,45474,10105,421,0,0,13895,56000,1
WSD201807,CS4,B,2018-07-06T05:34:25,-143.8953,59.4377,2010,9,9.84,14,2947,3789,281,0,0,0,23018,6456,140,0,0,7018,29614,1
WSD201807,CS5,B,2018-07-06T08:17:02,-143.8977,59.2712,2810,10,9.93,14,4351,4211,421,0,0,0,25825,4632,561,0,0,8982,31018,1
WSD201807,MID1,B,2018-07-06T17:50:37,-145.4998,60.2495,20,11,10.05,2,10632,1579,0,0,211,2316,1579,737,0,0,3684,14737,2316,1
WSD201807,MID2,B,2018-07-06T21:20:50,-145.6512,60.0998,120,14,9.94,12,8000,1684,0,0,42,1011,716,253,211,0,42,10737,1179,1
WSD201807,MID3,B,2018-07-06T23:33:32,-145.7993,59.9512,87,16,9.7,8,8140,2667,0,0,0,772,1895,211,0,70,0,11579,2175,1
WSD201807,MID4,B,2018-07-07T01:53:22,-145.9482,59.7992,92,18,9.97,7,7789,5684,0,0,0,737,6105,1368,632,0,0,14211,8105,1
WSD201807,MID6,B,2018-07-07T06:28:16,-146.2478,59.4987,41,22,9.78,4,18632,4105,105,0,211,211,5053,1474,0,0,211,23263,6526,1
WSD201807,MID5,B,2018-07-07T18:57:54,-146.1015,59.6475,95,24,10.44,10,3579,1053,0,0,0,842,13053,2632,105,0,211,5474,15789,1
WSD201807,MID7,B,2018-07-07T21:48:12,-146.3018,59.3825,59,26,9.98,5,4947,1474,211,0,0,632,8421,2316,105,105,421,7263,10947,1
WSD201807,MID9,B,2018-07-08T03:17:51,-146.1005,59.0682,2900,29,9.6,14,2246,4632,561,0,0,632,10596,2035,0,0,0,8070,12632,1
WSD201807,PWS2,B,2018-07-09T20:12:17,-147.8035,60.5312,798,38,9.91,13,4386,1404,0,0,0,0,24912,1053,0,0,3860,5789,25965,1
WSD201807,GAK1,B,2018-07-10T17:10:28,-149.4645,59.8448,269,43,9.46,13,4716,1642,84,42,0,42,1095,1347,379,42,1432,6526,2863,1
WSD201807,GAK3,B,2018-07-11T01:57:40,-149.1883,59.5538,210,48,10.59,11,6021,1684,42,42,84,84,3032,337,84,0,0,7958,3453,1
WSD201807,GAK5,B,2018-07-11T20:11:15,-148.9113,59.2595,167,52,9.75,11,5333,2105,140,0,0,1123,18807,3930,0,0,0,8702,22737,1
WSD201807,GAK7,B,2018-07-12T01:11:19,-148.6327,58.9695,243,54,10.34,11,5263,1684,0,0,0,1684,27368,6105,421,0,0,8632,33895,1
WSD201807,GAK9,B,2018-07-12T18:41:02,-148.3528,58.6822,280,57,10.17,13,7579,2316,105,0,0,1263,18105,3263,105,0,0,11263,21474,1
WSD201807,GAK11,B,2018-07-13T01:16:00,-148.068,58.3863,1410,60,9.45,14,2316,3789,1263,105,0,0,9895,4737,421,211,0,7474,15263,1
WSD201807,GAK13,B,2018-07-13T07:05:35,-147.798,58.0985,2058,62,9.69,14,2526,2947,211,105,0,0,20842,8737,211,211,105,5789,30000,1
WSD201807,GAK15,B,2018-07-13T22:08:59,-147.4967,57.7843,4543,64,10.31,13,4379,2779,0,0,0,1853,24589,7158,253,84,0,9011,32084,1
WSD201807,KOD5,B,2018-07-14T18:33:07,-150.7615,57.7862,86,66,10.16,9,15474,3158,1684,421,421,526,12526,4105,1263,1474,211,21684,19368,1
WSD201807,KOD3,B,2018-07-14T22:34:28,-151.1768,58.0155,84,68,9.83,6,30316,5895,842,0,0,1684,34947,12211,0,0,842,38737,47158,1
WSD201807,KOD1,B,2018-07-15T02:25:16,-151.5888,58.2408,71,70,10.47,6,3719,772,0,0,0,70,6807,2456,281,702,70,4561,10246,1
WSD201807,KOD10,B,2018-07-16T18:57:11,-149.7237,57.2017,2503,76,9.9,14,1965,6737,351,0,0,0,4421,2246,211,70,0,9053,6947,1
