Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Oligotrich_Ciliates_<20_[ug_carbon/liter],Oligotrich_Ciliate_20-39_[ug_carbon/liter],Oligotrich_Ciliate_40-59_[ug_carbon/liter],Oligotrich_Ciliate_>60_[ug_carbon/liter],Laboea_[ug_carbon/liter],Tintinnids_[ug_carbon/liter],Dinoflagellate_<20_[ug_carbon/liter],Dinoflagellate_20-39_[ug_carbon/liter],Dinoflagellate_40-59_[ug_carbon/liter],Dinoflagellate_>60_[ug_carbon/liter],Silicoflagellate_[ug_carbon/liter],Total_Ciliates _[ug_carbon/liter],Total_Dinoflagellates_[ug_carbon/liter],Quality_flag
WSD201807,CS1,B,2018-07-05T17:39:15,-143.8927,59.9382,63,1,2.44,7,1.95,1.59,0,0,0,2.12,2.95,1.6,0.4,0,0,5.65,4.95,1
WSD201807,CS2,B,2018-07-05T23:50:46,-143.8927,59.7735,121,5,9.69,10,1.04,1.44,0,0,0,0.04,7.74,1.28,0.12,0,0,2.53,9.14,1
WSD201807,CS3,B,2018-07-06T02:01:29,-143.8928,59.6073,198,7,10.88,10,1.86,7.94,3.04,0.16,0,0,7.56,6.61,0.25,0,0,13.01,14.42,1
WSD201807,CS4,B,2018-07-06T05:34:25,-143.8953,59.4377,2010,9,9.84,14,0.42,3.84,1.24,0,0,0,3.93,4.33,0.2,0,0,5.5,8.46,1
WSD201807,CS5,B,2018-07-06T08:17:02,-143.8977,59.2712,2810,10,9.93,14,0.89,5.16,1.34,0,0,0,4.5,2.85,0.72,0,0,7.38,8.07,1
WSD201807,MID1,B,2018-07-06T17:50:37,-145.4998,60.2495,20,11,10.05,2,1.34,1.26,0,0,0.95,11.53,0.25,0.34,0,0,1.06,15.08,0.59,1
WSD201807,MID2,B,2018-07-06T21:20:50,-145.6512,60.0998,120,14,9.94,12,1.02,1.63,0,0,0.25,6.83,0.15,0.3,0.51,0,0.01,9.73,0.96,1
WSD201807,MID3,B,2018-07-06T23:33:32,-145.7993,59.9512,87,16,9.7,8,1.04,2.78,0,0,0,5.4,0.23,0.07,0,0.36,0,9.21,0.66,1
WSD201807,MID4,B,2018-07-07T01:53:22,-145.9482,59.7992,92,18,9.97,7,1.7,4.86,0,0,0,3.89,1.12,1.46,2.65,0,0,10.44,5.24,1
WSD201807,MID6,B,2018-07-07T06:28:16,-146.2478,59.4987,41,22,9.78,4,3.13,4.68,0.28,0,2.1,0.13,0.75,2.05,0,0,0.07,10.31,2.8,1
WSD201807,MID5,B,2018-07-07T18:57:54,-146.1015,59.6475,95,24,10.44,10,0.56,0.96,0,0,0,1.57,2.61,1.42,0.09,0,0.07,3.09,4.13,1
WSD201807,MID7,B,2018-07-07T21:48:12,-146.3018,59.3825,59,26,9.98,5,0.6,1.48,0.44,0,0,0.5,1.41,1.68,0.07,2.47,0.19,3.01,5.63,1
WSD201807,MID9,B,2018-07-08T03:17:51,-146.1005,59.0682,2900,29,9.6,14,0.72,5.67,1.53,0,0,1.39,1.71,1.32,0,0,0,9.3,3.03,1
WSD201807,PWS2,B,2018-07-09T20:12:17,-147.8035,60.5312,798,38,9.91,13,0.75,1.42,0,0,0,0,3.77,0.69,0,0,2,2.17,4.46,1
WSD201807,GAK1,B,2018-07-10T17:10:28,-149.4645,59.8448,269,43,9.46,13,0.83,1.36,0.18,0.24,0,0.01,0.21,2.65,1.27,0.2,0.46,2.61,4.33,1
WSD201807,GAK3,B,2018-07-11T01:57:40,-149.1883,59.5538,210,48,10.59,11,0.58,2.13,0.21,0.27,0.69,0.08,0.35,0.23,0.2,0,0,3.95,0.78,1
WSD201807,GAK5,B,2018-07-11T20:11:15,-148.9113,59.2595,167,52,9.75,11,0.5,1.57,0.09,0,0,0.88,3.68,1.96,0,0,0,3.04,5.63,1
WSD201807,GAK7,B,2018-07-12T01:11:19,-148.6327,58.9695,243,54,10.34,11,0.68,1.17,0,0,0,1.28,5.81,3.39,0.28,0,0,3.13,9.48,1
WSD201807,GAK9,B,2018-07-12T18:41:02,-148.3528,58.6822,280,57,10.17,13,1.33,1.66,0.08,0,0,0.9,3.65,1.46,0.06,0,0,3.98,5.16,1
WSD201807,GAK11,B,2018-07-13T01:16:00,-148.068,58.3863,1410,60,9.45,14,0.6,4.77,4.3,0.41,0,0,2.33,2.97,0.41,0.4,0,10.09,6.11,1
WSD201807,GAK13,B,2018-07-13T07:05:35,-147.798,58.0985,2058,62,9.69,14,0.46,2.06,0.64,1.19,0,0,3.78,7.18,0.43,2.1,0.02,4.36,13.5,1
WSD201807,GAK15,B,2018-07-13T22:08:59,-147.4967,57.7843,4543,64,10.31,13,0.76,2.32,0,0,0,5,4.75,4.14,0.14,0.05,0,8.08,9.08,1
WSD201807,KOD5,B,2018-07-14T18:33:07,-150.7615,57.7862,86,66,10.16,9,1.37,4.83,9.35,5.95,2.62,0.46,2.41,3.78,2.7,12.66,0.05,24.59,21.55,1
WSD201807,KOD3,B,2018-07-14T22:34:28,-151.1768,58.0155,84,68,9.83,6,4.68,6.89,3.48,0,0,2.75,5.57,8.27,0,0,0.17,17.8,13.84,1
WSD201807,KOD1,B,2018-07-15T02:25:16,-151.5888,58.2408,71,70,10.47,6,0.61,0.81,0,0,0,0.1,1.16,2.33,0.34,3.69,0.04,1.52,7.51,1
WSD201807,KOD10,B,2018-07-16T18:57:11,-149.7237,57.2017,2503,76,9.9,14,0.55,5.9,0.99,0,0,0,0.84,2.08,0.21,1.54,0,7.44,4.67,1
