Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Oligotrich_Ciliates_<20,Oligotrich_Ciliate_20-39,Oligotrich_Ciliate_40-59,Oligotrich_Ciliate_>60,Laboea,Tintinnids,Dinoflagellate_<20,Dinoflagellate_20-39,Dinoflagellate_40-59,Dinoflagellate_>60,Silicoflagellate,Total_Ciliates ,Total_Dinoflagellates,Quality_flag
SKQ201915S,PWS2,B,2019-06-30T19:04:49,-147.804,60.5348,738,3,10.25,21,7789,1474,105,0,0,105,8632,2105,421,0,211,9474,11158,1
SKQ201915S,MID2,B,2019-07-01T23:54:44,-145.6498,60.0993,119,8,10.02,12,6611,800,0,0,126,505,968,505,0,0,84,8042,1474,1
SKQ201915S,MID5,B,2019-07-02T20:59:21,-146.0987,59.6502,96,14,9.99,10,2105,1305,0,0,63,147,526,295,84,0,42,3621,905,1
SKQ201915S,MID10,B,2019-07-03T19:50:35,-146.001,58.911,4464,18,10.03,16,6274,2105,42,0,42,42,4884,1684,126,0,84,8505,6695,1
SKQ201915S,PL1,B,2019-07-04T17:23:10,-145.929,59.8275,102,22,10.27,10,3158,421,14,0,28,98,281,379,211,42,42,3719,912,1
SKQ201915S,PL2,B,2019-07-04T23:50:52,-145.5013,60.2497,20,23,3.39,8,815,1579,51,0,0,68,1392,662,51,17,0,2513,2122,1
SKQ201915S,PL2,B,2019-07-04T23:47:09,-145.5013,60.2497,20,23,10.52,5,4561,667,0,0,0,228,123,368,105,70,18,5456,667,1
SKQ201915S,PL4,B,2019-07-05T17:46:59,-146.0842,60.2813,54,26,10.59,10,6105,1474,0,26,79,289,579,605,263,53,842,7974,1500,1
SKQ201915S,PL5,B,2019-07-06T00:31:49,-146.288,59.9018,79,27,4.46,13,3411,1684,42,0,63,358,1347,842,316,105,21,5558,2611,1
SKQ201915S,PL5,B,2019-07-06T00:30:19,-146.288,59.9018,79,27,9.93,11,3411,1558,0,0,21,21,63,189,42,21,0,5011,316,1
SKQ201915S,PL8,B,2019-07-07T00:57:42,-144.9402,59.9363,205,31,10.18,15,1811,1147,11,0,42,63,53,158,453,53,74,3074,716,1
SKQ201915S,PL10,B,2019-07-07T18:49:34,-146.0717,59.6677,78,34,10.17,12,2442,533,14,0,70,14,772,309,182,98,0,3074,1361,1
SKQ201915S,GAK15,B,2019-07-09T23:59:53,-147.5025,57.7915,4400,36,10.31,23,3705,3874,84,0,0,1095,13642,3874,168,0,168,8758,17684,1
SKQ201915S,GAK13,B,2019-07-10T07:09:56,-147.7905,58.097,2068,40,10.02,18,2759,1924,0,0,0,218,3993,1198,73,0,0,4900,5263,1
SKQ201915S,GAK9,B,2019-07-10T19:10:24,-148.3468,58.6815,278,42,10.25,20,1595,457,11,0,53,53,287,74,21,0,32,2169,383,1
SKQ201915S,GAK11,B,2019-07-11T01:01:40,-148.0715,58.3885,1414,44,10.25,18,1263,716,0,0,168,211,3495,1263,168,42,84,2358,4968,1
SKQ201915S,GAK7,B,2019-07-12T02:58:13,-148.6275,58.9732,240,49,10.36,14,3411,2042,63,0,126,0,779,126,0,0,21,5642,905,1
SKQ201915S,GAK5,B,2019-07-12T18:56:24,-148.9085,59.2617,169,53,10.37,16,251,180,10,0,10,30,221,120,20,0,0,481,361,1
SKQ201915S,GAK3,B,2019-07-13T00:03:32,-149.1872,59.5525,212,55,10.32,21,1137,2168,0,0,0,63,695,421,42,0,21,3368,1158,1
SKQ201915S,GAK1,B,2019-07-13T17:07:31,-149.4658,59.8467,269,57,10.11,16,1632,158,0,0,0,53,1947,579,132,53,395,1842,2711,1
SKQ201915S,KOD5,B,2019-07-15T19:28:01,-150.7608,57.7868,86,60,10.23,10,25474,9474,421,0,0,0,12421,2526,421,211,10947,35368,15579,1
SKQ201915S,KOD3,B,2019-07-16T00:22:47,-151.1783,58.0145,83,62,10.21,11,21053,7789,211,0,632,0,8421,4842,211,421,6526,29684,13895,1
SKQ201915S,EATJ,B,2019-07-17T05:02:46,-150.1342,56.665,4975,69,9.98,20,6947,3158,211,0,211,1474,27368,6526,1053,0,0,12000,34947,1
SKQ201915S,KOD10,B,2019-07-17T19:59:04,-149.7192,57.2038,2501,72,10.53,20,2716,968,0,0,21,63,337,295,126,0,0,3768,758,1
