Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Oligotrich_Ciliates_<20,Oligotrich_Ciliate_20-39,Oligotrich_Ciliate_40-59,Oligotrich_Ciliate_>60,Laboea,Tintinnids,Dinoflagellate_<20,Dinoflagellate_20-39,Dinoflagellate_40-59,Dinoflagellate_>60,Silicoflagellate,Total_Ciliates ,Total_Dinoflagellates,Quality_flag
SKQ201915S,PWS2,B,2019-06-30T19:04:49,-147.804,60.5348,738,3,10.25,21,0.99,1.39,0.71,0,0,0.05,1.47,2.54,0.85,0,0.05,3.14,4.87,1
SKQ201915S,MID2,B,2019-07-01T23:54:44,-145.6498,60.0993,119,8,10.02,12,1.1,1.04,0,0,0.56,1.85,0.23,0.49,0,0,0.02,4.55,0.72,1
SKQ201915S,MID5,B,2019-07-02T20:59:21,-146.0987,59.6502,96,14,9.99,10,0.39,1.35,0,0,0.27,1,0.13,0.34,0.28,0,0.01,3.02,0.75,1
SKQ201915S,MID10,B,2019-07-03T19:50:35,-146.001,58.911,4464,18,10.03,16,0.73,1.61,0.29,0,0.18,0.12,0.92,1.22,0.3,0,0.03,2.93,2.44,1
SKQ201915S,PL1,B,2019-07-04T17:23:10,-145.929,59.8275,102,22,10.27,10,0.35,0.43,0.03,0,0.07,0.57,0.08,0.41,1.06,0.28,0.03,1.45,1.82,1
SKQ201915S,PL2,B,2019-07-04T23:50:52,-145.5013,60.2497,20,23,3.39,8,0.19,3.21,0.24,0,0,0.65,0.24,0.62,0.25,0.26,0,4.29,1.37,1
SKQ201915S,PL2,B,2019-07-04T23:47:09,-145.5013,60.2497,20,23,10.52,5,0.54,0.76,0,0,0,1.44,0.04,0.29,0.58,0.57,0.01,2.74,1.48,1
SKQ201915S,PL4,B,2019-07-05T17:46:59,-146.0842,60.2813,54,26,10.59,10,0.87,1.45,0,0.09,0.47,2.02,0.12,0.49,0.82,0.35,0.58,4.9,1.77,1
SKQ201915S,PL5,B,2019-07-06T00:31:49,-146.288,59.9018,79,27,4.46,13,0.63,2.73,0.15,0,0.36,0.06,0.47,2,1.72,0.59,0.01,3.92,4.78,1
SKQ201915S,PL5,B,2019-07-06T00:30:19,-146.288,59.9018,79,27,9.93,11,0.63,2.43,0,0,0.05,0.15,0.02,0.34,0.27,0.37,0,3.26,1.01,1
SKQ201915S,PL8,B,2019-07-07T00:57:42,-144.9402,59.9363,205,31,10.18,15,0.27,2.09,0.09,0,0.35,0.35,0.02,0.22,2.53,0.45,0.06,3.15,3.21,1
SKQ201915S,PL10,B,2019-07-07T18:49:34,-146.0717,59.6677,78,34,10.17,12,0.37,0.68,0.19,0,0.22,0.02,0.3,0.33,1.13,1.03,0,1.47,2.79,1
SKQ201915S,GAK15,B,2019-07-09T23:59:53,-147.5025,57.7915,4400,36,10.31,23,0.69,2.23,0.35,0,0,0.52,2.01,2.55,0.65,0,0.24,3.78,5.21,1
SKQ201915S,GAK13,B,2019-07-10T07:09:56,-147.7905,58.097,2068,40,10.02,18,0.56,1.43,0,0,0,0.06,0.68,0.81,0.16,0,0,2.05,1.65,1
SKQ201915S,GAK9,B,2019-07-10T19:10:24,-148.3468,58.6815,278,42,10.25,20,0.37,0.46,0.05,0,0.19,0.42,0.04,0.1,0.04,0,0.01,1.48,0.18,1
SKQ201915S,GAK11,B,2019-07-11T01:01:40,-148.0715,58.3885,1414,44,10.25,18,0.26,0.46,0,0,0.7,0.03,0.56,0.83,0.3,0.07,0.17,1.45,1.76,1
SKQ201915S,GAK7,B,2019-07-12T02:58:13,-148.6275,58.9732,240,49,10.36,14,0.46,1.83,0.18,0,0.74,0,0.14,0.08,0,0,0.01,3.21,0.21,1
SKQ201915S,GAK5,B,2019-07-12T18:56:24,-148.9085,59.2617,169,53,10.37,16,0.1,0.23,0.04,0,0.03,0.13,0.06,0.13,0.04,0,0,0.53,0.23,1
SKQ201915S,GAK3,B,2019-07-13T00:03:32,-149.1872,59.5525,212,55,10.32,21,0.25,2.29,0,0,0,0.59,0.14,0.57,0.2,0,0.01,3.12,0.92,1
SKQ201915S,GAK1,B,2019-07-13T17:07:31,-149.4658,59.8467,269,57,10.11,16,0.17,0.12,0,0,0,0.17,0.54,0.63,0.38,0.24,0.14,0.45,1.79,1
SKQ201915S,KOD5,B,2019-07-15T19:28:01,-150.7608,57.7868,86,60,10.23,10,3.59,10.7,0.99,0,0,0,1.75,2.79,1.21,2.36,3.8,15.28,8.1,1
SKQ201915S,KOD3,B,2019-07-16T00:22:47,-151.1783,58.0145,83,62,10.21,11,3.56,7.08,1.03,0,6.11,0,1.24,5.22,0.38,4.94,3,17.77,11.78,1
SKQ201915S,EATJ,B,2019-07-17T05:02:46,-150.1342,56.665,4975,69,9.98,20,1.42,2.34,0.45,0,1.05,0.48,4.62,4.6,2.65,0,0,5.73,11.88,1
SKQ201915S,KOD10,B,2019-07-17T19:59:04,-149.7192,57.2038,2501,72,10.53,20,0.58,1.08,0,0,0.11,0.75,0.08,0.32,0.31,0,0,2.52,0.71,1
