Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Depth _[m],Bottle_Number,Total_MZ_Abundance_[Cells/L],Ciliate_Abundance_[Cells/L],Dinoflagellate_Abundance_[Cells/L],Abundance_Ciliates_<20_um,Abundance_Ciliates_20-39_um,Abundance_Ciliates_40-59_um,Abundance_Ciliate_>60_um,C_Tontonia_like_Abundance,C_Laboea_Abundance,C_Strombidium_spp._Abundance,C_Mesodinium_Abundance,C_Strombidinopsis_Abundance,C_Strobilidium_Abundance,C_Tiarina_Abundance,C_Didinium_Abundance,C_Scuticociliates_Abundance,C_Tintinnids_Abundance,C_Other_Oligotrichs_Abundance,Abundance_Dinos_<20_um,Abundance_Dinos_20-39_um,Abundance_Dinos_40-59_um,Abundance_Dinos_>60_um,D_Gymnodinium/Gyrodinium_Abundance,D_Ceratium_fusus_Abundance,D_Ceratium_cf._tripos_Abundance,D_Ceratium_cf._lineatum_Abundance,D_Dinophysis_Abundance,D_Torodinium_Abundance,D_Prorocentrum_Abundance,D_Protoperidinium-like_Abundance,D_Thecate_no_spines_Abundance,D_Pyrocystis_Abundance,D_Amphidinium/Katodinium_Abundance,D_Polykrikos_Abundance,D_Misc._Dinoflagellates_Abundance,Data_Quality_Flag,,
SKQ202006s,GAK1,B,   2020-05-04T18:09:15Z,-149.467,59.845,271,2,10,21,10323,6248,4075,4177,1800,68,204,0,68,340,3531,0,0,0,0,781,0,1528,1562,2309,68,136,374,0,0,68,0,0,0,68,1528,0,102,0,1935,1,,
SKQ202006s,GAK1,B,   2020-05-10T22:01:53Z,-149.467,59.845,271,42,10,12,3968,484,3484,211,253,21,0,0,0,63,42,0,0,0,0,221,0,158,2516,874,53,42,126,0,0,32,0,0,0,11,2126,0,63,0,1126,1,,
SKQ202006s,GAK3,B,   2020-05-10T16:21:08Z,-149.188,59.553,214,38,10,10,2852,708,2144,297,364,38,10,0,10,57,124,0,10,0,0,249,0,258,890,947,172,134,220,0,0,29,0,0,10,0,230,0,67,0,1589,1,,
SKQ202006s,GAK5,B,   2020-05-09T16:01:37Z,-148.908,59.262,168,29,10,10,10491,4632,5860,2035,1789,596,211,175,0,772,246,0,0,0,0,632,70,2737,2456,3018,175,211,211,0,0,105,0,0,0,0,1123,0,246,0,4175,1,,
SKQ202006s,GAK7,B,   2020-05-09T21:58:11Z,-148.630,58.972,244,33,10,11,5853,3116,2737,1221,1453,274,168,42,63,232,758,42,42,0,0,189,0,1747,1558,1158,21,0,126,0,0,0,0,0,0,0,274,0,105,0,2232,1,,
SKQ202006s,GAK9,B,   2020-05-05T19:59:32Z,-148.350,58.680,280,5,10,13,8385,2722,5662,617,1924,145,36,0,0,36,1525,0,73,0,0,290,0,799,1561,2178,1670,254,1416,0,0,36,73,0,0,36,871,0,472,0,2759,1,,
SKQ202006s,GAK11,B,   2020-05-06T03:17:10Z,-148.072,58.388,1443,10,10,15,8132,4658,3474,2368,2158,105,26,0,0,53,211,0,53,0,0,632,0,3711,1053,1632,421,368,1211,0,0,0,0,0,0,0,395,0,53,0,1816,1,,
SKQ202006s,GAK13,B,   2020-05-06T22:28:39Z,-147.793,58.098,2059,16,10,23,5246,1596,3649,632,877,53,35,35,0,35,298,0,0,0,0,561,0,667,1333,1368,368,579,930,0,0,0,0,0,0,0,579,0,53,0,2088,1,,
SKQ202006s,GAK15,B,   2020-05-06T15:04:16Z,-147.500,57.792,4543,12,10,15,19461,6521,12940,3081,2157,873,411,359,103,976,462,0,257,0,0,205,0,4159,2208,8986,924,822,1284,0,0,103,0,0,0,103,976,0,2105,0,8370,1,,
SKQ202006s,PWS2,B,   2020-05-07T21:18:00Z,-147.803,60.535,736,21,10,13,4737,926,3811,379,421,105,21,0,0,63,295,0,0,0,0,42,0,526,2253,1495,42,21,21,0,0,0,0,0,0,0,863,0,42,0,2884,1,,
