Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Depth _[m],Bottle_Number,Total_MZ_Abundance_[Cells/L],Ciliate_Abundance_[Cells/L],Dinoflagellate_Abundance_[Cells/L],Abundance_Ciliates_<20_um,Abundance_Ciliates_20-39_um,Abundance_Ciliates_40-59_um,Abundance_Ciliate_>60_um,C_Tontonia_like_Abundance,C_Laboea_Abundance,C_Strombidium_spp._Abundance,C_Mesodinium_Abundance,C_Strombidinopsis_Abundance,C_Strobilidium_Abundance,C_Tiarina_Abundance,C_Didinium_Abundance,C_Scuticociliates_Abundance,C_Tintinnids_Abundance,C_Other_Oligotrichs_Abundance,Abundance_Dinos_<20_um,Abundance_Dinos_20-39_um,Abundance_Dinos_40-59_um,Abundance_Dinos_>60_um,D_Gymnodinium/Gyrodinium_Abundance,D_Ceratium_fusus_Abundance,D_Ceratium_cf._tripos_Abundance,D_Ceratium_cf._lineatum_Abundance,D_Dinophysis_Abundance,D_Torodinium_Abundance,D_Prorocentrum_Abundance,D_Protoperidinium-like_Abundance,D_Thecate_no_spines_Abundance,D_Pyrocystis_Abundance,D_Amphidinium/Katodinium_Abundance,D_Polykrikos_Abundance,D_Misc._Dinoflagellates_Abundance,Data_Quality_Flag
SKQ202012S,GAK1,B,2020-09-01T19:56:44Z,-149.467,59.845,269,2,10.2,18,33095,6400,26695,2189,3705,337,168,1179,0,1347,168,0,0,0,0,168,505,3032,9347,14400,2105,842,4295,253,84,168,84,253,337,1011,3705,84,4295,84,12042,1
SKQ202012S,GAK3,B,2020-09-02T05:38:56Z,-149.188,59.555,211,7,9.98,20,12084,5558,6526,3537,1516,505,0,126,0,589,505,0,295,0,0,0,337,3705,3032,3074,295,126,547,126,42,0,0,0,0,0,505,0,1684,0,3621,1
SKQ202012S,GAK5,B,2020-09-03T00:13:23Z,-148.904,59.263,167,10,10.17,19,45158,17895,27263,12632,4632,421,211,316,105,1263,1263,0,211,0,0,105,632,14000,11053,15158,1053,0,7053,0,0,211,0,105,0,0,2842,0,3789,0,13263,1
SKQ202012S,GAK7,B,2020-09-03T05:07:34Z,-148.627,58.971,241,12,10.18,14,12158,8947,3211,7579,1158,158,53,53,53,737,368,0,105,0,0,0,53,7579,1684,1474,53,0,368,0,0,0,0,0,0,0,368,0,316,0,2158,1
SKQ202012S,GAK9,B,2020-09-03T22:44:14Z,-148.351,58.680,275,15,10.07,20,36947,15684,21263,9368,5263,632,421,1368,0,1684,1263,0,421,0,0,105,737,10105,9579,9895,1579,211,2842,0,105,632,105,316,105,0,6105,0,1368,0,9684,1
SKQ202012S,GAK11,B,2020-09-04T05:36:19Z,-148.069,58.389,1414,17,10.1,18,36684,20211,16474,11684,6263,1000,1263,421,474,3316,737,0,0,211,0,0,53,15000,6105,8211,1526,632,2895,0,158,789,0,158,0,0,3211,0,1053,53,8158,1
SKQ202012S,GAK15,B,2020-09-04T21:38:59Z,-147.501,57.792,4497,19,10.25,21,20842,3088,17754,1754,1123,70,140,0,35,772,105,0,0,0,0,0,105,2070,11684,5930,140,0,2702,0,0,0,0,175,35,0,4947,0,912,0,8982,1
SKQ202012S,GAK13,B,2020-09-05T05:12:45Z,-147.793,58.098,2062,21,10.08,18,25158,7263,17895,4684,1684,316,579,0,526,1263,53,0,0,0,0,0,53,5368,8421,9211,211,53,2895,0,0,0,0,368,0,0,3263,0,2579,0,8789,1
SKQ202012S,MS2,B,2020-09-07T03:18:59Z,-147.894,59.945,190,27,10.36,13,15495,8379,7116,5389,2779,168,42,589,0,1432,800,0,0,84,0,0,168,5305,3368,2779,589,379,337,168,84,0,168,168,421,0,968,0,884,0,3916,1
SKQ202012S,PWS2,B,2020-09-07T23:01:10Z,-147.804,60.535,737,30,10.22,19,13179,5642,7537,3874,1600,126,42,632,0,1053,337,0,0,0,0,0,253,3368,4337,2442,295,463,505,463,0,42,0,0,42,0,1474,0,968,0,4042,1
