Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Depth _[m],Bottle_Number,Total_MZ_Biomass_[ug C/L],Ciliate_Biomass_[ug C/L],Dinoflagellate_Biomass_[ug C/L],Biomass_Ciliates_<20 um,Biomass_Ciliates_20-39_um,Biomass_Ciliates_40-59_um,Biomass_Ciliate_>60_um,C_Tontonia_like_biomass,C_Laboea_biomass,C_Strombidium_spp._biomass,C_Mesodinium_biomass,C_Strombidinopsis_biomass,C_Strobilidium_Biomass,C_Tiarina_biomass,C_Didinium_biomass,C_Scuticociliates_biomass,C_Tintinnids_biomass,C_Other_Oligotrichs_biomass,Biomass_Dinos_<20_um,Biomass_Dinos_20-39_um,Biomass_Dinos_40-59_um,Biomass_Dinos_>60_um,D_Gymnodinium/Gyrodinium_biomass,D_Ceratium_fusus_biomass,D_Ceratium_cf._tripos_biomass,D_Ceratium_cf._lineatum_biomass,D_Dinophysis_biomass,D_Torodinium_biomass,D_Prorocentrum_biomass,D_Protoperidinium-like_biomass,D_Thecate_no_spines_biomass,D_Pyrocystis_biomass,D_Amphidinium/Katodinium_biomass,D_Polykrikos_biomass,D_Misc._Dinoflagellates_biomass,Data_Quality_Flag
SKQ202012S,GAK1,B,2020-09-01T19:56:44Z,-149.467,59.845,269,2,10.2,18,33.81134506,6.034341632,27.77700343,0.522,3.336,1.624,0.553,0.949,0.000,1.760,0.324,0.000,0.000,0.000,0.000,0.260,1.217,1.525,2.233,12.370,6.446,6.729,2.385,1.875,0.823,0.967,0.357,0.433,0.401,5.118,7.547,0.100,1.154,0.995,5.622,1
SKQ202012S,GAK3,B,2020-09-02T05:38:56Z,-149.188,59.555,211,7,9.98,20,10.94435548,6.053090264,4.891265219,0.819,1.428,3.806,0.000,0.104,0.000,0.722,0.185,0.000,0.813,0.000,0.000,0.000,3.074,1.155,0.662,1.955,1.420,0.853,0.489,0.853,0.196,0.000,0.000,0.000,0.000,0.000,1.575,0.000,0.474,0.000,1.304,1
SKQ202012S,GAK5,B,2020-09-03T00:13:23Z,-148.904,59.263,167,10,10.17,19,27.21556846,13.093023,14.12254546,2.790,3.489,4.591,2.223,0.346,0.780,2.010,0.473,0.000,1.945,0.000,0.000,0.017,2.967,4.555,3.201,9.094,1.827,0.000,3.616,0.000,0.000,0.318,0.000,0.225,0.000,0.000,1.479,0.000,1.567,0.000,6.917,1
SKQ202012S,GAK7,B,2020-09-03T05:07:34Z,-148.627,58.971,241,12,10.18,14,4.748080688,3.54721897,1.200861718,2.166,0.823,0.251,0.307,0.054,0.307,0.558,0.205,0.000,0.135,0.000,0.000,0.000,0.050,2.238,0.429,0.747,0.025,0.000,0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.120,0.000,0.109,0.000,0.790,1
SKQ202012S,GAK9,B,2020-09-03T22:44:14Z,-148.351,58.680,275,15,10.07,20,32.75983163,16.81689546,15.94293617,2.487,4.316,5.514,4.500,0.897,0.000,2.571,0.487,0.000,3.966,0.000,0.000,0.088,4.818,3.989,3.200,8.667,3.690,0.387,2.192,0.000,0.485,1.187,0.181,0.420,0.116,0.000,5.684,0.000,0.386,0.000,5.292,1
SKQ202012S,GAK11,B,2020-09-04T05:36:19Z,-148.069,58.389,1414,17,10.1,18,32.59498744,17.57856842,15.01641902,2.946,5.570,2.054,7.008,0.409,4.335,3.861,1.550,0.000,0.000,1.102,0.000,0.000,0.027,6.296,1.853,6.242,2.849,4.072,2.340,0.000,2.223,1.246,0.000,0.260,0.000,0.000,3.535,0.000,0.340,0.061,5.011,1
SKQ202012S,GAK15,B,2020-09-04T21:38:59Z,-147.501,57.792,4497,19,10.25,21,9.32080376,2.758649053,6.562154707,0.382,0.750,0.392,1.234,0.000,0.412,1.194,0.247,0.000,0.000,0.000,0.000,0.000,0.078,0.828,3.240,3.169,0.153,0.000,1.171,0.000,0.000,0.000,0.000,0.130,0.054,0.000,2.136,0.000,0.229,0.000,2.843,1
SKQ202012S,GAK13,B,2020-09-05T05:12:45Z,-147.793,58.098,2062,21,10.08,18,33.8591224,25.8942463,7.964876104,1.155,0.863,1.841,22.035,0.000,21.785,2.216,0.022,0.000,0.000,0.000,0.000,0.000,0.009,1.863,2.221,5.206,0.417,0.121,1.863,0.000,0.000,0.000,0.000,0.280,0.000,0.000,1.628,0.000,0.640,0.000,3.554,1
SKQ202012S,MS2,B,2020-09-07T03:18:59Z,-147.894,59.945,190,27,10.36,13,10.04934299,4.1355078,5.913835194,1.185,1.788,1.016,0.147,0.351,0.000,0.538,0.666,0.000,0.000,0.298,0.000,0.000,0.846,1.436,0.811,1.953,0.841,2.308,0.124,0.888,0.938,0.000,0.522,0.172,0.521,0.000,1.008,0.000,0.278,0.000,1.462,1
SKQ202012S,PWS2,B,2020-09-07T23:01:10Z,-147.804,60.535,737,30,10.22,19,8.609295769,1.993835944,6.615459825,0.851,0.761,0.307,0.075,0.623,0.000,0.405,0.064,0.000,0.000,0.000,0.000,0.000,0.079,0.823,1.017,1.598,1.229,2.772,0.432,2.772,0.000,0.041,0.000,0.000,0.050,0.000,1.716,0.000,0.173,0.000,1.431,1
