Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth_[m],Cast_Number,Depth _[m],Bottle_Number,Total_MZ_Abundance_[Cells/L],Ciliate_Abundance_[Cells/L],Dinoflagellate_Abundance_[Cells/L],Abundance_Ciliates_<20_um,Abundance_Ciliates_20-39_um,Abundance_Ciliates_40-59_um,Abundance_Ciliate_>60_um,C_Tontonia_like_Abundance,C_Laboea_Abundance,C_Strombidium_spp._Abundance,C_Mesodinium_Abundance,C_Strombidinopsis_Abundance,C_Strobilidium_Abundance,C_Tiarina_Abundance,C_Didinium_Abundance,C_Scuticociliates_Abundance,C_Tintinnids_Abundance,C_Other_Oligotrichs_Abundance,Abundance_Dinos_<20_um,Abundance_Dinos_20-39_um,Abundance_Dinos_40-59_um,Abundance_Dinos_>60_um,D_Gymnodinium/Gyrodinium_Abundance,D_Tripos_fusus_biomass,D_Tripos_cf._meulleri_biomass,D_Tripos_cf._lineatum_biomass,D_Dinophysis_Abundance,D_Torodinium_Abundance,D_Prorocentrum_Abundance,D_Protoperidinium-like_Abundance,D_Thecate_no_spines_Abundance,D_Pyrocystis_Abundance,D_Amphidinium/Katodinium_Abundance,D_Polykrikos_Abundance,D_Misc._Dinoflagellates_Abundance,Data_Quality_Flag,,
SKQ202106S,GAK1,B,2021-04-23T07:58:53,-149.4662,59.8452,269,2,10.21,13,29789,18526,11263,11263,4947,1895,421,211,0,3158,5368,0,105,0,0,0,0,9684,4316,5684,632,632,3263,0,0,0,0,0,0,105,1895,0,1789,0,4211,1,,
SKQ202106S,KOD5,B,2021-04-24T19:13:52,-150.7603,57.7853,88,8,10.2,10,30147,4042,26105,3032,674,337,0,0,0,84,1432,0,84,0,0,0,0,2442,12295,11621,1516,674,4884,0,0,0,0,0,0,0,6737,0,2442,0,12042,1,,
SKQ202106S,KOD10,B,2021-04-25T22:22:36,-149.7232,57.2042,2518,14,10.26,17,24662,9323,15338,6617,1955,602,150,150,0,150,1955,0,0,0,0,0,301,6767,4361,6617,3008,1353,3008,0,0,0,0,301,0,0,2707,0,3308,0,6015,1,,
SKQ202106S,MID10,B,2021-04-26T21:38:23,-146.002,58.9103,4440,16,9.96,17,37474,18000,19474,11789,3895,2000,316,316,0,2000,2737,0,1579,0,0,0,0,11368,7789,10211,1368,105,3158,0,0,0,0,0,0,0,5789,0,1158,0,9368,1,,
SKQ202106S,MID5,B,2021-04-27T22:26:57,-146.1013,59.6527,95,21,10.63,7,8168,2821,5347,1768,842,211,0,295,0,211,295,0,42,42,0,84,0,1853,3916,1432,0,0,1263,0,0,0,0,84,0,0,421,0,253,0,3326,1,,
SKQ202106S,MID2,B,2021-04-28T21:21:15,-145.6477,60.101,118,31,10.07,10,72211,13053,59158,9053,3158,421,421,211,0,1053,2316,0,211,0,0,632,0,8632,23158,32421,2316,1263,6947,0,0,0,0,211,0,0,16421,0,18947,0,16632,1,,
SKQ202106S,PWS2,B,2021-04-29T20:54:18,-147.801,60.5357,728,36,9.98,18,40842,22211,18632,15158,5789,947,316,842,105,947,11368,0,0,0,0,1263,421,7263,5158,10105,2211,1158,3368,0,0,0,0,211,0,421,3263,0,2000,0,9368,1,,
SKQ202106S,GAK1,B,2021-05-01T16:06:55,-149.4667,59.8443,267,46,9.87,21,44842,19158,25684,12211,3789,2105,1053,1474,0,1684,5895,632,211,0,0,1053,632,7579,6105,16000,1895,1684,4632,0,0,0,211,0,0,0,3789,0,8211,0,8842,1,,
SKQ202106S,GAK3,B,2021-05-02T00:21:02,-149.1905,59.5538,213,51,10.21,13,23579,6632,16947,5053,1053,211,316,105,0,421,0,0,316,0,0,0,3158,2632,7895,7789,737,526,1895,0,0,0,105,0,0,0,1895,0,2421,0,10632,1,,
SKQ202106S,GAK5,B,2021-05-02T21:35:29,-148.9078,59.2578,166,57,10.43,17,20842,4982,15860,3509,702,421,351,70,0,491,1895,0,70,0,70,351,561,1474,3298,8351,2105,2105,3368,0,0,0,0,70,0,211,2526,70,4070,0,5544,1,,
SKQ202106S,GAK7,B,2021-05-03T05:23:49,-148.6323,58.9718,241,60,9.67,13,20211,4281,15930,2807,1123,281,70,140,0,281,1404,0,70,0,0,281,281,1825,7368,5123,2526,912,4000,0,0,70,0,70,0,70,2316,0,1614,0,7789,1,,
SKQ202106S,GAK9,B,2021-05-03T19:01:18,-148.3512,58.679,280,62,126.65,10,15649,5263,10386,3649,1123,421,70,70,0,421,632,0,211,0,0,421,0,3509,4140,4632,632,982,1895,0,0,70,70,0,0,0,1474,0,1333,0,5544,1,,
SKQ202106S,GAK11,B,2021-05-04T08:35:08,-148.0708,58.3903,1412,65,9.95,17,11368,5860,5509,2912,1860,912,175,211,0,1474,632,0,211,0,0,211,0,3123,1860,2912,596,140,1333,0,0,0,0,35,0,0,561,0,456,0,3123,1,,
SKQ202106S,GAK13,B,2021-05-05T04:10:15,-147.7938,58.0992,2063,67,9.97,19,15228,4842,10386,2807,1474,491,70,70,0,772,351,0,0,0,0,70,140,3439,5263,4351,561,211,1474,0,0,0,0,70,0,0,1754,0,1263,0,5825,1,,
SKQ202106S,GAK15,B,2021-05-06T00:17:11,-147.5002,57.7925,4504,70,10.28,22,14105,2695,11411,1516,589,379,211,211,126,547,674,0,84,0,0,253,0,800,6484,3958,758,211,2947,0,0,42,0,0,0,0,3747,0,1179,0,3495,1,,
