Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth_[m],Cast_Number,Depth _[m],Bottle_Number,Total_MZ_Biomass_[ug C/L],Ciliate_Biomass_[ug C/L],Dinoflagellate_Biomass_[ug C/L],Biomass_Ciliates_<20 um,Biomass_Ciliates_20-39_um,Biomass_Ciliates_40-59_um,Biomass_Ciliate_>60_um,C_Tontonia_like_biomass,C_Laboea_biomass,C_Strombidium_spp._biomass,C_Mesodinium_biomass,C_Strombidinopsis_biomass,C_Strobilidium_Biomass,C_Tiarina_biomass,C_Didinium_biomass,C_Scuticociliates_biomass,C_Tintinnids_biomass,C_Other_Oligotrichs_biomass,Biomass_Dinos_<20_um,Biomass_Dinos_20-39_um,Biomass_Dinos_40-59_um,Biomass_Dinos_>60_um,D_Gymnodinium/Gyrodinium_biomass,D_Tripos_fusus_biomass,D_Tripos_cf._meulleri_biomass,D_Tripos_cf._lineatum_biomass,D_Dinophysis_biomass,D_Torodinium_biomass,D_Prorocentrum_biomass,D_Protoperidinium-like_biomass,D_Thecate_no_spines_biomass,D_Pyrocystis_biomass,D_Amphidinium/Katodinium_biomass,D_Polykrikos_biomass,D_Misc._Dinoflagellates_biomass,Data_Quality_Flag,,
SKQ202106S,GAK1,B,2021-04-23T07:58:53,-149.4662,59.8452,269,2,10.21,13,32.771,17.916,14.855,3.029,5.361,6.179,3.347,0.182,0.000,6.037,4.211,0.000,1.061,0.000,0.000,0.000,0.000,6.425,1.333,3.927,2.417,7.178,5.124,0.000,0.000,0.000,0.000,0.000,0.000,3.734,1.751,0.000,0.801,0.000,3.445,1,,
SKQ202106S,KOD5,B,2021-04-24T19:13:52,-150.7603,57.7853,88,8,10.2,10,18.439,3.516,14.923,0.788,0.714,2.014,0.000,0.000,0.000,0.152,1.003,0.000,0.700,0.000,0.000,0.000,0.000,1.661,4.461,6.585,1.543,2.333,3.790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.003,0.000,1.207,0.000,6.923,1,,
SKQ202106S,KOD10,B,2021-04-25T22:22:36,-149.7232,57.2042,2518,14,10.26,17,65.626,39.911,25.715,1.838,2.452,10.595,25.026,0.153,0.000,0.066,1.195,0.000,0.000,0.000,0.000,0.000,4.905,33.591,1.438,4.549,11.247,8.482,3.014,0.000,0.000,0.000,0.000,0.407,0.000,0.000,3.000,0.000,2.467,0.000,16.827,1,,
SKQ202106S,MID10,B,2021-04-26T21:38:23,-146.002,58.9103,4440,16,9.96,17,37.878,24.784,13.094,2.819,4.929,12.843,4.194,0.101,0.000,6.539,1.079,0.000,12.325,0.000,0.000,0.000,0.000,4.740,2.522,6.287,4.168,0.117,1.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.287,0.000,0.654,0.000,6.449,1,,
SKQ202106S,MID5,B,2021-04-27T22:26:57,-146.1013,59.6527,95,21,10.63,7,3.611,1.721,1.889,0.270,1.068,0.383,0.000,0.440,0.000,0.422,0.086,0.000,0.229,0.032,0.000,0.072,0.000,0.441,0.919,0.970,0.000,0.000,0.504,0.000,0.000,0.000,0.000,0.055,0.000,0.000,0.229,0.000,0.136,0.000,0.966,1,,
SKQ202106S,MID2,B,2021-04-28T21:21:15,-145.6477,60.101,118,31,10.07,10,51.724,9.264,42.460,1.610,5.245,0.740,1.669,0.266,0.000,2.520,1.539,0.000,1.086,0.000,0.000,0.375,0.000,3.479,8.157,20.487,8.815,5.001,6.146,0.000,0.000,0.000,0.000,0.225,0.000,0.000,15.189,0.000,10.276,0.000,10.625,1,,
SKQ202106S,PWS2,B,2021-04-29T20:54:18,-147.801,60.5357,728,36,9.98,18,73.187,19.215,53.972,4.236,6.905,6.192,1.882,0.427,0.665,1.887,9.687,0.000,0.000,0.000,0.000,0.546,3.871,2.132,1.844,38.264,3.537,10.326,34.973,0.000,0.000,0.000,0.000,1.226,0.000,7.023,2.473,0.000,1.142,0.000,7.135,1,,
SKQ202106S,GAK1,B,2021-05-01T16:06:55,-149.4667,59.8443,267,46,9.87,21,89.278,60.304,28.974,2.535,3.258,10.241,44.270,1.508,0.000,3.224,3.754,42.433,1.660,0.000,0.000,0.316,5.771,1.639,2.202,10.919,1.946,13.906,15.035,0.000,0.000,0.000,0.702,0.000,0.000,0.000,3.221,0.000,4.489,0.000,5.527,1,,
SKQ202106S,GAK3,B,2021-05-02T00:21:02,-149.1905,59.5538,213,51,10.21,13,29.650,14.067,15.583,1.718,2.236,2.981,7.133,0.013,0.000,7.212,0.000,0.000,1.399,0.000,0.000,0.000,4.381,1.061,2.628,5.120,1.830,6.005,0.991,0.000,0.000,0.000,0.178,0.000,0.000,0.000,3.698,0.000,1.173,0.000,9.544,1,,
SKQ202106S,GAK5,B,2021-05-02T21:35:29,-148.9078,59.2578,166,57,10.43,17,67.181,27.315,39.867,1.019,0.554,2.275,23.467,0.005,0.000,6.910,1.299,0.000,0.428,0.000,17.046,0.131,1.010,0.485,1.168,5.347,8.314,25.038,5.632,0.000,0.000,0.000,0.000,0.068,0.000,5.245,8.146,0.020,2.096,0.000,18.660,1,,
SKQ202106S,GAK7,B,2021-05-03T05:23:49,-148.6323,58.9718,241,60,9.67,13,26.394,3.309,23.085,0.780,1.604,0.866,0.059,0.081,0.000,0.301,1.096,0.000,0.450,0.000,0.000,0.102,0.115,1.164,2.281,3.402,10.152,7.249,3.115,0.000,0.000,0.492,0.000,0.065,0.000,1.407,2.131,0.000,0.779,0.000,15.096,1,,
SKQ202106S,GAK9,B,2021-05-03T19:01:18,-148.3512,58.679,280,62,126.65,10,18.844,4.714,14.129,0.682,0.738,1.916,1.378,0.007,0.000,1.915,0.150,0.000,1.561,0.000,0.000,0.102,0.000,0.980,1.033,3.229,1.490,8.378,1.825,0.000,0.000,0.796,0.414,0.000,0.000,0.000,2.418,0.000,0.912,0.000,7.765,1,,
SKQ202106S,GAK11,B,2021-05-04T08:35:08,-148.0708,58.3903,1412,65,9.95,17,11.321,7.184,4.137,0.638,2.498,2.838,1.211,1.412,0.000,2.488,0.217,0.000,1.214,0.000,0.000,0.059,0.000,1.794,0.508,2.261,0.704,0.664,0.833,0.000,0.000,0.000,0.000,0.046,0.000,0.000,0.509,0.000,0.219,0.000,2.530,1,,
SKQ202106S,GAK13,B,2021-05-05T04:10:15,-147.7938,58.0992,2063,67,9.97,19,9.624,3.694,5.930,0.523,1.278,1.646,0.247,0.063,0.000,1.611,0.115,0.000,0.000,0.000,0.000,0.011,0.173,1.721,1.442,2.709,1.117,0.660,0.476,0.000,0.000,0.000,0.000,0.239,0.000,0.000,1.104,0.000,0.590,0.000,3.521,1,,
SKQ202106S,GAK15,B,2021-05-06T00:17:11,-147.5002,57.7925,4504,70,10.28,22,16.083,7.349,8.733,0.331,0.597,1.379,5.042,0.151,1.368,2.839,0.363,0.000,0.518,0.000,0.000,0.069,0.000,2.041,2.093,2.534,2.160,1.945,1.316,0.000,0.000,0.208,0.000,0.000,0.000,0.000,1.770,0.000,0.603,0.000,4.836,1,,
