Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth_[m],Cast_Number,Depth _[m],Bottle_Number,Total_MZ_Biomass_[ug C/L],Ciliate_Biomass_[ug C/L],Dinoflagellate_Biomass_[ug C/L],Biomass_Ciliates_<20 um,Biomass_Ciliates_20-39_um,Biomass_Ciliates_40-59_um,Biomass_Ciliate_>60_um,C_Tontonia_like_biomass,C_Laboea_biomass,C_Strombidium_spp._biomass,C_Mesodinium_biomass,C_Strombidinopsis_biomass,C_Strobilidium_Biomass,C_Tiarina_biomass,C_Didinium_biomass,C_Scuticociliates_biomass,C_Tintinnids_biomass,C_Other_Oligotrichs_biomass,Biomass_Dinos_<20_um,Biomass_Dinos_20-39_um,Biomass_Dinos_40-59_um,Biomass_Dinos_>60_um,D_Gymnodinium/Gyrodinium_biomass,D_Tripos_fusus_biomass,D_Tripos_cf._meulleri_biomass,D_Tripos_cf._lineatum_biomass,D_Dinophysis_biomass,D_Torodinium_biomass,D_Prorocentrum_biomass,D_Protoperidinium-like_biomass,D_Thecate_no_spines_biomass,D_Pyrocystis_biomass,D_Amphidinium/Katodinium_biomass,D_Polykrikos_biomass,D_Misc._Dinoflagellates_biomass,Data_Quality_Flag,,
SKQ202110S,GAK15,B,2021-07-01T02:36:36,-147.4962,57.7893,4607,5,10.18,21,17.77,6.18,11.59,0.869,2.386,2.251,0.670,0.543,1.050,1.924,0.546,0.000,0.000,0.000,0.000,0.000,0.130,1.984,2.505,4.625,2.187,2.277,0.586,0.000,2.257,1.270,0.000,0.000,0.000,0.000,3.077,0.000,0.269,0.000,4.134,1,,
SKQ202110S,GAK13,B,2021-07-02T00:03:10,-147.7997,58.1032,2051,7,10.34,18,68.47,11.60,56.87,0.887,4.464,4.838,1.408,0.387,0.657,1.456,1.510,0.000,1.177,0.000,0.000,1.161,3.436,1.813,33.676,17.283,3.049,2.865,3.384,0.000,0.000,2.061,0.000,0.251,0.000,0.000,39.498,0.000,0.714,0.000,10.966,1,,
SKQ202110S,GAK9,B,2021-07-02T16:35:29,-148.35,58.6812,276,9,9.53,17,16.58,4.27,12.31,2.785,1.315,0.174,0.000,0.174,0.000,0.244,0.227,0.000,0.000,0.000,0.000,0.063,0.063,3.503,8.084,3.963,0.263,0.000,1.094,0.000,0.000,0.000,0.000,0.263,0.000,0.000,5.177,0.000,0.325,0.000,5.451,1,,
SKQ202110S,GAK11,B,2021-07-03T02:56:17,-148.0667,58.3883,1417,12,10.66,17,43.40,16.22,27.18,4.015,9.976,1.836,0.393,0.752,0.000,5.924,0.400,0.000,0.000,0.000,0.000,0.000,0.388,8.755,12.595,11.449,3.134,0.000,3.287,0.000,0.000,0.000,0.000,0.105,0.000,0.000,13.710,0.000,0.316,0.000,9.761,1,,
SKQ202110S,GAK5,B,2021-07-03T19:47:13,-148.9043,59.2625,167,14,9.99,16,0.95,0.22,0.73,0.079,0.121,0.016,0.000,0.000,0.000,0.067,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.093,0.370,0.158,0.026,0.178,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.307,0.000,0.011,0.000,0.336,1,,
SKQ202110S,GAK7,B,2021-07-04T00:23:03,-148.6312,58.9722,240,16,10.46,14,12.75,4.51,8.24,1.335,2.321,0.852,0.000,0.068,0.000,0.631,0.047,0.000,0.083,0.000,0.000,0.000,0.082,3.597,5.832,2.214,0.196,0.000,0.907,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.216,0.000,0.096,0.000,3.022,1,,
SKQ202110S,GAK1,B,2021-07-04T18:34:31,-149.4698,59.8447,268,19,10.1,19,3.15,1.00,2.16,0.223,0.545,0.150,0.080,0.000,0.000,0.102,0.287,0.000,0.096,0.000,0.000,0.000,0.000,0.514,0.110,0.163,0.269,1.614,0.028,0.000,0.568,0.569,0.036,0.000,0.000,0.201,0.485,0.000,0.015,0.000,0.254,1,,
SKQ202110S,GAK3,B,2021-07-05T00:25:08,-149.1812,59.5523,211,23,10.3,11,3.05,0.61,2.44,0.062,0.472,0.073,0.000,0.010,0.000,0.013,0.224,0.000,0.115,0.000,0.000,0.000,0.001,0.243,0.171,0.213,0.111,1.948,0.129,0.000,0.111,0.332,0.000,0.000,0.000,1.616,0.011,0.000,0.008,0.000,0.236,1,,
SKQ202110S,KOD10,B,2021-07-05T20:53:07,-149.7257,57.2043,2493,27,10.04,20,35.98,15.56,20.41,10.550,4.964,0.050,0.000,0.149,0.000,0.265,3.933,0.000,0.109,0.000,0.000,0.148,0.298,10.661,8.938,11.049,0.427,0.000,4.147,0.000,0.000,0.000,0.000,0.091,0.000,0.000,4.876,0.000,0.989,0.000,10.312,1,,
SKQ202110S,KOD5,B,2021-07-06T21:36:37,-150.741,57.793,89,33,10.55,12,94.35,38.72,55.63,3.373,11.220,16.127,8.002,20.490,3.858,5.120,3.554,0.000,1.259,0.000,0.000,0.742,0.224,3.475,9.514,20.371,3.550,22.198,13.209,0.000,0.000,4.811,0.000,0.260,0.000,4.634,15.717,0.000,2.233,0.000,14.770,1,,
SKQ202110S,MID10,B,2021-07-08T17:36:36,-146.0013,58.9097,4444,38,10.08,19,17.81,5.36,12.45,0.569,2.544,2.247,0.000,1.271,0.106,1.115,0.322,0.000,0.582,0.000,0.000,0.004,0.840,1.120,2.773,4.642,3.002,2.034,1.416,0.000,3.020,0.932,0.000,0.364,0.012,0.000,3.156,0.000,0.137,0.000,3.413,1,,
SKQ202110S,MID2,B,2021-07-09T20:43:20,-145.6497,60.1017,118,48,10.16,13,6.80,3.88,2.93,0.146,3.574,0.158,0.000,0.000,0.158,0.064,2.356,0.000,0.000,0.000,0.000,0.000,0.000,1.299,0.187,0.274,1.591,0.875,0.054,0.000,1.435,0.724,0.036,0.000,0.000,0.000,0.361,0.000,0.035,0.000,0.282,1,,
SKQ202110S,MID5,B,2021-07-10T20:44:14,-146.0935,59.6598,92,58,10.25,10,16.72,12.16,4.56,1.530,5.112,4.991,0.531,0.000,0.927,0.200,3.073,0.000,0.588,0.000,0.000,0.000,4.947,2.428,0.221,0.816,2.265,1.256,0.096,0.000,1.388,0.836,0.469,0.000,0.000,0.000,0.803,0.000,0.126,0.000,0.839,1,,
SKQ202110S,PSW2,B,2021-07-11T17:08:45,-147.8033,60.534,730,60,10.2,21,8.17,2.40,5.77,0.717,1.149,0.535,0.000,0.293,0.000,0.418,0.428,0.000,0.000,0.000,0.000,0.000,0.151,1.112,1.478,2.269,0.357,1.664,0.517,0.528,0.000,1.136,0.078,0.046,0.000,0.000,1.437,0.000,0.296,0.000,1.731,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
