Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth_[m],Cast_Number,Depth _[m],Bottle_Number,Total_MZ_Abundance_[Cells/L],Ciliate_Abundance_[Cells/L],Dinoflagellate_Abundance_[Cells/L],Abundance_Ciliates_<20_um,Abundance_Ciliates_20-39_um,Abundance_Ciliates_40-59_um,Abundance_Ciliate_>60_um,C_Tontonia_like_Abundance,C_Laboea_Abundance,C_Strombidium_spp._Abundance,C_Mesodinium_Abundance,C_Strombidinopsis_Abundance,C_Strobilidium_Abundance,C_Tiarina_Abundance,C_Didinium_Abundance,C_Scuticociliates_Abundance,C_Tintinnids_Abundance,C_Other_Oligotrichs_Abundance,Abundance_Dinos_<20_um,Abundance_Dinos_20-39_um,Abundance_Dinos_40-59_um,Abundance_Dinos_>60_um,D_Gymnodinium/Gyrodinium_Abundance,D_Ceratium_fusus_Abundance,D_Ceratium_cf._tripos_Abundance,D_Ceratium_cf._lineatum_Abundance,D_Dinophysis_Abundance,D_Torodinium_Abundance,D_Prorocentrum_Abundance,D_Protoperidinium-like_Abundance,D_Thecate_no_spines_Abundance,D_Pyrocystis_Abundance,D_Amphidinium/Katodinium_Abundance,D_Polykrikos_Abundance,D_Misc._Dinoflagellates_Abundance,Data_Quality_Flag,,
TGX202109,MID10,B,2021-09-14T21:15:51,-145.9987,58.8932,4443,3,10.72,14,22232,7411,14821,4042,2947,421,0,421,0,926,84,0,84,0,0,168,1263,4463,7579,6821,421,0,1179,0,84,253,0,253,0,0,4968,0,842,0,7242,1,,
TGX202109,MID5,B,2021-09-15T23:22:25,-146.109,59.6498,97,12,10,10,18021,8505,9516,4716,3621,84,84,758,0,926,926,0,168,0,0,0,589,5137,4968,3874,589,84,337,0,253,84,253,84,0,0,421,0,2947,0,5137,1,,
TGX202109,MID2,B,2021-09-16T05:38:32,-145.6465,60.1025,118,18,10.34,9,21053,11621,9432,6147,4716,589,168,505,0,1179,2442,0,84,0,0,0,589,6821,5642,3284,505,0,1011,0,0,253,84,0,0,0,589,0,1516,0,5979,1,,
TGX202109,PWS2,B,2021-09-16T21:53:58,-147.8048,60.5343,727,24,9.88,9,10021,8000,2021,5600,1811,463,126,547,42,1179,547,0,0,0,0,0,0,5684,1011,1011,0,0,379,0,0,0,84,0,0,0,168,0,253,0,1137,1,,
TGX202109,GAK9,B,2021-09-18T20:03:33,-148.3447,58.6775,275,28,9.72,13,38568,11284,27284,6653,3958,589,84,505,0,1768,253,0,253,168,0,0,421,7916,14147,12211,842,84,4547,0,168,589,0,168,0,0,11200,0,505,0,10105,1,,
TGX202109,GAK11,B,2021-09-19T03:16:16,-148.0773,58.3903,1443,31,9.5,14,48674,9432,39242,5305,3537,505,84,84,0,1347,253,0,84,84,84,0,589,6905,19200,18863,1011,168,6232,0,0,758,0,758,0,0,12800,0,842,0,17853,1,,
TGX202109,GAK15,B,2021-09-19T18:24:04,-147.501,57.792,4829,34,10.12,14,57579,11368,46211,7684,3263,421,0,211,0,1368,632,0,211,0,0,0,526,8421,19474,26211,526,0,4947,0,0,526,0,0,0,0,19158,0,842,0,20737,1,,
TGX202109,GAK13,B,2021-09-19T23:12:08,-147.7852,58.0952,2059,36,10.03,14,63579,11368,52211,8211,2526,211,421,421,421,1053,632,0,0,0,0,0,211,8632,29053,21895,1263,0,9684,0,0,842,0,211,0,0,19789,0,0,0,21684,1,,
TGX202109,GAK5,B,2021-09-20T17:59:23,-148.9042,59.2213,169,38,10.74,13,40421,21474,18947,12421,8000,421,632,632,632,1895,5895,0,421,0,0,0,421,11579,8842,8421,1474,211,2526,0,211,632,0,211,0,0,6316,0,0,0,9053,1,,
TGX202109,GAK7,B,2021-09-22T21:05:17,-148.6403,58.9737,240,52,10.52,11,9368,4211,5158,3053,982,175,0,0,0,632,246,0,0,0,0,35,175,3123,3368,1474,316,0,632,0,70,35,35,211,0,0,807,0,105,0,3263,1,,
TGX202109,GAK1,B,2021-09-25T18:47:32,-149.486,59.8458,269,59,10.08,10,25347,12547,12800,9347,2863,253,84,842,84,1768,2863,0,168,0,0,0,253,6568,7242,4042,1347,168,505,0,84,1095,589,0,0,0,758,0,2695,0,7074,1,,
TGX202109,GAK3,B,2021-09-25T23:08:33,-149.1888,59.5558,216,63,9.96,11,17853,10526,7326,7663,2189,589,84,84,0,842,2021,0,253,0,0,0,674,6653,3621,3368,337,0,674,0,84,84,0,168,0,0,1095,0,1095,0,4126,1,,
