Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth_[m],Cast_Number,Depth _[m],Bottle_Number,Total_MZ_Biomass_[ug C/L],Ciliate_Biomass_[ug C/L],Dinoflagellate_Biomass_[ug C/L],Biomass_Ciliates_<20 um,Biomass_Ciliates_20-39_um,Biomass_Ciliates_40-59_um,Biomass_Ciliate_>60_um,C_Tontonia_like_biomass,C_Laboea_biomass,C_Strombidium_spp._biomass,C_Mesodinium_biomass,C_Strombidinopsis_biomass,C_Strobilidium_Biomass,C_Tiarina_biomass,C_Didinium_biomass,C_Scuticociliates_biomass,C_Tintinnids_biomass,C_Other_Oligotrichs_biomass,Biomass_Dinos_<20_um,Biomass_Dinos_20-39_um,Biomass_Dinos_40-59_um,Biomass_Dinos_>60_um,D_Gymnodinium/Gyrodinium_biomass,D_Ceratium_fusus_biomass,D_Ceratium_cf._tripos_biomass,D_Ceratium_cf._lineatum_biomass,D_Dinophysis_biomass,D_Torodinium_biomass,D_Prorocentrum_biomass,D_Protoperidinium-like_biomass,D_Thecate_no_spines_biomass,D_Pyrocystis_biomass,D_Amphidinium/Katodinium_biomass,D_Polykrikos_biomass,D_Misc._Dinoflagellates_biomass,Data_Quality_Flag,,
SKQ202210S,PWS2,B,2022-07-08T23:17:47,-147.8022,60.5348,728,5,10.28,17,12.246,2.725,9.521,0.386,1.546,0.792,0.000,0.737,0.000,0.377,0.180,0.000,0.362,0.000,0.000,0.000,0.000,1.070,3.976,1.770,2.137,1.638,0.475,0.000,3.083,0.000,0.249,0.031,0.000,0.442,3.895,0.000,0.379,0.000,0.966,1,,
SKQ202210S,MID10,B,2022-07-10T21:30:09,-146.0027,58.9102,4444,13,9.82,18,20.201,5.199,15.001,1.169,2.909,0.903,0.218,1.361,0.000,0.855,0.239,0.000,0.643,0.000,0.000,0.000,0.104,1.997,4.321,9.429,0.779,0.473,0.668,0.000,0.000,0.473,0.026,0.196,0.000,0.281,4.863,0.000,1.110,0.000,7.385,1,,
SKQ202210S,MID5,B,2022-07-11T22:05:54,-146.101,59.6503,96,18,10.13,11,4.343,3.752,0.591,0.215,1.078,2.191,0.269,0.596,0.277,0.238,0.368,0.000,0.000,0.000,0.000,0.004,1.404,0.864,0.124,0.193,0.185,0.089,0.068,0.000,0.165,0.000,0.044,0.000,0.000,0.000,0.027,0.000,0.045,0.000,0.243,1,,
SKQ202210S,MID2,B,2022-07-12T21:07:15,-145.6517,60.1012,119,27,10.47,12,1.46,1.083,0.377,0.056,0.564,0.402,0.061,0.000,0.000,0.076,0.028,0.000,0.079,0.000,0.000,0.000,0.750,0.150,0.086,0.085,0.049,0.158,0.012,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.043,0.000,0.016,0.000,0.247,1,,
SKQ202210S,GAK1,B,2022-07-17T01:14:33,-149.4678,59.8452,270,37,10.3,16,5.772,1.486,4.286,0.334,0.831,0.258,0.062,0.389,0.000,0.244,0.068,0.000,0.184,0.000,0.000,0.000,0.030,0.571,1.235,2.694,0.222,0.135,0.191,0.000,0.000,0.135,0.008,0.056,0.000,0.080,1.389,0.000,0.317,0.000,2.110,1,,
SKQ202210S,GAK3,B,2022-07-18T06:56:17,-149.1865,59.553,211,39,9.86,13,8.02,3.189,4.831,1.445,1.538,0.207,0.000,0.263,0.000,0.361,0.261,0.000,0.143,0.000,0.000,0.004,0.306,1.850,2.187,2.644,0.000,0.000,0.508,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.066,0.000,0.812,0.000,2.444,1,,
SKQ202210S,GAK5,B,2022-07-18T21:05:11,-148.9072,59.2597,166,42,9.8,14,3.088,1.489,1.599,0.513,0.976,0.000,0.000,0.101,0.000,0.274,0.147,0.000,0.140,0.000,0.000,0.000,0.079,0.748,0.523,1.076,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.252,0.000,0.473,0.000,0.819,1,,
SKQ202210S,GAK7,B,2022-07-19T02:54:38,-148.6273,58.9732,242,45,10.29,14,14.932,6.425,8.508,0.566,1.708,1.573,2.577,0.814,0.000,0.602,0.015,0.000,0.000,0.000,0.000,0.000,3.959,1.035,3.251,4.540,0.161,0.556,1.211,0.000,0.000,0.396,0.000,0.000,0.000,0.000,3.161,0.000,0.474,0.000,3.266,1,,
SKQ202210S,GAK9,B,2022-07-19T21:51:23,-148.3512,58.6815,275,48,9.94,16,12.790,4.075,8.715,0.721,1.502,0.322,1.530,0.588,0.000,0.846,0.011,0.000,0.000,0.000,0.000,0.000,1.579,1.051,2.673,4.056,1.023,0.964,0.844,0.000,0.293,0.964,0.000,0.062,0.000,0.000,2.165,0.000,0.233,0.000,4.155,1,,
SKQ202210S,GAK11,B,2022-07-20T03:45:53,-148.0777,58.3902,1412,50,10.01,18,29.049,6.685,22.364,0.820,3.493,2.324,0.048,0.395,0.000,0.552,0.221,0.000,1.372,0.000,0.000,0.059,2.860,1.226,8.154,10.869,1.494,1.847,1.817,0.000,0.000,0.986,0.074,0.087,0.000,0.000,7.828,0.000,0.615,0.000,10.955,1,,
