Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth_[m],Cast_Number,Depth _[m],Bottle_Number,Total_MZ_Abundance_[Cells/L],Ciliate_Abundance_[Cells/L],Dinoflagellate_Abundance_[Cells/L],Abundance_Ciliates_<20_um,Abundance_Ciliates_20-39_um,Abundance_Ciliates_40-59_um,Abundance_Ciliate_>60_um,C_Tontonia_like_Abundance,C_Laboea_Abundance,C_Strombidium_spp._Abundance,C_Mesodinium_Abundance,C_Strombidinopsis_Abundance,C_Strobilidium_Abundance,C_Tiarina_Abundance,C_Didinium_Abundance,C_Scuticociliates_Abundance,C_Tintinnids_Abundance,C_Other_Oligotrichs_Abundance,Abundance_Dinos_<20_um,Abundance_Dinos_20-39_um,Abundance_Dinos_40-59_um,Abundance_Dinos_>60_um,D_Gymnodinium/Gyrodinium_Abundance,D_Ceratium_fusus_Abundance,D_Ceratium_cf._tripos_Abundance,D_Ceratium_cf._lineatum_Abundance,D_Dinophysis_Abundance,D_Torodinium_Abundance,D_Prorocentrum_Abundance,D_Protoperidinium-like_Abundance,D_Thecate_no_spines_Abundance,D_Pyrocystis_Abundance,D_Amphidinium/Katodinium_Abundance,D_Polykrikos_Abundance,D_Misc._Dinoflagellates_Abundance,Data_Quality_Flag,,
SKQ202207S,PWS2,B,2022-04-23T01:04:43,-147.8007,60.5362,725,3,10.03,20,32105,16211,15895,8842,5158,1474,737,0,0,2947,3474,0,105,105,0,2105,105,7368,9368,5789,737,0,6105,0,0,0,0,0,0,0,3263,0,421,0,6105,1,,
SKQ202207S,MID5,B,2022-04-24T19:40:49,-146.1053,59.6442,97,17,10.37,13,8842,2386,6456,1649,526,70,140,0,0,351,105,0,0,0,0,211,35,1684,3439,2772,211,35,456,0,35,0,0,70,0,0,1158,0,807,0,3930,1,,
SKQ202207S,MID2,B,2022-04-25T04:30:26,-145.6523,60.0997,118,23,10.56,18,17865,3910,13955,1624,1143,842,301,0,0,1323,541,0,60,0,0,180,0,1805,9684,3970,301,0,1744,0,60,0,0,60,0,0,3549,0,722,0,7820,1,,
SKQ202207S,MID10,B,2022-04-26T17:31:34,-146.0008,58.9097,4444,30,9.88,19,13579,6737,6842,3895,1421,1263,158,579,0,1632,263,0,158,0,0,0,0,4105,3158,3158,526,0,895,0,0,0,0,158,0,0,3053,0,579,0,2158,1,,
SKQ202207S,KOD10,B,2022-04-27T22:16:08,-149.721,57.2047,2360,33,10.25,19,10232,4000,6232,1642,1095,1263,0,84,0,1642,253,0,0,0,0,0,0,2021,2442,3747,42,0,253,0,0,0,0,42,0,0,463,0,1684,0,3789,1,,
SKQ202207S,KOD5,B,2022-04-29T00:02:12,-150.7543,57.7863,89,39,10.03,16,27874,8337,19537,6316,1263,505,253,337,84,168,674,0,84,0,0,674,2611,3705,4884,10947,2358,1347,2105,84,0,0,0,168,0,84,4463,0,2779,0,9853,1,,
SKQ202207S,GAK1,B,2022-05-03T20:57:36,-149.4685,59.8452,268,47,10.52,19,21579,9684,11895,5368,2421,1368,526,105,0,1895,947,105,211,0,0,1158,211,5053,4000,7158,526,211,842,0,0,0,0,0,0,0,842,0,2316,0,7895,1,,
SKQ202207S,GAK3,B,2022-05-04T05:41:10,-149.1868,59.5502,212,49,10.75,20,25474,11789,13684,8632,2456,491,211,140,0,1053,281,0,140,0,70,1263,772,8070,2877,8982,1614,211,1614,0,0,0,0,140,70,140,3298,0,4211,0,4211,1,,
SKQ202207S,GAK5,B,2022-05-04T22:02:55,-148.9102,59.2612,167,52,9.7,17,17474,5684,11789,4263,1000,158,263,53,0,368,474,0,53,0,0,947,263,3526,5368,4842,1263,316,1316,0,0,53,0,0,0,0,6105,0,1368,0,2947,1,,
SKQ202207S,GAK7,B,2022-05-05T02:24:32,-148.6305,58.9723,240,54,10.61,20,14526,3509,11018,2246,702,421,140,0,0,491,140,0,70,0,0,421,281,2105,4070,5123,1544,281,2105,0,0,0,0,0,0,70,3649,0,2035,0,3158,1,,
SKQ202207S,GAK9,B,2022-05-05T21:36:07,-148.3532,58.6803,276,57,10.12,20,12895,3211,9684,2263,789,158,0,158,0,105,368,0,0,0,0,263,211,2105,5000,3684,684,316,1211,0,0,0,0,53,0,53,3842,0,1105,0,3421,1,,
SKQ202207S,GAK11,B,2022-05-06T03:40:04,-148.0768,58.3887,1408,59,10.04,16,5642,2358,3284,589,1326,421,21,0,0,779,611,0,0,0,0,168,0,800,1516,1579,126,63,842,0,21,0,0,0,0,21,1179,0,147,0,1074,1,,
SKQ202207S,GAK13,B,2022-05-06T20:48:38,-147.7955,58.1003,2062,62,10.06,19,11158,3242,7916,1937,1137,84,84,168,0,337,211,0,42,0,0,379,211,1895,4000,3242,589,84,1474,0,0,0,0,42,0,0,2989,0,968,0,2442,1,,
SKQ202207S,GAK15,B,2022-05-07T02:41:07,-147.5048,57.7908,4433,64,10.44,22,11842,4368,7474,2053,1684,579,53,0,53,1158,263,0,0,0,0,474,0,2421,3421,3316,526,211,1105,0,0,0,0,53,0,105,3053,0,421,0,2737,1,,
