Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Quality_Flag,Ciliate_misc_no_chl,Ciliate_misc_ret_chl,Coxliella_spp,Eutintinnus_spp,Laboea_strobila,Leegaardiella_ovalis,Leegaardiella_sol,Lohmaniella_oviformis,Mesodinium_spp_ret_chl,Scuticociliate_type,Strobilidium_spp,Strombidium_spp,Strombidium_capitatum,Strombidium_chlorophilum,Strombidium_conicum,Strombidium_emergens,Strombidium_epidemum,Strombidium_lynni,Strombidium_wulffi,Tiarina_fusus,Tintinnid_misc,Tontonia_spp,Total_Ciliate_Abundance[Cells/L],Ciliate_CR_Mixotroph_Abundance[Cells/L],Ciliate_Heterotroph_Abundance[cells/L],Alexandrium_spp,Amphidinium_spp,Ceratium_furca_type,Ceratium_fusus,Ceratium_tripos_type,Cladopyxis_spp,Dino_cyst,Dino_C_type,Dinophysis_spp,Gymnodinium_type_heterotroph,Gymnodinium_type_autotroph,Gyrodinium_spirale,Gyrodinium_type,Noctiluca_scintillans,Polykrikos_spp,Protoperidinium_type,Thecate_Dino_autotroph,Thecate_Dino_heterotroph,Torodinium_spp,Total_Dinoflagellate_Abundance[cells/L],Autotroph_Dinoflagellate_Abundance[cells/L],Heterotroph_Dinoflagellate_Abundance[cells/L],CR_Mixotroph_Dinoflagellate_Abundance[Cells/L],Silicoflagellate_type_Abundance[cells/L]
SKQ201810S,KOD 5,B,2018-04-19T20:17:15,-150.761,57.7847,87,4,8.59,15,1,0,0,0,0,0,7,7,22,363,0,7,0,0,7,15,0,7,0,15,0,0,0,452,407,44,0,7,7,0,0,0,0,0,0,1296,667,0,30,0,0,0,0,7,44,2059,719,1341,0,0
SKQ201810S,PWS A,B,2018-04-22T23:43:45,-147.3982,60.8217,478,18,10.02,16,1,59,89,0,0,0,178,81,133,67,0,37,30,0,7,15,0,0,30,0,0,52,30,807,274,533,0,156,7,0,0,0,0,0,0,289,126,0,74,0,0,133,0,356,7,1148,148,1000,0,0
SKQ201810S,PWS 2,B,2018-04-23T20:00:43,-147.8027,60.536,738,23,10.19,18,1,244,100,0,0,0,33,67,11,56,0,78,44,11,78,33,122,89,22,11,0,22,0,1022,678,344,22,78,0,0,0,0,0,0,0,111,344,11,111,0,0,78,111,89,11,967,489,478,0,0
SKQ201810S,MID 2,B,2018-04-26T16:03:15,-145.653,60.0995,118,36,9.62,14,1,59,0,0,0,0,163,22,178,378,0,15,0,0,15,7,0,0,37,81,0,0,7,963,526,437,0,22,0,0,7,7,0,0,0,1081,96,0,104,0,0,30,15,37,7,1407,133,1274,0,0
SKQ201810S,MID 5,B,2018-04-27T19:47:26,-146.0962,59.6533,95,46,10.08,11,1,30,0,0,0,22,22,0,44,1244,0,52,0,0,0,7,22,0,15,230,0,0,0,1689,1548,141,0,0,104,0,0,0,0,0,0,67,22,7,15,0,0,37,0,15,15,281,148,133,0,0
SKQ201810S,CS 2,B,2018-04-28T20:53:35,-143.892,59.7728,122,57,10.98,13,1,15,15,0,7,0,7,22,44,156,0,22,0,0,7,0,0,0,30,7,0,7,7,348,244,104,0,7,81,0,0,0,0,0,7,178,81,0,67,7,0,237,7,237,15,926,185,733,7,0
SKQ201810S,CS 4,B,2018-04-29T23:22:51,-143.8922,59.4382,2033,65,9.51,22,1,0,0,0,0,0,200,11,344,56,0,133,0,0,0,0,0,0,11,0,0,0,0,756,71,622,0,33,0,0,0,0,0,0,0,267,111,0,122,0,0,0,11,44,11,600,11,589,0,0
SKQ201810S,GAK 9,B,2018-05-02T16:05:34,-148.3467,58.6782,277,77,10.06,17,1,185,37,0,7,15,178,30,267,44,0,415,15,0,0,30,0,0,44,163,0,30,15,1474,341,1133,0,15,0,0,0,0,0,0,0,393,67,30,119,0,0,37,0,89,7,756,74,681,0,15
SKQ201810S,GAK 5,B,2018-05-03T19:23:37,-148.9082,59.2627,166,83,11.08,16,1,59,15,0,15,30,74,15,385,578,0,281,30,44,44,15,0,15,15,119,0,15,15,1763,904,859,0,15,119,0,30,0,0,0,0,770,2237,15,281,0,0,104,15,637,0,4222,2400,1822,0,0
SKQ201810S,GAK 1,B,2018-05-04T16:42:14,-149.4658,59.8465,268,87,8.82,16,1,0,0,0,0,0,15,0,30,333,0,7,0,0,7,0,0,0,7,15,0,0,0,415,370,44,0,15,52,0,0,0,0,0,0,44,526,0,15,0,0,7,0,0,0,659,578,81,0,7
