Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Quality_Flag,Ciliate_misc_no_chl,Ciliate_misc_ret_chl,Coxliella_spp,Eutintinnus_spp,Laboea_strobila,Leegaardiella_ovalis,Leegaardiella_sol,Lohmaniella_oviformis,Mesodinium_spp_ret_chl,Scuticociliate_type,Strobilidium_spp,Strombidium_spp,Strombidium_capitatum,Strombidium_chlorophilum,Strombidium_conicum,Strombidium_emergens,Strombidium_epidemum,Strombidium_lynni,Strombidium_wulffi,Tiarina_fusus,Tintinnid_misc,Tontonia_spp,Total_Ciliate_Biomass[ugC/L],Ciliate_CR_Mixotroph_Biomass[ugC/L],Ciliate_Heterotroph_Biomass[ugC/L],Alexandrium_spp,Amphidinium_spp,Ceratium_furca_type,Ceratium_fusus,Ceratium_tripos_type,Cladopyxis_spp,Dino_cyst,Dino_C_type,Dinophysis_spp,Gymnodinium_type_heterotroph,Gymnodinium_type_autotroph,Gyrodinium_spirale,Gyrodinium_type,Noctiluca_scintillans,Polykrikos_spp,Protoperidinium_type,Thecate_Dino_autotroph,Thecate_Dino_heterotroph,Torodinium_spp,Total_Dinoflagellate_Biomass[ugC/L],Autotroph_Dinoflagellate_Biomass[ugC/L],Heterotroph_Dinoflagellate_Biomass[ugC/L],CR_Mixotroph_Dinoflagellate_Biomass[ugC/L],Silicoflagellate_type_Biomass[ugC/L]
SKQ201810S,KOD 5,B,2018-04-19T20:17:15,-150.761,57.7847,87,4,8.59,15,1,0,0,0,0,0,0.02,0.1,0.01,0.77,0,0.89,0,0,0.01,0.02,0,0,0,0.02,0,0,0,1.84,0.83,1.02,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.28,0.44,0,0
SKQ201810S,GAK 1,B,2018-05-04T16:42:14,-149.4658,59.8465,268,87,8.82,16,1,0,0,0,0,0,0.03,0,0.13,1.08,0,0.09,0,0,0.01,0,0,0,0.06,0.03,0,0,0,1.43,1.27,0.16,0,0,0.64,0,0,0,0,0,0,0.1,0.08,0,0,0,0,0.02,0,0,0,0.85,0.72,0.12,0,0
SKQ201810S,GAK 5,B,2018-05-03T19:23:37,-148.9082,59.2627,166,83,11.08,16,1,0.03,0.01,0,0.01,0.16,0.31,0.12,0.26,1.46,0,2.86,0.11,0.14,0.05,0.02,0,0.01,0.13,0.24,0,0.68,0.03,6.61,2.92,3.7,0,0,1.52,0,0.17,0,0,0,0,1.54,0.5,0.1,0.46,0,0,1.26,0.01,1.47,0,7.04,2.2,4.84,0,0
SKQ201810S,GAK 9,B,2018-05-02T16:05:34,-148.3467,58.6782,277,77,10.06,17,1,0.74,0.12,0,0,0.02,0.33,0.27,0.14,0.11,0,3.42,0.02,0,0,0.03,0,0,0.5,0.38,0,0.21,0.01,6.3,1.16,5.14,0,0.01,0,0,0,0,0,0,0,0.37,0.02,0.09,0.34,0,0,0.44,0,0.51,0.03,1.8,0.05,1.75,0,0.05
SKQ201810S,PWS 2,B,2018-04-23T20:00:43,-147.8027,60.536,738,23,10.19,18,1,0.55,0.22,0,0,0,0.04,0.31,0.01,0.1,0,0.65,0.09,0.03,0.26,0.02,0.18,0.03,0.02,0.02,0,0.18,0,2.73,1.79,0.94,0.08,0.04,0,0,0,0,0,0,0,0.12,0.43,0,0.04,0,0,0.83,0.37,0.4,0.02,2.33,0.9,1.43,0,0
SKQ201810S,PWS A,B,2018-04-22T23:43:45,-147.3982,60.8217,478,18,10.02,16,1,0.25,0.62,0,0,0,0.21,0.4,0.59,0.18,0,0.28,0.24,0,0.01,0.03,0,0,0.07,0,0,0.13,0.06,3.07,1.25,1.82,0,0.07,0.08,0,0,0,0,0,0,0.58,0.17,0,0.39,0,0,0.95,0,1.94,0.03,4.2,0.3,3.91,0,0
SKQ201810S,MID 2,B,2018-04-26T16:03:15,-145.653,60.0995,118,36,9.62,14,1,0.11,0,0,0,0,0.65,0.08,0.09,0.98,0,0.26,0,0,0.03,0.24,0,0,0.23,0.19,0,0,0.07,2.92,1.74,1.18,0,0.01,0,0,0.04,0,0,0,0,0.68,0.02,0,0.42,0,0,0.26,0.25,0.31,0.01,1.99,0.32,1.67,0,0
SKQ201810S,MID 5,B,2018-04-27T19:47:26,-146.0962,59.6533,95,46,10.08,11,1,0.1,0,0,0,0.27,0.23,0,0.27,3.63,0,0.91,0,0,0,0.02,0.02,0,0.09,0.52,0,0,0,6.06,4.57,1.49,0,0,1.03,0,0,0,0,0,0,0.26,0,0.01,0.01,0,0,0.18,0,0.15,0.06,1.71,1.1,0.6,0,0
SKQ201810S,CS 2,B,2018-04-28T20:53:35,-143.892,59.7728,122,57,10.98,13,1,0.02,0.01,0,0,0,0.04,0.17,0.06,0.12,0,0.36,0,0,0.02,0,0,0,0.26,0.01,0,0.05,0.01,1.13,0.54,0.58,0,0,0.68,0,0,0,0,0,0.01,0.28,0.24,0,0.06,0.01,0,1.68,0.03,1.02,0.03,4.05,0.99,3.05,0.01,0
SKQ201810S,CS 4,B,2018-04-29T23:22:51,-143.8922,59.4382,2033,65,9.51,22,1,0,0,0,0,0,0.73,0.05,0.6,0.25,0,2.17,0,0,0,0,0,0,0.25,0,0,0,0,4.05,0.63,3.09,0,0.01,0,0,0,0,0,0,0,0.22,0.09,0,0.09,0,0,0,0.12,0.41,0.02,0.96,0.01,0.95,0,0
