Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Quality_Flag,Ciliate_misc_no_chl,Ciliate_misc_ret_chl,Didinium_spp,Eutintinnus_spp,Laboea_strobila,Leegaardiella_ovalis,Leegaardiella_sol,Lohmaniella_oviformis,Mesodinium_pulex,Mesodinium_spp_ret_chl,Paratontonia_spp,Pseudotontonia_spp,Scuticociliate_type,Salpingella_spp,Strobilidium_spp,Strombidium_spp,Strombidium_acutum,Strombidium_capitatum,Strombidium_chlorophilum,Strombidium_conicum,Strombidium_dalum,Strombidium_emergens,Strombidium_epidemum,Strombidium_lynni,Strombidium_wulffi,Tiarina_fusus,Tintinnid_misc,Tontonia_spp,Total_Ciliate_Abundance_[Cells/L],Ciliate_CR_Mixotroph_Abundance[cells/L],Ciliate_Heterotroph_Abundance[Cells/L],Alexandrium_spp,Amphidinium_spp,Amylax_spp,Ceratium_furca_type,Ceratium_fusus,Ceratium_tripos_type,Cladopyxis_spp,Dino_C_type,Dino_cyst,Dinophysis_spp,Erythropsidinium_spp,Gymnodinium_type_heterotroph,Gymnodinium_type_autotroph,Gyrodinium_spirale,Gyrodinium_type,Noctiluca_scintillans,Polykrikos_spp,Protoperidinium_type,Thecate_Dino_autotroph,Thecate_Dino_heterotroph,Torodinium_spp,Total_Dinoflagellate_Abundance[Cells/L],Autotroph_Dinoflagellate_Abundance[Cells/L],Heterotroph_Dinoflagellate_Abundance[Cells/L],CR_Mixotroph_dinoflagellate_Abundance[cells/L],Silicoflagellate_type_Abundance[Cells/L]
SKQ201915S,PWS2,B,2019-06-30T19:04:49,-147.804,60.5348,738,3,10.25,21,1,100,11,0,0,33,600,0,111,0,433,0,0,0,0,0,11,22,0,0,0,0,0,44,0,0,0,0,11,1378,556,822,0,22,0,78,0,267,0,11,0,189,11,956,200,0,400,0,0,133,189,456,0,2911,756,1956,200,0
SKQ201915S,MID2,B,2019-07-01T23:54:44,-145.6498,60.0993,119,8,10.02,12,1,33,11,0,11,56,200,0,0,0,233,0,11,0,0,0,0,0,0,0,0,0,0,911,0,0,0,733,11,2211,778,1433,0,0,0,0,0,56,0,0,0,0,0,111,22,0,67,0,0,0,0,178,0,433,78,356,0,0
SKQ201915S,MID5,B,2019-07-02T20:59:32,-146.0987,59.6502,96,14,10.11,11,1,222,6,0,0,39,11,0,6,0,944,0,6,0,0,0,0,0,0,0,0,0,0,17,0,0,0,89,0,1339,1011,328,0,0,0,11,0,89,0,0,0,33,0,100,6,0,33,0,0,0,0,22,0,294,106,156,33,0
SKQ201915S,MID10,B,2019-07-03T19:50:35,-146.001,58.911,4464,18,10.03,16,1,194,6,0,0,11,800,0,22,0,78,28,156,0,0,6,11,0,0,0,6,0,0,11,28,11,0,0,28,1394,250,1144,0,6,0,17,0,0,0,0,0,17,6,250,11,0,22,0,0,0,0,11,11,350,39,294,17,0
SKQ201915S,GAK15,B,2019-07-09T23:59:53,-147.5025,57.7915,4400,36,10.31,23,1,267,100,0,0,22,78,0,0,0,11,100,700,0,0,22,11,0,0,0,11,0,0,0,0,0,0,44,33,1400,944,456,0,44,0,122,0,44,0,0,11,22,111,711,178,0,100,0,11,0,100,244,56,1756,600,1133,22,0
SKQ201915S,GAK9,B,2019-07-10T19:10:36,-148.3468,58.6815,278,42,10.34,21,1,200,33,0,0,28,56,0,0,0,256,0,39,0,0,6,0,0,0,0,0,0,0,67,0,0,0,28,0,711,422,289,0,6,0,6,0,11,0,0,0,0,0,6,0,0,0,0,0,0,6,22,0,56,22,33,0,0
SKQ201915S,GAK11,B,2019-07-11T01:01:40,-148.0715,58.3885,1414,44,10.25,18,1,367,33,11,0,200,67,0,0,0,122,211,444,0,0,11,44,0,0,11,44,0,0,0,44,11,0,0,44,1667,1044,622,0,67,0,89,56,56,0,0,0,0,89,567,144,0,100,0,0,11,89,111,44,1422,567,856,0,0
SKQ201915S,GAK7,B,2019-07-12T02:58:13,-148.6275,58.9732,240,49,10.36,14,1,89,50,0,0,89,467,0,28,0,761,6,17,0,0,0,28,0,0,0,0,0,0,383,6,6,0,6,6,1939,1350,589,0,0,0,0,0,6,0,0,0,0,0,22,11,0,6,0,0,6,11,0,0,61,28,33,0,0
SKQ201915S,GAK5,B,2019-07-12T18:56:24,-148.9085,59.2617,169,53,10.37,16,1,0,0,0,0,6,0,0,0,0,183,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,22,0,228,200,28,0,0,0,0,0,33,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,44,33,11,0,0
SKQ201915S,GAK3,B,2019-07-13T00:03:32,-149.1872,59.5525,212,55,10.32,21,1,11,11,0,0,11,106,0,6,0,1339,0,44,0,0,0,11,0,0,0,0,0,0,111,0,0,0,22,0,1672,1522,150,0,6,0,0,11,61,0,0,0,28,0,50,6,0,28,0,0,11,0,100,0,300,78,194,28,0
SKQ201915S,GAK1,B,2019-07-13T19:34:32,-149.4658,59.8467,269,58,10.28,16,1,67,0,0,0,11,28,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,39,0,228,100,128,0,0,0,50,0,100,0,0,0,28,0,178,11,0,11,0,0,22,0,39,6,444,167,250,28,0
SKQ201915S,KOD5,B,2019-07-15T19:28:01,-150.7608,57.7868,86,60,10.23,10,1,78,61,0,0,39,78,0,6,0,600,333,144,0,0,11,0,6,0,22,0,0,0,150,117,0,0,6,44,1694,1517,178,0,0,0,78,0,100,0,0,0,17,0,150,17,0,56,0,0,22,0,128,6,572,200,356,17,0
SKQ201915S,KOD3,B,2019-07-16T00:24:22,-151.1783,58.0145,83,62,3.87,12,1,322,33,0,0,100,89,0,0,700,1667,522,78,11,0,11,11,11,0,0,11,0,0,22,67,22,11,11,56,3756,2600,1156,0,22,0,111,0,178,0,0,0,33,0,800,11,0,256,0,0,200,22,278,11,1922,322,1567,33,111
SKQ201915S,EATJ,B,2019-07-17T05:02:46,-150.1342,56.665,4975,69,9.98,20,1,389,22,0,22,11,344,0,22,22,56,22,322,11,0,22,0,0,0,33,0,0,0,11,22,33,0,56,0,1422,500,922,0,356,11,144,0,122,0,0,0,33,56,1411,378,0,167,0,0,33,111,367,111,3300,867,2400,33,0
SKQ201915S,KOD10,B,2019-07-17T19:59:04,-149.7192,57.2038,2501,72,10.53,20,1,1083,100,0,0,0,28,0,106,0,322,22,50,0,0,17,0,0,0,0,0,0,0,17,6,6,0,6,6,1767,533,1233,0,0,0,6,0,78,0,0,0,6,0,39,0,0,6,0,0,0,0,0,0,133,83,44,6,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
