Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Quality_Flag,Ciliate_misc_no_chl,Ciliate_misc_ret_chl,Didinium_spp,Eutintinnus_spp,Laboea_strobila,Leegaardiella_ovalis,Leegaardiella_sol,Lohmaniella_oviformis,Mesodinium pulex,Mesodinium_spp_ret_chl,Paratontonia_spp,Pseudotontonia_spp,Scuticociliate_type,Salpingella_spp,Strobilidium_spp,Strombidium_spp,Strombidium_acutum,Strombidium_capitatum,Strombidium_chlorophilum,Strombidium_conicum,Strombidium_dalum,Strombidium_emergens,Strombidium_epidemum,Strombidium_lynni,Strombidium_wulffi,Tiarina_fusus,Tintinnid_misc,Tontonia_spp,Total_Ciliate_Biomass_[ugC/L],Ciliate_CR_Mixotroph_Biomass[ugC/L],Ciliate_Heterotroph_Biomass[ugC/L],Alexandrium_spp,Amphidinium_spp,Amylax_spp,Ceratium_furca_type,Ceratium_fusus,Ceratium_tripos_type,Cladopyxis_spp,Dino_C_type,Dino_cyst,Dinophysis_spp,Erythropsidinium_spp,Gymnodinium_type_heterotroph,Gymnodinium_type_autotroph,Gyrodinium_spirale,Gyrodinium_type,Noctiluca_scintillans,Polykrikos_spp,Protoperidinium_type,Thecate_Dino_autotroph,Thecate_Dino_heterotroph,Torodinium_spp,Total_Dinoflagellate_biomass[ugC/L],Autotroph_Dinoflagellate_Biomass[ugC/L],Heterotroph_Dinoflagellate_Biomass[ugC/L],CR_Mixotroph_Dinoflagellate_Biomass[ugC/L],Silicoflagellate_type_Biomass[ugC/L]
SKQ201915S,PWS2,B,2019-06-30T19:04:49,-147.804,60.5348,738,3,10.25,21,1,0.32,0.02,0,0,0.17,0.43,0,0.24,0,1.08,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0.02,0,0,0,0,0.06,2.37,1.37,1,0,0,0,0.61,0,1.35,0,0.02,0,0.35,0.02,0.79,0.2,0,0.36,0,0,0.46,0.6,1.26,0,6.02,2.78,2.87,0.37,0
SKQ201915S,MID2,B,2019-07-01T23:54:44,-145.6498,60.0993,119,8,10.02,12,1,0.02,0.03,0,0.01,0.26,0.12,0,0,0,0.76,0,0.01,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,6.24,0.02,7.72,1.2,6.52,0,0,0,0,0,0.3,0,0,0,0,0,0.13,0.01,0,0.1,0,0,0,0,0.53,0,1.06,0.31,0.75,0,0
SKQ201915S,MID5,B,2019-07-02T20:59:32,-146.0987,59.6502,96,14,10.11,11,1,0.18,0.04,0,0,0.35,0.01,0,0.01,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,3.98,3.1,0.88,0,0,0,0.08,0,0.52,0,0,0,0.08,0,0.09,0,0,0.07,0,0,0,0,0.03,0,0.88,0.6,0.19,0.08,0
SKQ201915S,MID10,B,2019-07-03T19:50:35,-146.001,58.911,4464,18,10.03,16,1,0.39,0.02,0,0,0.06,0.55,0,0.06,0,0.33,0.16,0.13,0,0,0.06,0.01,0,0,0,0.01,0,0,0.01,0.16,0.01,0,0,0.02,1.97,0.69,1.28,0,0,0,0.08,0,0,0,0,0,0.04,0.01,0.25,0.01,0,0.02,0,0,0,0,0.05,0.02,0.48,0.11,0.33,0.04,0
SKQ201915S,GAK15,B,2019-07-09T23:59:53,-147.5025,57.7915,4400,36,10.31,23,1,1,0.57,0,0,0.13,0.04,0,0,0,0.07,0.12,0.64,0,0,0.27,0.01,0,0,0,0.02,0,0,0,0,0,0,0.09,0.17,3.13,1.68,1.45,0,0.01,0,0.16,0,0.29,0,0,0.01,0.02,0.23,0.59,0.15,0,0.08,0,0.02,0,0.17,0.32,0.14,2.19,1.08,1.09,0.02,0
SKQ201915S,GAK9,B,2019-07-10T19:10:36,-148.3468,58.6815,278,42,10.34,21,1,0.17,0.1,0,0,0.21,0.03,0,0,0,0.64,0,0.03,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0.13,0,1.36,1,0.35,0,0,0,0.01,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.11,0,0.17,0.05,0.11,0,0
SKQ201915S,GAK11,B,2019-07-11T01:01:40,-148.0715,58.3885,1414,44,10.25,18,1,0.95,0.12,0.09,0,1.37,0.03,0,0,0,0.45,0.25,0.41,0,0,0.19,0.18,0,0,0.01,0.06,0,0,0,0.19,0.01,0,0,0.06,4.38,2.91,1.47,0,0.01,0,0.14,0.04,0.3,0,0,0,0,0.2,0.45,0.13,0,0.05,0,0,0.02,0.15,0.24,0.05,1.78,1.01,0.77,0,0
SKQ201915S,GAK7,B,2019-07-12T02:58:13,-148.6275,58.9732,240,49,10.36,14,1,0.23,0.1,0,0,0.72,0.32,0,0.08,0,2.22,0.01,0.02,0,0,0,0.02,0,0,0,0,0,0,0.13,0.03,0.01,0,0.04,0.07,3.99,3.32,0.67,0,0,0,0,0,0.03,0,0,0,0,0,0.02,0.01,0,0,0,0,0.02,0.01,0,0,0.08,0.05,0.04,0,0
SKQ201915S,GAK5,B,2019-07-12T18:56:24,-148.9085,59.2617,169,53,10.37,16,1,0,0,0,0,0.05,0,0,0,0,0.37,0,0,0,0,0.06,0,0,0,0,0,0,0,0.01,0,0,0,0.12,0,0.61,0.43,0.19,0,0,0,0,0,0.19,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.19,0.19,0.01,0,0
SKQ201915S,GAK3,B,2019-07-13T00:03:32,-149.1872,59.5525,212,55,10.32,21,1,0.05,0.03,0,0,0.09,0.08,0,0.01,0,4.02,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0.14,0,4.53,4.25,0.27,0,0,0,0,0,0.39,0,0,0,0.06,0,0.04,0.02,0,0.03,0,0,0.1,0,0.43,0,1.06,0.41,0.6,0.06,0
