Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Quality_Flag,Ciliate_misc_no_chl,Ciliate_misc_ret_chl,Coxliella_spp,Eutintinnus_spp,Laboea_strobila,Leegaardiella_ovalis,Leegaardiella_sol,Lohmaniella_oviformis,Mesodinium_spp_ret_chl,Scuticociliate_type,Strobilidium_spp,Strombidium_spp,Strombidium_capitatum,Strombidium_chlorophilum,Strombidium_conicum,Strombidium_emergens,Strombidium_epidemum,Strombidium_lynni,Strombidium_wulffi,Tiarina_fusus,Tintinnid_misc,Tontonia_spp,Total_Ciliate_Biomass[ugC/L],Ciliate_CR_Mixotroph_Biomass[ugC/L],Ciliate_Heterotroph_Biomass[ugC/L],Alexandrium_spp,Amphidinium_spp,Ceratium_furca_type,Ceratium_fusus,Ceratium_tripos_type,Cladopyxis_spp,Dino_cyst,Dino_C_type,Dinophysis_spp,Gymnodinium_type_heterotroph,Gymnodinium_type_autotroph,Gyrodinium_spirale,Gyrodinium_type,Noctiluca_scintillans,Polykrikos_spp,Protoperidinium_type,Thecate_Dino_autotroph,Thecate_Dino_heterotroph,Torodinium_spp,Total_Dinoflagellate_Biomass[ugC/L],Autotroph_Dinoflagellate_Biomass[ugC/L],Heterotroph_Dinoflagellate_Biomass[ugC/L],CR_Mixotroph_Dinoflagellate_Biomass[ugC/L],Silicoflagellate_type_Biomass[ugC/L]
WSD201807,KOD 5,B,2018-07-14T18:33:07,-150.7615,57.7862,86,66,10.16,9,1,2.65,0.77,0,0,0.82,0.02,0,0.05,2.98,0.02,5.24,0.04,0,0.55,0.04,0,0.01,0.56,2.2,0.11,0.83,0.05,16.93,8.12,8.81,0,0.03,0.06,0,0,0,0.01,0.02,0.1,1.52,0.9,2.06,1.28,0,0.06,0.74,0.01,0.57,0.02,7.38,1.01,6.25,0.12,0
WSD201807,KOD 10,B,2018-07-16T18:57:11,-149.7237,57.2017,2503,76,9.9,14,1,0.95,0.26,0,0,0,0.07,0,0.25,1.57,0,0.38,0.19,0,0,0,0,0.01,0,0.38,0,0.05,0.99,5.09,3.31,1.77,0,0,0,0.01,0.06,0,0,0,0.04,0.21,0.25,0,0.06,0,0,0.58,0.04,0.07,0.07,1.38,0.4,0.94,0.04,0
WSD201807,GAK 1,B,2018-07-10T17:10:28,-149.4645,59.8448,269,43,9.46,13,1,0.06,0.04,0,0,0.8,0.13,0.08,0,1.57,0,0,0.02,0,0,0,0,0.04,0.07,0,0,0.01,0.01,2.82,2.54,0.28,0,0,1.1,0,0.47,0,0,0.02,1.15,0.05,0.02,0,0,0,0,0.21,0.6,0.85,0,4.46,2.19,1.1,1.17,0
WSD201807,GAK 5,B,2018-07-11T20:11:15,-148.9113,59.2595,167,52,9.75,11,1,0.19,0.14,0,0,0.03,0.5,0,0.04,0.03,0,0.09,0.03,0,0,0,0,0,0,0.03,0,0.41,0.02,1.51,0.22,1.29,0,0,0.13,0,0,0,0,0,0,0.46,0.04,0,0.04,0,0,0,0.06,0.18,0.02,0.92,0.23,0.69,0,0
WSD201807,GAK 9,B,2018-07-12T18:41:02,-148.3528,58.6822,280,57,10.17,13,1,1.88,0.28,0,0.02,0,1.28,0,0.15,0.14,0,0.3,0.03,0.03,0,0,0,0.07,0,0.09,0,0.46,0.05,4.79,0.57,4.22,0,0,0,0,0,0,0,0,0,0.84,0.09,0,0.1,0,0,0,0.01,0.01,0.05,1.11,0.14,0.97,0,0
WSD201807,GAK 15,B,2018-07-13T22:08:59,-147.4967,57.7843,4543,64,10.31,13,1,0.6,0.44,0.01,0.05,0,0.03,0,0.43,0.12,0,0.17,0.06,0,0,0,0,0.01,0.06,0.08,0,1.14,0.26,3.45,0.84,2.62,0,0.03,0.12,0,0,0,0,0,0.07,1.1,0.18,0.01,0.26,0,0,0.1,0.1,0.59,0.14,2.71,0.55,2.09,0.07,0
WSD201807,PWS 2,B,2018-07-09T20:12:17,-147.8035,60.5312,798,38,9.91,13,1,0.35,0.22,0,0,0,0.01,0,0.29,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.9,0.27,0.68,0,0,0.2,0,0.19,0,0.07,0,0,0.26,0.15,0,0.06,0,0,0,4.65,0.33,0,5.91,5.26,0.65,0,0.07
WSD201807,MID 2,B,2018-07-06T21:20:50,-145.6512,60.0998,120,14,9.94,12,1,0,0.04,0,0,0.18,0.13,0,0,1.49,0,0,0,0,0,0,0,0.25,0,0,0,8.9,0,10.99,2.1,8.89,0,0,0.08,0,0.04,0,0,0,0.08,0.01,0.01,0,0,0,0,0,0,0.15,0,0.38,0.14,0.16,0.08,0
WSD201807,MID 5,B,2018-07-07T18:57:54,-146.1015,59.6475,95,24,10.44,10,1,0,0.09,0,0.03,0,0.65,0.02,0.04,1.88,0,0,0.01,0,0,0,0,0,0.12,0.02,0,1.41,0.09,4.36,2.18,2.18,0,0,0.24,0,0,0,0,0,0.16,0.73,0.07,0,0.07,0,0,0,0,0.27,0,1.53,0.32,1.05,0.16,0
WSD201807,CS 2,B,2018-07-05T23:50:46,-143.8927,59.7735,121,5,9.69,10,1,0.14,0.27,0,0,0,0.67,0,0.05,0.24,0,0,0,0,0,0.02,0,0.03,0,0,0,0.02,0,1.43,0.51,0.92,0,0.01,0,0,0,0,0,0,0.02,1.12,0.01,0.01,0.19,0,0,0,0,0,0.01,1.37,0.3,1.05,0.02,0
