Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Attenuation_coefficient_[1/m],Euphotic_zone_depth_[m],Incident_PAR_dose_[mol photons/m^2],Integrated_Chl_a_[mg/m^2],Integrated_production_[mg/m^2/d],,,,
SKQ201810S,KOD5,B,2018-04-19T18:29:47,-150.7607,57.786,87,3,0.25,18.3,38.7,5.1,136.6,,,,
SKQ201810S,PWSA,B,2018-04-22T22:24:55,-147.3985,60.8213,470,17,0.30,15.5,25.7,92.4,1314.2,,,,
SKQ201810S,PWS2,B,2018-04-23T18:29:43,-147.8027,60.536,728,22,0.21,22.0,19.3,68.6,1004.1,,,,
SKQ201810S,MID2,B,2018-04-26T17:30:35,-145.6523,60.1002,118,37,0.11,41.5,67.8,21.3,702.8,,,,
SKQ201810S,MID5,B,2018-04-27T18:43:20,-146.097,59.6518,95,45,0.11,41.0,50.6,21.1,223.4,,,,
SKQ201810S,CS2,B,2018-04-28T19:58:11,-143.892,59.7728,122,56,0.17,27.5,18.8,53.6,488.8,,,,
SKQ201810S,CS4,B,2018-04-29T19:37:58,-143.8917,59.4407,2037,64,0.16,28.1,31.5,42.6,366.7,,,,
SKQ201810S,GAK15,B,2018-04-30T18:31:40,-147.4983,57.7918,4541,67,0.12,38.6,25.9,14.2,370.4,,,,
SKQ201810S,GAK9,B,2018-05-02T17:27:45,-148.3475,58.6772,277,78,0.11,43.8,55.5,26.6,549.5,,,,
SKQ201810S,GAK5,B,2018-05-03T17:59:14,-148.9087,59.2618,167,82,0.12,37.2,28.3,27.6,314.1,,,,
SKQ201810S,GAK1,B,2018-05-04T18:12:29,-149.4685,59.8482,268,88,0.16,29.1,29.5,11.4,163.0,,,,
