Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Attenuation_coefficient_[1/m],Euphotic_zone_depth_[m],Incident_PAR_dose_[mol photons/m^2],Integrated_Chl_a_[mg/m^2],Integrated_production_[mg/m^2/d],Quality_Flag
SKQ202106S,KOD5,B,2021-04-24T17:22:52,-150.7607,57.7852,87,7,0.11,41.51,25.93,22.6,733.4,1
SKQ202106S,KOD10,B,2021-04-25T19:36:44,-149.7218,57.2052,2507,13,0.27,16.91,35.72,93.5,2297.2,1
SKQ202106S,MID10,B,2021-04-26T18:33:19,-146.001,58.9103,4440,15,0.2,23.06,32.92,53.4,2527.5,1
SKQ202106S,MID5,B,2021-04-27T21:00:48,-146.1017,59.6527,95,20,0.37,12.3,22.33,167.2,5715,8
SKQ202106S,MID2,B,2021-04-28T20:04:33,-145.6458,60.0973,117,30,0.6,7.69,12.86,143.7,3695.2,8
SKQ202106S,PWS2,B,2021-04-29T18:38:32,-147.801,60.5357,727,35,0.3,15.37,23.43,49.6,561.9,1
SKQ202106S,GAK1,B,2021-05-01T18:20:48,-149.4668,59.8447,266,47,0.33,13.84,20.23,84.4,2269.8,1
SKQ202106S,GAK5,B,2021-05-02T18:24:34,-148.9083,59.261,166,55,0.33,13.84,19.84,162.2,3122.5,1
SKQ202106S,GAK9,B,2021-05-03T17:24:54,-148.3517,58.681,280,61,0.21,21.52,14.95,114.5,4038.5,1
SKQ202106S,GAK15,B,2021-05-05T17:36:41,-147.5023,57.7927,4462,69,0.15,30.74,29.07,20.4,688.3,1
