Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,surface_irradiance,Enriched_or_unenriched_[E/U],Chl_a_[ug/L],Phaeopigments_[ug/L],POC_[ugC/L],13C_[At_%]_DIC,13C_[At_%]_POC,Production_(ugC/L/d),Quality_flag
SKQ202110S,GAK15,B,2021-06-30T22:46:30,-147.4995,57.7915,4490,4,3.02,16,1,E,0.8,0.19,315.75,9.49,3.59,97.01,1
SKQ202110S,GAK15,B,2021-06-30T22:44:23,-147.4995,57.7915,4490,4,5.21,15,0.5,E,0.84,0.26,293.47,9.49,3.34,81.32,1
SKQ202110S,GAK15,B,2021-06-30T22:42:15,-147.4995,57.7915,4490,4,10.25,12,0.3,E,0.82,0.25,249.08,9.49,2.95,56.87,1
SKQ202110S,GAK15,B,2021-06-30T22:40:28,-147.4995,57.7915,4490,4,18.34,11,0.1,E,0.64,0.16,196.13,9.49,2.25,27.98,1
SKQ202110S,GAK15,B,2021-06-30T22:37:09,-147.4995,57.7915,4490,4,24.44,8,0.05,E,0.51,0.24,100.78,9.46,1.62,6.69,1
SKQ202110S,GAK15,B,2021-06-30T22:33:35,-147.4995,57.7915,4490,4,36.54,6,0.01,E,0.27,0.16,48.62,9.42,1.26,1.05,1
SKQ202110S,GAK15,B,2021-06-30T22:44:23,-147.4995,57.7915,4490,4,5.21,15,0.5,U,0.89,0.24,233.45,0,1.08,1.08,1
SKQ202110S,GAK9,B,2021-07-02T20:48:04,-148.3362,58.675,278,10,2.29,17,1,E,1.02,0.49,322.08,9.56,4.4,129.59,1
SKQ202110S,GAK9,B,2021-07-02T20:45:53,-148.3362,58.675,278,10,6.41,14,0.5,E,1.08,0.41,306.75,9.56,4.13,113.59,1
SKQ202110S,GAK9,B,2021-07-02T20:44:13,-148.3362,58.675,278,10,10.6,13,0.3,E,1.08,0.58,272.43,9.56,3.72,87.34,1
SKQ202110S,GAK9,B,2021-07-02T20:42:00,-148.3362,58.675,278,10,19.39,10,0.1,E,1.38,0.74,217.84,9.55,2.99,50.57,1
SKQ202110S,GAK9,B,2021-07-02T20:38:41,-148.3362,58.675,278,10,24.44,6,0.05,E,1.03,0.8,156.2,9.55,2.14,20.12,1
SKQ202110S,GAK9,B,2021-07-02T20:35:05,-148.3362,58.675,278,10,37.84,4,0.01,E,0.18,0.19,54.4,9.5,1.2,0.79,1
SKQ202110S,GAK9,B,2021-07-02T20:45:53,-148.3362,58.675,278,10,6.41,14,0.5,U,1.07,0.44,205.26,0,1.08,0.61,1
SKQ202110S,GAK5,B,2021-07-03T17:40:33,-148.9083,59.2627,168,13,2.03,18,1,E,0.79,0.55,387.66,9.66,2.84,81.45,1
SKQ202110S,GAK5,B,2021-07-03T17:38:11,-148.9083,59.2627,168,13,2.66,14,0.5,E,0.74,0.67,436.78,9.66,2.8,89.88,1
SKQ202110S,GAK5,B,2021-07-03T17:36:23,-148.9083,59.2627,168,13,5.98,13,0.3,E,1.11,0.65,424.76,9.65,3.24,109.67,1
SKQ202110S,GAK5,B,2021-07-03T17:32:55,-148.9083,59.2627,168,13,12.1,10,0.1,E,2.04,1.08,389.93,9.58,2.29,57.02,1
SKQ202110S,GAK5,B,2021-07-03T17:31:23,-148.9083,59.2627,168,13,14.75,9,0.05,E,2.29,0.86,120.98,9.57,2.1,14.91,1
SKQ202110S,GAK5,B,2021-07-03T17:27:47,-148.9083,59.2627,168,13,23.22,6,0.01,E,2.01,0.82,96.48,9.57,1.5,4.91,1
SKQ202110S,GAK5,B,2021-07-03T17:38:11,-148.9083,59.2627,168,13,2.66,14,0.5,U,1.94,0.67,394.29,0,1.08,6.03,1
SKQ202110S,GAK1,B,2021-07-04T16:42:30,-149.4665,59.8453,268,18,1.47,15,1,E,0.81,0.36,279.55,10.71,2.22,32.81,1
SKQ202110S,GAK1,B,2021-07-04T16:42:30,-149.4665,59.8453,268,18,1.47,15,0.5,E,0.81,0.36,301.58,10.71,2.41,41.17,1
