Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Attenuation_coefficient_[1/m],Euphotic_zone_depth_[m],Incident_PAR_dose_[mol photons/m^2],Integrated_Chl_a_[mg/m^2],Integrated_production_[mg/m^2/d],,,,
TGX201809,GAK1,B,2018-09-12T18:18:24,-149.4853,59.8467,268,2,0.14,32.3,24.67,11.2,286.6,,,,
TGX201809,GAK5,B,2018-09-13T16:26:49,-148.9278,59.2423,168,11,0.16,29.2,24.11,19.5,576.8,,,,
TGX201809,GAK9,B,2018-09-14T17:26:52,-148.3415,58.6798,280,20,0.16,29.2,15.39,8.4,414.9,,,,
TGX201809,GAK15,B,2018-09-15T16:42:23,-147.5008,57.79,4555,27,0.12,36.9,8.13,10.1,286.1,,,,
TGX201809,KOD10,B,2018-09-16T16:43:24,-149.7697,57.2153,2500,30,0.08,60.0,13.45,12.7,495.3,,,,
TGX201809,KOD5,B,2018-09-17T18:48:01,-150.7575,57.7862,86,36,0.14,32.3,13.48,20.5,942.6,,,,
TGX201809,MID2,B,2018-09-19T17:33:17,-145.6478,60.0987,118,44,0.14,32.3,16.07,18.9,530.3,,,,
TGX201809,MID5,B,2018-09-20T16:40:49,-146.1,59.651,93,56,0.12,36.9,12.18,12.3,229.7,,,,
TGX201809,CS4,B,2018-09-21T18:34:04,-143.8955,59.4392,2010,64,0.13,35.4,10.17,9.3,94.7,,,,
TGX201809,CS2,B,2018-09-22T17:12:40,-143.8922,59.7723,119,76,0.12,36.9,7.60,9.3,225.3,,,,
TGX201809,PWS2,B,2018-09-23T18:01:09,-147.8045,60.5355,737,78,0.16,29.2,15.22,18.5,361.3,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
