Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,surface_irradiance,Enriched_or_unenriched_[E/U],Chl_a_[ug/L],Phaeopigments_[ug/L],POC_[ugC/L],13C_[At_%]_DIC,13C_[At_%]_POC,Production_(ugC/L/d),Quality_flag
TGX201904,MID2,B,2019-04-28T18:07:27,-145.6472,60.1017,119,5,2.7,15,1,E,0.63,0.23,118.73,9.61,3.19,30.44,1
TGX201904,MID2,B,2019-04-28T18:06:17,-145.6472,60.1017,119,5,5.64,13,0.5,E,0.62,0.2,123.13,9.61,2.68,23.96,1
TGX201904,MID2,B,2019-04-28T18:05:31,-145.6472,60.1017,119,5,9.87,10,0.3,E,0.78,0.15,221.53,9.6,2.04,25.85,1
TGX201904,MID2,B,2019-04-28T18:04:32,-145.6472,60.1017,119,5,20.18,9,0.1,E,0.85,0.22,132.17,9.59,2.08,15.98,1
TGX201904,MID2,B,2019-04-28T18:03:17,-145.6472,60.1017,119,5,25.55,7,0.05,E,0.68,0.23,126.28,9.58,1.44,5.48,1
TGX201904,MID2,B,2019-04-28T18:00:01,-145.6472,60.1017,119,5,40.08,3,0.01,E,0.52,0.28,73.7,9.56,1.22,1.22,1
TGX201904,MID2,B,2019-04-28T18:06:17,-145.6472,60.1017,119,5,5.64,13,0.5,U,0.62,0.2,95.98,0,1.09,4.02,1
TGX201904,PWS2,B,2019-04-30T18:37:54,-147.803,60.5362,738,23,2.51,12,0.5,E,4.46,1.72,786.11,9.81,2.79,160.88,1
TGX201904,PWS2,B,2019-04-30T18:38:01,-147.803,60.5362,738,23,2.52,14,1,E,5.31,0.69,576.16,9.81,2.37,88.43,1
TGX201904,PWS2,B,2019-04-30T18:38:05,-147.803,60.5362,738,23,2.52,15,1,E,5.23,1,510.62,9.81,2.23,69.74,1
TGX201904,PWS2,B,2019-04-30T18:36:29,-147.803,60.5362,738,23,3,11,0.3,E,5.57,1.56,1164.01,9.81,3.02,269.32,1
TGX201904,PWS2,B,2019-04-30T18:35:49,-147.803,60.5362,738,23,7.21,10,0.1,E,6.74,1.63,881.36,9.81,2.68,168.70,1
TGX201904,PWS2,B,2019-04-30T18:34:41,-147.803,60.5362,738,23,9.05,9,0.05,E,6.26,2.26,1099.16,9.8,2.14,139.12,1
TGX201904,PWS2,B,2019-04-30T18:33:47,-147.803,60.5362,738,23,12.97,6,0.01,E,3.23,1.24,225.32,9.72,1.50,11.16,1
TGX201904,PWS2,B,2019-04-30T18:37:54,-147.803,60.5362,738,23,2.51,12,0.5,U,4.46,1.72,510.71,0,1.09,14.11,1
TGX201904,GAK1,B,2019-05-01T18:12:34,-149.4817,59.844,270,32,2.36,14,1,E,4.57,0.31,689.68,10.04,4.45,267.68,1
TGX201904,GAK1,B,2019-05-01T18:11:49,-149.4817,59.844,270,32,3.2,13,0.5,E,4.51,0.36,668.8,9.93,4.39,258.66,1
TGX201904,GAK1,B,2019-05-01T18:09:20,-149.4817,59.844,270,32,4.98,12,0.3,E,4.86,1.58,671.7,9.94,4.30,251.75,1
TGX201904,GAK1,B,2019-05-01T18:08:08,-149.4817,59.844,270,32,10.05,11,0.1,E,3.43,0.73,421.09,9.85,3.22,106.22,1
TGX201904,GAK1,B,2019-05-01T18:07:17,-149.4817,59.844,270,32,12.52,8,0.05,E,2.97,0.81,273.43,9.84,1.65,18.42,1
TGX201904,GAK1,B,2019-05-01T18:06:24,-149.4817,59.844,270,32,20.25,7,0.01,E,1.35,0.8,115.55,9.79,1.25,2.29,1
TGX201904,GAK1,B,2019-05-01T18:11:49,-149.4817,59.844,270,32,3.2,13,0.5,U,4.51,0.36,369.21,0,1.08,0.86,1
TGX201904,GAK5,B,2019-05-02T18:03:54,-148.9305,59.2437,168,41,2.38,15,1,E,0.89,0.37,156.99,9.48,2.89,34.53,1
TGX201904,GAK5,B,2019-05-02T18:02:06,-148.9305,59.2437,168,41,6.41,12,0.5,E,0.98,0.37,153.5,9.48,2.53,26.88,1
TGX201904,GAK5,B,2019-05-02T18:01:19,-148.9305,59.2437,168,41,9.44,9,0.3,E,0.89,0.32,128.5,9.48,2.24,17.94,1
TGX201904,GAK5,B,2019-05-02T18:00:49,-148.9305,59.2437,168,41,19.15,8,0.1,E,0.82,0.29,111.59,9.48,1.84,10.16,1
TGX201904,GAK5,B,2019-05-02T17:59:52,-148.9305,59.2437,168,41,25.48,6,0.05,E,0.68,0.28,106.79,9.48,1.53,5.66,1
TGX201904,GAK5,B,2019-05-02T17:58:39,-148.9305,59.2437,168,41,38.73,3,0.01,E,0.45,0.29,76.63,9.47,1.14,0.36,1
TGX201904,GAK5,B,2019-05-02T18:02:06,-148.9305,59.2437,168,41,6.41,12,0.5,U,0.98,0.37,120.69,0,1.10,1.03,1
TGX201904,GAK9,B,2019-05-04T17:47:49,-148.3483,58.6763,277,50,2.15,15,1,E,1.35,0.43,211.92,9.48,3.25,56.73,1
TGX201904,GAK9,B,2019-05-04T17:47:03,-148.3483,58.6763,277,50,3.98,13,0.5,E,1.41,0.4,210.81,9.48,3.14,53.63,1
