Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,surface_irradiance,Enriched_or_unenriched_[E/U],Chl_a_[ug/L],Phaeopigments_[ug/L],POC_[ugC/L],13C_[At_%]_DIC,13C_[At_%]_POC,Production_(ugC/L/d),Quality_flag
WSD201807,CS2,B,2018-07-05T22:28:30,-143.8947,59.7745,121,4,2.07,5,1,E,0.28,0.01,231.78,11.73,3.33,50.5,1
WSD201807,CS2,B,2018-07-05T22:27:30,-143.8947,59.7745,121,4,4.59,4,0.5,E,0.36,0.01,203.17,9.62,2.46,33.87,1
WSD201807,CS2,B,2018-07-05T22:25:37,-143.8947,59.7745,121,4,6.84,3,0.3,E,0.45,0.02,200.79,9.55,2.00,22.62,1
WSD201807,CS2,B,2018-07-05T22:23:32,-143.8947,59.7745,121,4,13.03,2,0.1,E,0.7,0.11,257.75,9.56,2.10,32.12,1
WSD201807,CS2,B,2018-07-05T22:22:00,-143.8947,59.7745,121,4,16.85,1,0.05,E,2.11,-0.13,327.02,9.55,1.73,25.91,1
WSD201807,CS2,B,2018-07-05T22:27:30,-143.8947,59.7745,121,4,4.59,4,0.5,E,0.36,0.01,182.22,9.62,1.12,0.83,1
WSD201807,CS2,B,2018-07-05T22:27:30,-143.8947,59.7745,121,4,4.59,4,0.5,U,0.36,0.01,211.31,0,1.08,1.65,1
WSD201807,MID2,B,2018-07-06T20:18:09,-145.651,60.0998,120,13,2.37,5,1,E,0.64,0.21,514.32,12.76,2.88,80.36,1
WSD201807,MID2,B,2018-07-06T20:17:06,-145.651,60.0998,120,13,3.47,4,0.5,E,0.45,0.13,311.89,12.31,2.24,32.63,1
WSD201807,MID2,B,2018-07-06T20:14:59,-145.651,60.0998,120,13,4.91,3,0.3,E,0.34,0.11,226.97,10.29,1.71,15.62,1
WSD201807,MID2,B,2018-07-06T20:13:23,-145.651,60.0998,120,13,8.62,2,0.1,E,1.34,0.59,283.43,9.95,2.29,39.28,1
WSD201807,MID2,B,2018-07-06T20:11:58,-145.651,60.0998,120,13,11.86,1,0.05,E,2.67,0.89,315.93,9.88,1.79,25.66,1
WSD201807,MID2,B,2018-07-06T20:17:06,-145.651,60.0998,120,13,3.47,4,0.5,E,0.45,0.13,256.38,12.31,1.12,0.87,1
WSD201807,MID2,B,2018-07-06T20:17:06,-145.651,60.0998,120,13,3.47,4,0.5,U,0.45,0.13,313.59,0,1.08,1.09,1
WSD201807,MID5,B,2018-07-07T18:05:33,-146.1042,59.6512,95,23,2.03,5,1,E,0.41,0.11,221.01,9.9,2.57,38.13,1
WSD201807,MID5,B,2018-07-07T18:04:03,-146.1042,59.6512,95,23,3.85,4,0.5,E,0.37,0.11,197.25,9.87,2.14,24.3,1
WSD201807,MID5,B,2018-07-07T18:02:08,-146.1042,59.6512,95,23,6.92,3,0.3,E,0.45,0.16,210.4,9.71,2.03,23.6,1
WSD201807,MID5,B,2018-07-07T18:00:41,-146.1042,59.6512,95,23,12.86,2,0.1,E,1.12,0.48,248.99,9.67,2.17,32.17,1
WSD201807,MID5,B,2018-07-07T17:58:57,-146.1042,59.6512,95,23,17.22,1,0.05,E,2.33,0.95,275.45,9.62,1.61,17.29,1
WSD201807,MID5,B,2018-07-07T18:04:03,-146.1042,59.6512,95,23,3.85,4,0.5,E,0.37,0.11,154.42,9.87,1.11,0.39,1
WSD201807,MID5,B,2018-07-07T18:04:03,-146.1042,59.6512,95,23,3.85,4,0.5,U,0.37,0.11,201.8,0,1.09,1.01,1
WSD201807,PWS2,B,2018-07-09T18:50:28,-147.7953,60.5327,798,37,1.91,5,1,E,0.69,0.23,215.67,11.78,1.08,NaN,9
WSD201807,PWS2,B,2018-07-09T18:49:08,-147.7953,60.5327,798,37,4.09,4,0.5,E,0.74,0.23,213.43,11.01,2.41,28.58,1
WSD201807,PWS2,B,2018-07-09T18:47:30,-147.7953,60.5327,798,37,5.95,3,0.3,E,1.47,0.5,325.27,10.35,2.05,34.25,1
WSD201807,PWS2,B,2018-07-09T18:46:04,-147.7953,60.5327,798,37,11.64,2,0.1,E,1.08,0.39,193.6,10.13,1.63,11.84,1
WSD201807,PWS2,B,2018-07-09T18:44:44,-147.7953,60.5327,798,37,15.93,1,0.05,E,1.34,0.63,147.19,9.96,1.34,4.21,1
WSD201807,PWS2,B,2018-07-09T18:49:08,-147.7953,60.5327,798,37,4.09,4,0.5,E,0.74,0.23,180.77,11.01,1.10,0.31,1
WSD201807,PWS2,B,2018-07-09T18:49:08,-147.7953,60.5327,798,37,4.09,4,0.5,U,0.74,0.23,277.17,0,1.08,NaN,9
WSD201807,GAK1,B,2018-07-10T18:49:57,-149.4647,59.8413,269,44,1.87,12,1,E,0.99,0.47,286.83,11.56,2.77,46.5,1
WSD201807,GAK1,B,2018-07-10T18:49:04,-149.4647,59.8413,269,44,4.18,11,0.5,E,0.99,0.48,284.24,11.07,2.52,41.16,1
WSD201807,GAK1,B,2018-07-10T18:47:23,-149.4647,59.8413,269,44,5.93,10,0.3,E,1.03,0.6,287.31,10.51,2.61,46.82,1
WSD201807,GAK1,B,2018-07-10T18:44:22,-149.4647,59.8413,269,44,12.03,8,0.1,E,0.9,0.53,274.84,10.29,2.40,39.65,1
WSD201807,GAK1,B,2018-07-10T18:43:08,-149.4647,59.8413,269,44,15.1,7,0.05,E,0.93,0.54,254.74,10.19,1.68,16.91,1
WSD201807,GAK1,B,2018-07-10T18:49:04,-149.4647,59.8413,269,44,4.18,11,0.5,E,0.99,0.48,222.52,11.07,1.11,0.55,1
WSD201807,GAK1,B,2018-07-10T18:49:04,-149.4647,59.8413,269,44,4.18,11,0.5,U,0.99,0.48,291.35,0,1.08,1.19,1
WSD201807,GAK5,B,2018-07-11T19:13:30,-148.9057,59.2595,167,51,2.6,10,1,E,0.42,0.01,200.6,9.88,2.15,24.9,1
WSD201807,GAK5,B,2018-07-11T19:12:09,-148.9057,59.2595,167,51,3.09,9,0.5,E,0.4,0,206.77,9.87,2.11,24.9,1
