Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Attenuation_coefficient_[1/m],Euphotic_zone_depth_[m],Incident_PAR_dose_[mol photons/m^2],Integrated_Chl_a_[mg/m^2],Integrated_production_[mg/m^2/d],,,,
WSD201807,CS2,B,2018-07-05T22:22:00,-143.8947,59.7745,121,4,0.18,26.1,23.1,11.6,533.7,,,,
WSD201807,MID2,B,2018-07-06T20:11:58,-145.651,60.0998,120,13,0.25,18.4,15.2,11.8,425.0,,,,
WSD201807,MID5,B,2018-07-07T17:58:57,-146.1042,59.6512,95,23,0.18,26.1,16.8,14.4,462.9,,,,
WSD201807,PWS2,B,2018-07-09T18:44:44,-147.7953,60.5327,798,37,0.20,23.1,9.2,16.3,339.5,,,,
WSD201807,GAK1,B,2018-07-10T18:29:52,-149.4647,59.8413,269,44,0.20,23.1,25.2,14.5,607.5,,,,
WSD201807,GAK5,B,2018-07-11T19:04:38,-148.9057,59.2595,167,51,0.17,27.7,35.4,18.7,479.4,,,,
WSD201807,GAK9,B,2018-07-12T17:13:46,-148.351,58.6805,280,56,0.18,26.1,37.4,15.5,565.5,,,,
WSD201807,GAK15,B,2018-07-13T20:24:36,-147.5003,57.7883,4543,63,0.12,40.0,17.7,10.6,364.4,,,,
WSD201807,KOD5,B,2018-07-14T17:17:53,-150.7605,57.7872,86,65,0.13,35.4,14.8,14.5,412.0,,,,
WSD201807,KOD10,B,2018-07-16T17:20:29,-149.7198,57.2015,2503,75,0.08,58.4,19.9,13.1,484.1,,,,
,,,,,,,,,,,,,,,,
