Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Bottle_Number,Pressure_[dbar],Depth_[m],Temperature_[C],Salinity_[psu],Density_[kg/m3],N+N_[uM],N+N_flag,Silicate_[uM],Silicate_flag,Phosphate_[uM],Phosphate_flag,Notes
SKQ201915S,RES2.5,B,2019-06-29T18:11:55,-149.3577,60.0247,293,1,1,291.46,288.50813,6.3137,33.1835,1027.38436,25.42435,1,45.208,1,2.053,1,
SKQ201915S,RES2.5,B,2019-06-29T18:17:13,-149.3577,60.0247,293,1,2,252.68,250.14433,6.3334,33.149,1027.17561,25.9309,1,45.849,1,2.05,1,
SKQ201915S,RES2.5,B,2019-06-29T18:22:44,-149.3577,60.0247,293,1,3,201.99,199.98752,6.3717,33.0912,1026.89034,25.6356,1,45.505,1,2.077,1,
SKQ201915S,RES2.5,B,2019-06-29T18:26:51,-149.3577,60.0247,293,1,4,151.48,149.9966,6.4971,32.7117,1026.34086,22.6769,1,39.935,1,1.889,1,
SKQ201915S,RES2.5,B,2019-06-29T18:29:19,-149.3577,60.0247,293,1,5,126.19,124.96191,6.4586,32.4689,1026.03725,19.3788,1,32.2565,1,1.6365,1,
SKQ201915S,RES2.5,B,2019-06-29T18:31:45,-149.3577,60.0247,293,1,6,100.9,99.92416,6.422,32.2919,1025.78519,17.0103,1,27.303,1,1.484,1,
SKQ201915S,RES2.5,B,2019-06-29T18:34:06,-149.3577,60.0247,293,1,7,75.49,74.76451,6.5098,32.0859,1025.49387,16.2226,1,25.203,1,1.408,1,
SKQ201915S,RES2.5,B,2019-06-29T18:36:17,-149.3577,60.0247,293,1,8,50.2,49.72061,6.7732,31.5798,1024.94432,14.1726,1,20.396,1,1.256,1,
SKQ201915S,RES2.5,B,2019-06-29T18:37:50,-149.3577,60.0247,293,1,9,40.36,39.97553,7.0888,31.4428,1024.74964,11.1177,1,16.718,1,1.157,1,
SKQ201915S,RES2.5,B,2019-06-29T18:39:25,-149.3577,60.0247,293,1,10,30.06,29.77439,7.1219,31.2846,1024.57281,8.1283,1,12.6695,1,1.0485,1,
SKQ201915S,RES2.5,B,2019-06-29T18:40:57,-149.3577,60.0247,293,1,11,20.13,19.93922,8.4474,31.0194,1024.13512,2.4642,1,6.436,1,0.673,1,
SKQ201915S,RES2.5,B,2019-06-29T18:42:26,-149.3577,60.0247,293,1,12,10.01,9.91538,9.1523,30.8786,1023.87319,0.6212,1,7.405,1,0.451,1,
SKQ201915S,RES2.5,B,2019-06-29T18:45:55,-149.3577,60.0247,293,1,13,3.24,3.20943,15.7588,23.4,1016.87127,0.0151,1,10.205,1,0.03,1,
SKQ201915S,GAK1,B,2019-06-29T21:01:21,-149.4658,59.8452,270,2,2,268.39,265.69041,6.1568,33.4093,1027.47658,28.283,1,54.446,1,2.243,1,
SKQ201915S,GAK1,B,2019-06-29T21:03:08,-149.4658,59.8452,270,2,3,252.15,249.62355,6.1661,33.3712,1027.37028,27.6247,1,51.815,1,2.17,1,
SKQ201915S,GAK1,B,2019-06-29T21:06:23,-149.4658,59.8452,270,2,4,201.75,199.75289,6.2611,33.2443,1027.02444,26.9252,1,47.124,1,2.084,1,
SKQ201915S,GAK1,B,2019-06-29T21:08:51,-149.4658,59.8452,270,2,5,150.9,149.42464,6.4729,32.7904,1026.40336,21.52775,1,36.4925,1,1.6855,1,
SKQ201915S,GAK1,B,2019-06-29T21:11:17,-149.4658,59.8452,270,2,6,126.22,124.99341,6.5748,32.5378,1026.07655,17.2293,1,26.76,1,1.476,1,
SKQ201915S,GAK1,B,2019-06-29T21:13:43,-149.4658,59.8452,270,2,7,100.88,99.90579,6.4446,32.2761,1025.76975,16.9993,1,26.774,1,1.453,1,
SKQ201915S,GAK1,B,2019-06-29T21:15:19,-149.4658,59.8452,270,2,8,75.3,74.57745,6.6581,32.0262,1025.42687,13.8719,1,23.281,1,1.283,1,
SKQ201915S,GAK1,B,2019-06-29T21:17:19,-149.4658,59.8452,270,2,10,50.2,49.72132,8.1364,31.8787,1024.99229,11.80005,1,19.4065,1,1.1335,1,
SKQ201915S,GAK1,B,2019-06-29T21:19:03,-149.4658,59.8452,270,2,12,39.86,39.48091,8.1153,31.7358,1024.83561,9.7518,1,17.409,1,1.04,1,
SKQ201915S,GAK1,B,2019-06-29T21:20:40,-149.4658,59.8452,270,2,14,30.12,29.83425,8.0133,31.4128,1024.55166,7.7716,1,14.176,1,0.999,1,
SKQ201915S,GAK1,B,2019-06-29T21:22:36,-149.4658,59.8452,270,2,16,19.96,19.77113,9.5924,31.2452,1024.13674,2.3334,1,8.333,1,0.593,1,
SKQ201915S,GAK1,B,2019-06-29T21:24:23,-149.4658,59.8452,270,2,18,9.79,9.6976,10.8361,30.8665,1023.59047,0.0493,1,5.433,1,0.263,1,
SKQ201915S,GAK1,B,2019-06-29T21:26:34,-149.4658,59.8452,270,2,23,3.22,3.18966,15.0725,25.8374,1018.88142,0.0145,1,10.957,1,0.032,1,
SKQ201915S,PWS2,B,2019-06-30T18:23:53,-147.804,60.5348,738,3,1,731.68,723.47364,6.1907,33.2172,1029.44378,27.6335,1,50.3965,1,2.2435,1,
SKQ201915S,PWS2,B,2019-06-30T18:31:19,-147.804,60.5348,738,3,2,505.12,499.72646,6.28,33.2129,1028.39311,25.8962,1,44.935,1,2.101,1,
SKQ201915S,PWS2,B,2019-06-30T18:39:00,-147.804,60.5348,738,3,9,252.3,249.75824,6.4044,32.9357,1026.99608,23.0847,1,38.783,1,1.908,1,
SKQ201915S,PWS2,B,2019-06-30T18:42:08,-147.804,60.5348,738,3,11,201.96,199.94972,6.4092,32.8192,1026.67067,23.4947,1,39.047,1,1.933,1,
SKQ201915S,PWS2,B,2019-06-30T18:45:22,-147.804,60.5348,738,3,12,151.42,149.93113,6.4612,32.6068,1026.26245,21.648,1,36.381,1,1.815,1,
SKQ201915S,PWS2,B,2019-06-30T18:48:26,-147.804,60.5348,738,3,13,126.16,124.92714,6.4957,32.4451,1026.01344,20.9585,1,33.505,1,1.751,1,
SKQ201915S,PWS2,B,2019-06-30T18:51:59,-147.804,60.5348,738,3,15,100.92,99.93991,6.4245,32.2536,1025.75482,18.83215,1,31.0515,1,1.6345,1,
SKQ201915S,PWS2,B,2019-06-30T18:54:33,-147.804,60.5348,738,3,16,75.55,74.82089,6.3641,31.9723,1025.42327,17.0679,1,27.34,1,1.507,1,
SKQ201915S,PWS2,B,2019-06-30T18:58:42,-147.804,60.5348,738,3,18,40.49,40.10265,6.6804,31.4665,1024.82203,12.6035,1,16.696,1,1.202,1,
SKQ201915S,PWS2,B,2019-06-30T19:00:59,-147.804,60.5348,738,3,19,30.21,29.92174,7.1794,31.1492,1024.45965,8.7853,1,13.081,1,0.975,1,
SKQ201915S,PWS2,B,2019-06-30T19:04:49,-147.804,60.5348,738,3,21,10.02,9.92488,11.58,30.1246,1022.88602,0.0408,1,4.234,1,0.184,1,
SKQ201915S,PWS2,B,2019-06-30T19:08:11,-147.804,60.5348,738,3,23,3.13,3.10034,14.5937,29.2082,1021.57138,0.02355,1,3.5395,1,0.0855,1,
SKQ201915S,PWS2,B,2019-06-30T20:55:47,-147.8043,60.5347,735,4,2,49.94,49.46112,6.565,31.5715,1024.96336,12.96225,1,18.008,1,1.2005,1,
SKQ201915S,PWS2,B,2019-06-30T21:03:58,-147.8043,60.5347,735,4,7,20.24,20.04736,7.9848,30.952,1024.14909,0.6103,1,4.901,1,0.391,1,
SKQ201915S,MID1,B,2019-07-01T18:41:28,-145.5017,60.249,20,5,1,16.43,16.27414,8.2403,31.8293,1024.78326,7.1447,1,15.661,1,0.9585,1,
SKQ201915S,MID1,B,2019-07-01T18:45:14,-145.5017,60.249,20,5,3,10.03,9.93501,10.5158,31.164,1023.87773,1.6057,1,10.216,1,0.454,1,
SKQ201915S,MID1,B,2019-07-01T18:46:46,-145.5017,60.249,20,5,4,5.37,5.3192,16.4079,19.8263,1014.01309,0.6919,1,17.047,1,0.111,1,
