Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Bottle_Number,Pressure_[dbar],Depth_[m],Temperature_[C],Salinity_[psu],Density_[kg/m3],N+N_[uM],N+N_flag,Silicate_[uM],Silicate_flag,Phosphate_[uM],Phosphate_flag,Notes
SKQ202010S,GAK1,,,,,,3,2,,265,,,,32.276,,73.379,,2.806,,
SKQ202010S,GAK1,,,,,,3,4,,250,,,,32.0279,,64.507,,2.528,,
SKQ202010S,GAK1,,,,,,3,6,,200,,,,28.9219,,52.016,,2.178,,
SKQ202010S,GAK1,,,,,,3,8,,150,,,,22.4944,,36.433,,1.792,,
SKQ202010S,GAK1,,,,,,3,9,,125,,,,17.87545,,26.756,,1.5225,,
SKQ202010S,GAK1,,,,,,3,11,,100,,,,15.6351,,23.278,,1.465,,
SKQ202010S,GAK1,,,,,,3,12,,75,,,,11.9089,,18.725,,1.325,,
SKQ202010S,GAK1,,,,,,3,13,,50,,,,6.3937,,12.074,,1.031,,
SKQ202010S,GAK1,,,,,,3,14,,40,,,,5.1337,,11.969,,0.846,,
SKQ202010S,GAK1,,,,,,3,15,,30,,,,3.49695,,10.019,,0.679,,
SKQ202010S,GAK1,,,,,,3,17,,20,,,,1.449,,7.654,,0.424,,
SKQ202010S,GAK1,,,,,,3,18,,10,,,,0.2126,,6.345,,0.295,,
SKQ202010S,GAK1,,,,,,3,20,,0,,,,0.03965,,6.0435,,0.1505,,
SKQ202010S,GAK1b,,,,,,63,1,,265,,,,32.7967,,69.064,,2.6985,,
SKQ202010S,GAK1b,,,,,,63,2,,250,,,,31.8566,,62.006,,2.462,,
SKQ202010S,GAK1b,,,,,,63,3,,200,,,,28.9262,,49.725,,2.19,,
SKQ202010S,GAK1b,,,,,,63,5,,150,,,,22.6179,,34.974,,1.803,,
SKQ202010S,GAK1b,,,,,,63,7,,125,,,,18.6518,,25.218,,1.576,,
SKQ202010S,GAK1b,,,,,,63,9,,100,,,,17.0543,,22.78,,1.475,,
SKQ202010S,GAK1b,,,,,,63,11,,75,,,,13.4024,,19.072,,1.327,,
SKQ202010S,GAK1b,,,,,,63,13,,50,,,,8.4822,,13.954,,1.077,,
SKQ202010S,GAK1b,,,,,,63,15,,40,,,,6.0773,,12.462,,0.906,,
SKQ202010S,GAK1b,,,,,,63,17,,30,,,,3.8725,,10.554,,0.714,,
SKQ202010S,GAK1b,,,,,,63,19,,20,,,,1.1467,,7.67,,0.431,,
SKQ202010S,GAK1b,,,,,,63,21,,10,,,,0.2243,,4.096,,0.228,,
SKQ202010S,GAK1b,,,,,,63,23,,0,,,,0.1534,,4.279,,0.101,,
SKQ202010S,GAK2,,,,,,5,1,,222,,,,30.3386,,57.8655,,2.329,,
SKQ202010S,GAK2,,,,,,5,2,,200,,,,29.34,,52.967,,2.28,,
SKQ202010S,GAK2,,,,,,5,4,,150,,,,24.4168,,41.102,,1.924,,
SKQ202010S,GAK2,,,,,,5,5,,125,,,,19.7772,,29.559,,1.627,,
SKQ202010S,GAK2,,,,,,5,6,,100,,,,13.4193,,19.581,,1.359,,
SKQ202010S,GAK2,,,,,,5,8,,75,,,,11.3502,,17.379,,1.252,,
SKQ202010S,GAK2,,,,,,5,9,,50,,,,8.7694,,14.392,,1.06,,
SKQ202010S,GAK2,,,,,,5,11,,40,,,,8.2243,,14.024,,1.002,,
SKQ202010S,GAK2,,,,,,5,12,,30,,,,5.3831,,11.164,,0.783,,
SKQ202010S,GAK2,,,,,,5,13,,20,,,,2.6599,,8.853,,0.569,,
SKQ202010S,GAK2,,,,,,5,15,,10,,,,0.5413,,7.178,,0.3595,,
SKQ202010S,GAK2,,,,,,5,16,,0,,,,0.1187,,4.624,,0.213,,
SKQ202010S,GAK3,,,,,,6,2,,200,,,,28.26865,,52.5685,,2.1935,,
SKQ202010S,GAK3,,,,,,6,3,,150,,,,24.918,,41.077,,1.946,,
SKQ202010S,GAK3,,,,,,6,4,,125,,,,20.7621,,30.822,,1.685,,
SKQ202010S,GAK3,,,,,,6,5,,100,,,,19.46525,,28.072,,1.603,,
SKQ202010S,GAK3,,,,,,6,7,,75,,,,16.0873,,22.57,,1.459,,
SKQ202010S,GAK3,,,,,,6,8,,50,,,,11.3867,,16.994,,1.245,,
SKQ202010S,GAK3,,,,,,6,10,,40,,,,8.625,,14.337,,1.072,,
SKQ202010S,GAK3,,,,,,6,11,,30,,,,7.2894,,13.431,,0.982,,
SKQ202010S,GAK3,,,,,,6,12,,20,,,,4.2716,,11.941,,0.747,,
SKQ202010S,GAK3,,,,,,6,14,,10,,,,0.1842,,7.983,,0.298,,
SKQ202010S,GAK3,,,,,,6,15,,196,,,,0.11345,,7.748,,0.272,,
SKQ202010S,GAK4,,,,,,9,1,,150,,,,26.34235,,46.1645,,2.061,,
SKQ202010S,GAK4,,,,,,9,2,,125,,,,24.7545,,40.643,,1.925,,
SKQ202010S,GAK4,,,,,,9,3,,100,,,,22.329,,34.203,,1.78,,
SKQ202010S,GAK4,,,,,,9,4,,75,,,,19.4414,,28.244,,1.627,,
SKQ202010S,GAK4,,,,,,9,6,,50,,,,16.971,,22.625,,1.464,,
SKQ202010S,GAK4,,,,,,9,7,,40,,,,14.6453,,19.36,,1.375,,
SKQ202010S,GAK4,,,,,,9,9,,30,,,,13.4348,,17.312,,1.292,,
SKQ202010S,GAK4,,,,,,9,11,,20,,,,9.9127,,14.045,,1.117,,
SKQ202010S,GAK4,,,,,,9,13,,10,,,,3.7148,,9.981,,0.675,,
SKQ202010S,GAK4,,,,,,9,15,,0,,,,0.1231,,7.864,,0.308,,
SKQ202010S,GAK4,,,,,,9,17,,17,,,,0.1262,,7.91,,0.31,,
SKQ202010S,GAK5,,,,,,8,1,,166,,,,26.64,,43.5365,,2.0255,,
