Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Bottle_Number,Pressure_[dbar],Depth_[m],Temperature_[C],Salinity_[psu],Density_[kg/m3],N+N_[uM],N+N_flag,Silicate_[uM],Silicate_flag,Phosphate_[uM],Phosphate_flag,Notes
TGX201809,RES2.5,B,2018-09-12T05:28:51,-149.3543,60.021,293.0,1,1,287.82,284.90758,5.9783,33.3027,1027.50562,28.5198,1,50.246,1,2.194,1,
TGX201809,RES2.5,B,2018-09-12T05:30:53,-149.3543,60.021,293.0,1,2,252.64,250.10483,5.9711,33.2812,1027.32698,28.2693,1,49.732,1,2.168,1,
TGX201809,RES2.5,B,2018-09-12T05:33:12,-149.3543,60.021,293.0,1,3,202.56,200.55165,5.9467,33.2172,1027.04738,28.1015,1,48.878,1,2.195,1,
TGX201809,RES2.5,B,2018-09-12T05:34:49,-149.3543,60.021,293.0,1,4,151.76,150.2738,5.8439,33.0306,1026.6771,24.8764,1,43.705,1,2.002,1,
TGX201809,RES2.5,B,2018-09-12T05:36:05,-149.3543,60.021,293.0,1,5,126.32,125.09065,5.6689,32.665,1026.29149,21.2225,1,31.275,1,1.717,1,
TGX201809,RES2.5,B,2018-09-12T05:37:32,-149.3543,60.021,293.0,1,6,100.8,99.82518,5.6306,32.2896,1025.88071,17.4258,1,21.837,1,1.46,1,
TGX201809,RES2.5,B,2018-09-12T05:38:36,-149.3543,60.021,293.0,1,7,76.02,75.28935,6.1206,32.0612,1025.52579,15.995,1,18.442,1,1.376,1,
TGX201809,RES2.5,B,2018-09-12T05:40:04,-149.3543,60.021,293.0,1,8,51.05,50.5624,6.8435,31.6672,1025.00794,12.8158,1,13.611,1,1.146,1,
TGX201809,RES2.5,B,2018-09-12T05:41:17,-149.3543,60.021,293.0,1,9,40.73,40.34198,7.3863,31.4345,1024.70503,11.1462,1,11.458,1,1.054,1,
TGX201809,RES2.5,B,2018-09-12T05:42:07,-149.3543,60.021,293.0,1,10,30.88,30.58655,9.422,30.8598,1023.91236,6.5448,1,6.544,1,0.772,1,
TGX201809,RES2.5,B,2018-09-12T05:43:09,-149.3543,60.021,293.0,1,11,20.49,20.2958,11.4289,29.838,1022.73755,4.4913,1,6.894,1,0.547,1,
TGX201809,RES2.5,B,-999,-149.3543,60.021,293.0,1,13,10.0,9.90547,13.3682,25.7663,1019.18898,0.0709,1,6.724,1,0.079,1,CTD bottle data lost. Temperature and salinity from 10 m profile data
TGX201809,RES2.5,B,-999,-149.3543,60.021,293.0,1,15,0.0,0.0,13.4947,25.3284,1018.78223,0.0652,1,7.632,1,0.051,1,CTD bottle data lost. Temperature and salinity from 3 dbar profile data
TGX201809,GAK1,B,2018-09-12T19:28:31,-149.4822,59.846,268.0,3,1,252.31,249.78184,6.0053,33.4676,1027.46799,25.7681,1,51.489,1,2.175,1,
TGX201809,GAK1,B,2018-09-12T19:30:07,-149.4822,59.846,268.0,3,3,202.38,200.37633,5.9964,33.3511,1027.14586,27.9865,1,48.198,1,2.203,1,
TGX201809,GAK1,B,2018-09-12T19:31:41,-149.4822,59.846,268.0,3,4,151.45,149.96905,5.9519,33.0345,1026.66525,22.1463,1,36.603,1,1.948,1,
TGX201809,GAK1,B,2018-09-12T19:33:06,-149.4822,59.846,268.0,3,5,126.52,125.29039,6.0042,32.6985,1026.27763,15.0641,1,24.719,1,1.534,1,
TGX201809,GAK1,B,2018-09-12T19:34:17,-149.4822,59.846,268.0,3,6,101.42,100.44044,6.3234,32.4367,1025.91432,13.2079,1,20.085,1,1.354,1,
TGX201809,GAK1,B,2018-09-12T19:35:48,-149.4822,59.846,268.0,3,7,77.0,76.26082,6.7587,32.2986,1025.63611,15.874,1,21.454,1,1.421,1,
TGX201809,GAK1,B,2018-09-12T19:37:20,-149.4822,59.846,268.0,3,8,51.16,50.67205,7.9076,32.0725,1025.18165,12.0457,1,16.938,1,1.206,1,
TGX201809,GAK1,B,2018-09-12T19:38:20,-149.4822,59.846,268.0,3,9,41.05,40.65947,7.7809,31.6778,1024.84317,12.925,1,17.704,1,1.202,1,
