Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Bottle_Number,Pressure_[dbar],Depth_[m],Temperature_[C],Salinity_[psu],Density_[kg/m3],N+N_[uM],N+N_flag,Silicate_[uM],Silicate_flag,Phosphate_[uM],Phosphate_flag,Notes
WSD201807,CS1,B,2018-07-05T17:28:30,-143.8927,59.9382,63,1,1,60.23,59.65379,6.5873,32.2685,1025.55742,9.35,1,12.45,1,1.07,1,
WSD201807,CS1,B,2018-07-05T17:30:04,-143.8927,59.9382,63,1,2,50.17,49.69124,7.1487,32.1703,1025.35974,10.07,1,15.22,1,1.19,1,
WSD201807,CS1,B,2018-07-05T17:31:52,-143.8927,59.9382,63,1,3,40.27,39.88667,7.7276,32.1084,1025.18552,8.25,1,12.39,1,1.02,1,
WSD201807,CS1,B,2018-07-05T17:33:02,-143.8927,59.9382,63,1,4,31.23,30.9334,8.4717,32.04,1024.98242,5.5,1,10.97,1,0.78,1,
WSD201807,CS1,B,2018-07-05T17:35:08,-143.8927,59.9382,63,1,5,20.36,20.16717,9.8418,31.8953,1024.6064,1.06,1,7.22,1,0.48,1,
WSD201807,CS1,B,2018-07-05T17:37:03,-143.8927,59.9382,63,1,6,9.97,9.87582,11.8124,31.379,1023.81818,0.18,1,4.73,1,0.08,1,
WSD201807,CS1,B,2018-07-05T17:39:15,-143.8927,59.9382,63,1,7,2.44,2.417,12.526,27.73,1020.82695,17.31,1,22.77,1,1.46,1,
WSD201807,CS2,B,2018-07-05T23:38:42,-143.8927,59.7735,121,5,1,119.13,117.97501,6.0409,32.794,1026.31382,17.2,1,23.27,1,1.46,1,
WSD201807,CS2,B,2018-07-05T23:41:31,-143.8927,59.7735,121,5,2,101.22,100.24301,6.0149,32.5822,1026.06686,15.11,1,19.16,1,1.37,1,
WSD201807,CS2,B,2018-07-05T23:43:22,-143.8927,59.7735,121,5,3,75.99,75.26113,6.0731,32.4352,1025.82675,14.77,1,17.42,1,1.3,1,
WSD201807,CS2,B,2018-07-05T23:45:20,-143.8927,59.7735,121,5,4,50.42,49.93949,6.5937,32.2815,1025.52158,11.73,1,15.92,1,1.21,1,
WSD201807,CS2,B,2018-07-05T23:46:38,-143.8927,59.7735,121,5,5,39.99,39.60989,6.8502,32.2433,1025.40971,7.58,1,11.26,1,1.03,1,
WSD201807,CS2,B,2018-07-05T23:48:15,-143.8927,59.7735,121,5,6,30.28,29.99289,7.4022,32.1643,1025.22837,6.19,1,10.51,1,0.88,1,
WSD201807,CS2,B,2018-07-05T23:49:24,-143.8927,59.7735,121,5,7,20.02,19.83067,8.3576,32.042,1024.94946,0.15,1,8.88,1,0.36,1,
WSD201807,CS2,B,2018-07-05T23:50:45,-143.8927,59.7735,121,5,9,9.62,9.52926,9.6319,31.9448,1024.62996,0.1,1,4.61,1,0.06,1,
WSD201807,CS2,B,2018-07-05T23:52:06,-143.8927,59.7735,121,5,11,2.36,2.33778,13.9206,25.5136,1018.85592,0.1,1,4.54,1,0.05,1,
WSD201807,CS3,B,2018-07-06T01:46:52,-143.8928,59.6073,198,7,1,196.44,194.50167,6.2351,33.6615,1027.33165,31.53,1,49.16,1,2.3,1,
WSD201807,CS3,B,2018-07-06T01:49:28,-143.8928,59.6073,198,7,2,151.41,149.93234,6.3959,33.5182,1026.98892,29.75,1,45.17,1,2.2,1,
WSD201807,CS3,B,2018-07-06T01:50:57,-143.8928,59.6073,198,7,3,126.22,124.9958,6.449,33.2451,1026.64997,26.38,1,38.67,1,2.0,1,
WSD201807,CS3,B,2018-07-06T01:52:41,-143.8928,59.6073,198,7,4,100.53,99.56116,6.0762,32.809,1026.23497,16.79,1,25.78,1,1.6,1,
WSD201807,CS3,B,2018-07-06T01:54:12,-143.8928,59.6073,198,7,5,75.75,75.02448,5.9333,32.5359,1025.92235,15.39,1,19.26,1,1.33,1,
WSD201807,CS3,B,2018-07-06T01:56:07,-143.8928,59.6073,198,7,6,50.04,49.56382,6.5061,32.4284,1025.64684,13.43,1,16.35,1,1.21,1,
WSD201807,CS3,B,2018-07-06T01:57:22,-143.8928,59.6073,198,7,7,39.34,38.96665,7.3331,32.327,1025.40775,9.46,1,14.45,1,1.0,1,
WSD201807,CS3,B,2018-07-06T01:58:26,-143.8928,59.6073,198,7,8,29.16,28.88398,8.364,32.279,1025.17616,6.5,1,11.6,1,0.79,1,
WSD201807,CS3,B,2018-07-06T01:59:46,-143.8928,59.6073,198,7,9,20.57,20.37571,10.6863,32.2504,1024.74278,3.25,1,8.46,1,0.58,1,
WSD201807,CS3,B,2018-07-06T02:01:29,-143.8928,59.6073,198,7,10,10.88,10.77749,12.6001,32.1844,1024.29994,1.79,1,7.67,1,0.5,1,
WSD201807,CS3,B,2018-07-06T02:02:52,-143.8928,59.6073,198,7,11,2.15,2.12979,13.9002,27.2106,1020.16665,0.04,1,5.72,1,0.11,1,
WSD201807,CS4,B,2018-07-06T05:03:13,-143.8953,59.4377,2010,9,1,1011.49,999.56444,3.1574,34.3439,1032.00498,44.83,1,141.78,1,3.2,1,
WSD201807,CS4,B,2018-07-06T05:09:29,-143.8953,59.4377,2010,9,2,759.51,751.00736,3.615,34.2408,1030.71101,42.39,1,116.01,1,3.03,1,
WSD201807,CS4,B,2018-07-06T05:14:47,-143.8953,59.4377,2010,9,3,505.87,500.51148,4.1662,34.0643,1029.33649,43.17,1,99.77,1,3.07,1,
WSD201807,CS4,B,2018-07-06T05:20:44,-143.8953,59.4377,2010,9,4,253.45,250.91798,5.2963,33.8675,1027.87748,36.11,1,63.41,1,2.61,1,
WSD201807,CS4,B,2018-07-06T05:22:24,-143.8953,59.4377,2010,9,5,201.45,199.46255,5.8532,33.8299,1027.53725,33.7,1,58.25,1,2.43,1,
WSD201807,CS4,B,2018-07-06T05:24:10,-143.8953,59.4377,2010,9,6,150.9,149.42955,6.5103,33.7195,1027.12997,32.14,1,48.95,1,2.27,1,
WSD201807,CS4,B,2018-07-06T05:25:59,-143.8953,59.4377,2010,9,7,101.2,100.22592,6.3663,33.111,1026.43927,24.06,1,34.69,1,1.85,1,
WSD201807,CS4,B,2018-07-06T05:27:50,-143.8953,59.4377,2010,9,8,75.17,74.45116,5.6853,32.656,1026.0446,13.31,1,18.24,1,1.29,1,
WSD201807,CS4,B,2018-07-06T05:29:29,-143.8953,59.4377,2010,9,9,49.4,48.93065,6.195,32.4982,1025.73827,10.6,1,11.94,1,1.08,1,
WSD201807,CS4,B,2018-07-06T05:30:46,-143.8953,59.4377,2010,9,10,40.15,39.76943,6.8051,32.4415,1025.57245,7.69,1,9.23,1,0.92,1,
WSD201807,CS4,B,2018-07-06T05:31:57,-143.8953,59.4377,2010,9,11,29.34,29.06266,8.2066,32.3692,1025.27086,4.16,1,6.12,1,0.64,1,
WSD201807,CS4,B,2018-07-06T05:33:07,-143.8953,59.4377,2010,9,12,20.11,19.92035,11.6747,32.331,1024.62813,2.73,1,5.43,1,0.55,1,
WSD201807,CS4,B,2018-07-06T05:34:19,-143.8953,59.4377,2010,9,13,9.98,9.88613,13.095,32.2705,1024.26669,2.97,1,7.49,1,0.59,1,
WSD201807,CS4,B,2018-07-06T05:34:25,-143.8953,59.4377,2010,9,14,9.84,9.74745,13.0954,32.2705,1024.26599,3.05,1,7.65,1,0.6,1,
WSD201807,CS4,B,2018-07-06T05:36:14,-143.8953,59.4377,2010,9,15,2.24,2.21897,13.0961,32.2712,1024.23222,1.94,1,4.75,1,0.47,1,
WSD201807,CS5,B,2018-07-06T07:44:33,-143.8977,59.2712,2810,10,1,1012.16,1000.23844,3.0226,34.3695,1032.04415,43.79,1,145.75,1,3.19,1,
WSD201807,CS5,B,2018-07-06T07:50:38,-143.8977,59.2712,2810,10,2,758.38,749.90215,3.4999,34.2639,1030.73748,44.55,1,130.0,1,3.21,1,
WSD201807,CS5,B,2018-07-06T07:55:46,-143.8977,59.2712,2810,10,3,504.77,499.43119,4.0814,34.0913,1029.36264,42.69,1,104.13,1,3.11,1,
WSD201807,CS5,B,2018-07-06T08:00:58,-143.8977,59.2712,2810,10,4,251.73,249.21956,5.4336,33.8635,1027.84941,36.13,1,65.19,1,2.6,1,
WSD201807,CS5,B,2018-07-06T08:03:39,-143.8977,59.2712,2810,10,5,202.62,200.62315,6.0811,33.8075,1027.49561,33.54,1,54.84,1,2.39,1,
WSD201807,CS5,B,2018-07-06T08:05:39,-143.8977,59.2712,2810,10,6,151.5,150.0255,6.5337,33.6291,1027.05843,30.61,1,47.56,1,2.22,1,
WSD201807,CS5,B,2018-07-06T08:07:51,-143.8977,59.2712,2810,10,7,125.84,124.62299,6.446,33.4421,1026.80386,24.28,1,39.74,1,2.03,1,
WSD201807,CS5,B,2018-07-06T08:09:48,-143.8977,59.2712,2810,10,8,101.67,100.69264,5.6935,32.988,1026.42885,16.63,1,26.62,1,1.61,1,
WSD201807,CS5,B,2018-07-06T08:11:12,-143.8977,59.2712,2810,10,9,76.1,75.37312,5.445,32.7137,1026.12305,17.78,1,22.76,1,1.49,1,
WSD201807,CS5,B,2018-07-06T08:12:47,-143.8977,59.2712,2810,10,10,50.1,49.62459,6.3966,32.4676,1025.69199,7.83,1,7.85,1,1.0,1,
WSD201807,CS5,B,2018-07-06T08:13:46,-143.8977,59.2712,2810,10,11,39.95,39.57188,7.6419,32.4154,1025.43719,5.29,1,5.36,1,0.74,1,
WSD201807,CS5,B,2018-07-06T08:14:41,-143.8977,59.2712,2810,10,12,29.73,29.44934,9.4131,32.3694,1025.08832,3.4,1,5.09,1,0.6,1,
WSD201807,CS5,B,2018-07-06T08:15:59,-143.8977,59.2712,2810,10,13,19.82,19.63337,10.7411,32.344,1024.80279,2.89,1,5.67,1,0.56,1,
WSD201807,CS5,B,2018-07-06T08:17:02,-143.8977,59.2712,2810,10,14,9.93,9.83673,12.9507,32.3037,1024.32037,2.26,1,4.77,1,0.49,1,
WSD201807,CS5,B,2018-07-06T08:17:56,-143.8977,59.2712,2810,10,15,2.86,2.83319,12.9836,32.3043,1024.28262,2.53,1,5.23,1,0.52,1,
WSD201807,MID1,B,2018-07-06T17:49:09,-145.4998,60.2495,20,11,1,17.41,17.2448,8.8869,31.2748,1024.25768,4.04,1,5.96,1,0.6,1,
WSD201807,MID1,B,2018-07-06T17:50:37,-145.4998,60.2495,20,11,2,10.05,9.95482,10.2872,30.7117,1023.56347,0.42,1,4.21,1,0.22,1,
WSD201807,MID1,B,2018-07-06T17:53:11,-145.4998,60.2495,20,11,3,2.35,2.32779,14.636,9.3409,1006.30568,3.91,1,32.2,1,0.11,1,
WSD201807,MID2,B,2018-07-06T21:07:17,-145.6512,60.0998,120,14,1,117.36,116.21964,6.1611,32.3332,1025.92716,15.71,1,21.34,1,1.5,1,
WSD201807,MID2,B,2018-07-06T21:09:16,-145.6512,60.0998,120,14,2,101.18,100.20078,6.1762,32.252,1025.78615,13.85,1,18.97,1,1.43,1,
WSD201807,MID2,B,2018-07-06T21:11:44,-145.6512,60.0998,120,14,3,75.33,74.60563,6.4206,32.1458,1025.55184,10.49,1,14.57,1,1.22,1,
WSD201807,MID2,B,2018-07-06T21:13:33,-145.6512,60.0998,120,14,4,50.16,49.6807,6.6708,31.9387,1025.24027,7.59,1,8.04,1,1.0,1,
WSD201807,MID2,B,2018-07-06T21:14:51,-145.6512,60.0998,120,14,5,40.21,39.82674,7.6686,31.9451,1025.06516,6.67,1,9.44,1,0.95,1,
WSD201807,MID2,B,2018-07-06T21:16:11,-145.6512,60.0998,120,14,6,30.57,30.27933,8.5322,31.838,1024.812,5.1,1,8.99,1,0.85,1,
WSD201807,MID2,B,2018-07-06T21:17:26,-145.6512,60.0998,120,14,7,20.62,20.42443,9.3945,31.5096,1024.37777,1.93,1,7.05,1,0.57,1,
WSD201807,MID2,B,2018-07-06T21:19:10,-145.6512,60.0998,120,14,9,15.1,14.95699,9.5982,31.0046,1023.92603,1.8,1,4.87,1,0.44,1,
WSD201807,MID2,B,2018-07-06T21:20:48,-145.6512,60.0998,120,14,11,10.05,9.95494,10.4083,30.7207,1023.55047,0.04,1,3.96,1,0.22,1,
WSD201807,MID2,B,2018-07-06T21:22:24,-145.6512,60.0998,120,14,13,1.88,1.86225,15.985,18.726,1013.24147,0.03,1,12.42,1,0.0,1,
WSD201807,MID3,B,2018-07-06T23:23:30,-145.7993,59.9512,87,16,1,85.72,84.89459,6.3144,32.2927,1025.72917,15.37,1,18.55,1,1.41,1,
WSD201807,MID3,B,2018-07-06T23:24:52,-145.7993,59.9512,87,16,2,75.96,75.23035,6.5476,32.2373,1025.6106,13.21,1,15.27,1,1.26,1,
WSD201807,MID3,B,2018-07-06T23:26:53,-145.7993,59.9512,87,16,3,50.41,49.92887,8.2326,32.142,1025.18595,7.22,1,12.06,1,0.96,1,
WSD201807,MID3,B,2018-07-06T23:28:13,-145.7993,59.9512,87,16,4,40.13,39.74798,8.2869,31.9867,1025.00888,6.06,1,9.95,1,0.9,1,
WSD201807,MID3,B,2018-07-06T23:29:30,-145.7993,59.9512,87,16,5,30.03,29.74486,9.29,31.9918,1024.81392,4.74,1,10.51,1,0.8,1,
WSD201807,MID3,B,2018-07-06T23:30:42,-145.7993,59.9512,87,16,6,19.99,19.80067,9.1982,31.6022,1024.47788,3.78,1,7.67,1,0.73,1,
WSD201807,MID3,B,2018-07-06T23:32:12,-145.7993,59.9512,87,16,7,15.03,14.88783,9.5401,31.4012,1024.24458,2.53,1,6.42,1,0.54,1,
WSD201807,MID3,B,2018-07-06T23:33:32,-145.7993,59.9512,87,16,8,9.7,9.60837,10.2182,31.0438,1023.83199,0.06,1,3.35,1,0.26,1,
